date,USDCHF,GBPUSD,USDJPY,USDCAD,GBPCHF,EURCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,empty,sum
2019.07.15,-194.0000000000053,-286.00000000000847,-125.0,-69.00000000000794,-384.00000000000654,-117.00000000001154,-139.00000000000023,-124.00000000000189,-156.99999999999602,0.0,-332.00000000002206,-324.9999999999975,-248.99999999998812,-97.00000000000841,-156.00000000000057,-107.99999999998988,-69.00000000000261,-131.9999999999908,-73.00000000000084,,-3136.0000000000387
2019.07.15,-224.9999999999974,-337.99999999999386,-92.99999999998931,-97.9999999999981,-473.99999999999665,-163.00000000000205,-168.99999999999693,-146.00000000000168,-195.00000000000074,53.999999999998494,-343.00000000001774,-492.0000000000035,-395.99999999999636,-85.99999999999852,-130.99999999999224,-103.9999999999992,-82.99999999999841,-101.99999999998965,-124.99999999999733,,-3708.9999999999704
2019.07.15,-192.00000000000327,-375.9999999999986,-57.999999999992724,-38.0000000000047,-441.0000000000025,-150.00000000000568,-157.99999999999147,-161.00000000000003,-231.99999999999886,79.99999999999119,-445.0000000000216,-503.99999999999335,-353.99999999998766,-85.00000000000796,-7.999999999985796,-127.9999999999859,-131.00000000000023,-156.99999999999648,-131.00000000000333,,-3668.9999999999886
2019.07.15,-151.9999999999966,-354.9999999999942,-33.00000000000125,-36.0000000000138,-405.9999999999952,-145.00000000001734,-164.99999999999292,-158.0000000000026,-221.00000000000452,105.99999999999498,-367.00000000001864,-463.0000000000134,-354.9999999999942,-58.9999999999975,-24.000000000001798,-108.99999999999466,-97.99999999999898,-125.99999999999056,-109.00000000000354,,-3275.000000000037
2019.07.15,-187.9999999999993,-334.00000000001205,-73.99999999999807,-66.00000000001049,-407.99999999998613,-160.00000000000458,-161.99999999999548,-161.99999999999548,-217.0000000000005,117.99999999999588,-382.000000000005,-446.9999999999974,-340.00000000000693,-76.99999999999818,-61.99999999998429,-120.99999999999511,-114.00000000000432,-125.99999999999056,-117.00000000000044,,-3438.9999999999873
2019.07.15,-180.0000000000024,-324.0000000000132,-49.99999999999716,-76.0000000000094,-404.0000000000044,-158.0000000000137,-149.99999999999457,-143.9999999999997,-219.00000000000253,118.99999999999133,-353.00000000000864,-468.00000000000176,-380.00000000000256,-67.99999999999784,-25.999999999992696,-100.99999999999909,-90.00000000000341,-126.99999999999534,-116.00000000000499,,-3315.0000000000523
2019.07.15,-148.99999999999915,-320.00000000000915,-12.999999999991019,-79.00000000000685,-374.999999999992,-136.00000000000279,-119.99999999999788,-158.0000000000026,-248.00000000000378,122.99999999999534,-311.00000000000705,-480.99999999999807,-378.999999999996,-24.00000000000091,-17.999999999984695,-63.99999999999295,-99.00000000000375,-161.00000000000136,-155.00000000000514,,-3166.999999999999
2019.07.15,-136.99999999999824,-303.0000000000088,-12.999999999991019,-87.99999999999919,-340.9999999999913,-135.00000000001845,-117.99999999999588,-141.99999999999767,-285.00000000000193,140.99999999999113,-283.00000000001546,-448.000000000004,-300.99999999999574,-27.000000000001023,134.00000000001188,-62.99999999998818,-79.9999999999983,-185.00000000000227,-143.00000000000423,,-2817.0000000000086
2019.07.15,-165.9999999999995,-283.000000000011,-36.000000000001364,-141.99999999999767,-333.0000000000055,-143.00000000000423,-117.99999999999588,-119.00000000000244,-346.9999999999973,159.9999999999935,-269.00000000000546,-472.00000000000574,-381.99999999999346,-49.000000000006594,160.00000000000458,-65.99999999998829,-57.00000000000216,-274.9999999999915,-131.00000000000333,,-3068.000000000013
2019.07.15,-204.00000000000418,-263.99999999999756,-75.9999999999934,-161.00000000001114,-329.99999999998585,-148.00000000001478,-122.99999999999534,-149.99999999999457,-375.9999999999986,153.99999999999858,-281.0000000000059,-486.999999999993,-428.00000000000614,-57.00000000000216,228.00000000000597,-75.9999999999934,-106.00000000000875,-298.0000000000018,-162.0000000000066,,-3345.000000000009
