date,GBPUSD,EURUSD,USDCAD,EURCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2018.02.26,-162.99999999997982,-7.999999999985796,-132.99999999998312,-117.99999999999588,-51.000000000001044,-167.00000000000603,-63.99999999999739,0.0,-72.0000000000054,-73.99999999999629,-8.99999999998613,-77.00000000001594,-65.00000000000395,-164.99999999999292,-76.00000000000762,-119.00000000000244,-116.00000000000499,-114.99999999999844,,-1591.9999999999632
2018.02.26,-227.99999999998377,24.000000000001798,-144.99999999999514,-120.99999999999334,-98.0000000000092,-187.00000000000384,-117.99999999999588,259.00000000001455,-8.000000000008,51.000000000001044,20.000000000010232,-93.00000000000975,14.999999999987246,-79.99999999999119,-14.000000000010004,-165.00000000000404,-131.00000000000333,2.999999999997449,,-1015.9999999999951
2018.02.26,-212.99999999999653,-19.999999999997797,-154.99999999999403,-178.00000000001148,-90.0000000000012,-172.00000000000549,-127.99999999999478,375.0,8.999999999992347,112.000000000001,94.99999999999886,-134.99999999999625,-14.000000000002899,-18.999999999991246,-106.00000000000875,-143.9999999999997,-92.00000000000318,62.99999999999084,,-812.00000000002
2018.02.26,-230.9999999999812,4.000000000004,-214.99999999998744,-174.00000000000747,-82.99999999999974,-109.99999999999899,-100.00000000000009,314.9999999999977,-26.999999999999247,72.0000000000054,84.00000000000318,-134.00000000001188,-19.00000000001345,156.00000000000057,-59.00000000001171,-153.00000000000313,-12.000000000000899,160.99999999998892,,-525.0000000000155
2018.02.26,-231.99999999998778,26.999999999999247,-248.99999999998812,-167.00000000000603,-64.0000000000085,-116.00000000000499,-99.00000000000463,343.9999999999941,-83.9999999999952,-45.99999999999049,74.00000000001228,-154.0000000000097,-85.00000000000173,67.00000000001705,-133.00000000000978,-143.00000000000423,-95.99999999999609,35.999999999991594,,-1119.9999999999932
2018.02.26,-225.99999999999287,-1.999999999990898,-302.0000000000023,-59.99999999999339,37.99999999999359,-97.9999999999981,-99.00000000000463,457.9999999999984,-234.00000000000088,-182.99999999999983,199.00000000001228,-326.0000000000041,-238.0000000000049,70.99999999999883,-263.00000000000523,-146.00000000000168,-133.00000000000534,-34.000000000000696,,-1578.0000000000016
2018.02.26,-166.99999999998383,-59.99999999999339,-285.99999999998624,-76.99999999999375,14.999999999998348,-136.00000000000279,-97.00000000000264,525.0000000000057,-229.99999999999687,-188.00000000001037,271.99999999999136,-297.0000000000139,-224.000000000002,18.0000000000069,-289.0000000000015,-165.00000000000404,-185.00000000000182,-28.000000000005798,,-1598.9999999999968
2018.02.26,-168.99999999999693,-117.99999999999588,-242.99999999999324,-66.00000000001049,-26.000000000003798,-131.00000000000333,-97.00000000000264,623.9999999999952,-174.00000000000747,-46.999999999997044,361.99999999999477,-243.00000000001543,-100.0000000000112,-31.000000000003247,-368.9999999999998,-230.000000000008,-194.0000000000053,-14.000000000002899,,-1266.0000000000666
2018.02.26,-61.99999999998429,-181.9999999999933,-153.9999999999875,-2.999999999997449,-7.0000000000014495,-185.00000000000182,-93.99999999999409,705.0000000000125,-214.99999999998744,11.999999999989797,429.00000000000205,-270.99999999999903,-51.000000000001044,-219.99999999999798,-352.00000000000387,-274.00000000000756,-322.9999999999955,-68.00000000000139,,-1314.9999999999493
2018.02.26,104.99999999999955,-258.99999999998704,-48.000000000003595,-24.000000000001798,-62.000000000006494,-221.99999999999997,-82.99999999999974,724.9999999999943,-276.9999999999939,137.9999999999937,468.9999999999941,-300.00000000001137,74.99999999998064,-315.99999999998295,-387.00000000000045,-369.0000000000082,-378.00000000000057,-53.00000000001415,,-1266.0000000000477
