date,EURUSD,USDCAD,EURCHF,GBPJPY,EURJPY,NZDCAD,AUDNZD,empty,sum
2019.09.23,-59.99999999999339,-7.0000000000014495,-48.000000000003595,-109.00000000000887,-58.9999999999975,-52.000000000007596,-4.000000000004,,-339.00000000001637
2019.09.23,-56.000000000011596,-9.999999999998899,14.000000000002899,-104.00000000001342,-28.000000000005798,-67.00000000000594,12.000000000012001,,-239.00000000002075
2019.09.23,-70.99999999999883,12.999999999996348,-22.999999999995246,-112.99999999999955,-54.000000000002046,-91.00000000000774,-31.000000000003247,,-370.0000000000103
2019.09.23,-62.000000000006494,46.0000000000127,-21.00000000000435,-116.00000000001387,-57.00000000000216,-112.000000000001,-46.999999999997044,,-369.0000000000122
2019.09.23,-78.00000000000028,66.00000000001049,-14.000000000002899,-44.999999999987494,4.0000000000048885,-125.00000000000844,-41.99999999998649,,-233.99999999997024
2019.09.23,-76.99999999999375,63.99999999999739,-49.00000000001015,-91.00000000000819,-49.99999999999716,-132.0000000000099,-34.99999999998504,,-370.00000000000676
2019.09.23,-70.99999999999883,49.00000000001015,-46.999999999997044,-14.999999999986358,-16.999999999995907,-132.0000000000099,31.000000000003247,,-201.99999999997465
2019.09.23,-76.99999999999375,62.000000000006494,-53.999999999998494,-229.99999999998977,-30.000000000001137,-165.9999999999995,34.000000000000696,,-460.99999999997544
2019.09.23,-100.0000000000112,103.99999999999298,-63.99999999999739,-260.9999999999957,-117.00000000000443,-239.0000000000003,34.000000000000696,,-643.0000000000153
2019.09.23,-110.00000000001009,109.00000000000354,-59.000000000009045,-223.99999999998954,-102.99999999999443,-219.00000000000253,14.000000000002899,,-591.9999999999991
2019.09.23,-131.00000000001444,90.99999999999665,-53.999999999998494,-237.99999999999955,-108.99999999999466,-225.00000000000853,5.000000000010552,,-661.0000000000084
2019.09.23,-127.00000000001043,127.00000000001043,-56.99999999999594,-222.0000000000084,-94.99999999999886,-274.00000000000756,-4.999999999988347,,-652.9999999999991
2019.09.23,-124.00000000001299,126.0000000000039,-39.00000000001125,-235.00000000001364,-85.99999999999852,-272.00000000000557,2.999999999997449,,-627.0000000000406
