date,AUDUSD,NZDUSD,NZDCHF,EURGBP,empty,sum
2016.08.29,-26.999999999999247,-37.99999999999359,-58.000000000002494,-60.99999999999994,,-183.99999999999528
2016.08.29,5.999999999994898,-17.999999999995797,-56.0000000000005,-109.99999999999899,,-178.0000000000004
2016.08.29,-46.999999999997044,-92.99999999999864,-86.99999999999264,-90.0000000000012,,-316.99999999998954
2016.08.29,-14.000000000002899,-61.999999999995396,-68.00000000000139,-58.99999999999794,,-202.9999999999976
2016.08.29,2.000000000002,-97.9999999999981,-80.99999999999774,-46.999999999997044,,-223.99999999999088
2016.08.29,54.999999999993946,-73.99999999999629,-71.99999999999429,-88.99999999999464,,-179.99999999999127
2016.08.29,151.00000000000114,26.000000000003798,26.000000000003798,-126.99999999999933,,76.00000000000942
2016.08.29,153.00000000000313,-36.999999999998145,-3.999999999992898,-137.9999999999937,,-25.99999999998161
2016.08.29,143.00000000000423,-34.99999999999615,-27.999999999994696,-134.0000000000008,,-53.99999999998741
2016.08.29,114.00000000000298,-66.99999999999484,-46.00000000000159,-127.99999999999478,,-126.99999999998823
2016.08.29,161.00000000000003,9.00000000000345,-7.0000000000014495,-126.0000000000039,,36.999999999998124
2016.08.29,117.00000000000044,-5.999999999994898,19.999999999997797,-168.00000000000148,,-36.999999999998124
2016.08.29,76.99999999999375,-90.0000000000012,-41.9999999999976,-163.99999999999747,,-219.0000000000025
2016.08.29,68.00000000000139,-121.99999999999989,-59.99999999999339,-136.99999999999824,,-250.9999999999901
2016.08.29,48.000000000003595,-117.00000000000044,-44.99999999999504,-151.00000000000114,,-264.999999999993
2016.08.29,51.000000000001044,-153.00000000000313,-85.99999999999719,-178.99999999999582,,-366.9999999999951
2016.08.29,48.000000000003595,-197.99999999999818,-119.00000000000244,-168.00000000000148,,-436.9999999999985
2016.08.29,32.999999999994145,-205.99999999999508,-124.00000000000189,-161.00000000000003,,-458.00000000000284
2016.08.29,56.99999999999594,-187.00000000000384,-120.99999999999334,-254.99999999999412,,-505.99999999999534
2016.08.29,60.99999999999994,-114.00000000000298,-76.99999999999375,-253.0000000000032,,-383.0
2016.08.29,61.999999999995396,-146.00000000000168,-182.99999999999983,-256.99999999999613,,-524.0000000000023
2016.08.29,122.99999999999534,-95.00000000000064,-88.99999999999464,-231.0000000000034,,-292.00000000000335
2016.08.29,49.99999999999449,-151.9999999999966,-124.99999999999733,-215.99999999999397,,-442.9999999999934
2016.08.29,-9.999999999998899,-214.00000000000307,-171.99999999999437,-217.99999999999596,,-613.9999999999923
2016.08.29,-0.999999999995449,-197.00000000000273,-158.0000000000026,-183.99999999999528,,-539.9999999999961
2016.08.29,-36.0000000000027,-200.00000000000017,-174.99999999999181,-188.9999999999947,,-599.9999999999893
2016.08.29,-33.000000000005244,-188.9999999999947,-183.99999999999528,-227.99999999999488,,-633.9999999999901
2016.08.29,-12.999999999996348,-170.99999999999892,-170.99999999999892,-275.000000000003,,-629.9999999999973
