date,USDCHF,GBPUSD,EURUSD,AUDUSD,NZDUSD,CHFJPY,CADCHF,AUDCHF,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURNZD,CADJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2016.02.22,-155.00000000000514,-11.999999999989797,-31.000000000003247,-2.999999999997449,-29.000000000001247,-146.99999999999136,-121.99999999999989,-90.99999999999665,-483.0000000000041,-585.9999999999976,-92.00000000000318,-165.00000000000625,-140.0000000000068,-185.00000000001293,-88.99999999999864,-78.00000000000028,-147.99999999999258,-9.999999999998899,,-2566.0000000000064
2016.02.22,-216.0000000000051,327.00000000001063,4.999999999988347,105.99999999999498,-34.000000000000696,-99.99999999999432,-132.99999999999423,-41.000000000002146,-610.99999999999,-716.9999999999899,764.0000000000091,-94.0000000000083,43.999999999999595,45.000000000006146,-67.00000000000728,-90.0000000000012,-137.9999999999937,-1.0000000000065512,,-950.9999999999845
2016.02.22,-239.0000000000003,195.9999999999962,43.999999999999595,100.99999999999554,112.99999999999643,-36.99999999999193,-143.9999999999997,-44.99999999999504,-522.9999999999961,-723.0000000000069,784.0000000000069,-177.99999999999727,133.00000000000534,378.999999999996,-32.00000000001069,-105.99999999999498,13.00000000000745,-97.9999999999981,,-361.9999999999876
2016.02.22,-236.00000000000287,-32.999999999994145,31.000000000003247,126.99999999999933,160.00000000000458,38.000000000010914,-155.99999999998948,-60.99999999999994,-329.9999999999841,-475.0000000000032,405.0000000000109,-70.00000000000739,131.99999999999878,557.9999999999918,-23.000000000010346,-74.99999999999174,47.00000000000814,-171.99999999999437,,-132.9999999999499
2016.02.22,-243.99999999999977,9.000000000014552,38.99999999998904,-4.999999999999449,53.00000000000304,-125.99999999999056,-185.99999999999727,-185.00000000000182,-578.000000000003,-456.9999999999963,317.0000000000117,-227.99999999999443,76.99999999999375,303.9999999999932,-166.00000000001103,-54.999999999993946,-19.00000000000235,-174.00000000000747,,-1623.9999999999923
2016.02.22,-280.00000000000244,255.00000000000523,-18.0000000000069,-18.0000000000069,56.0000000000005,-253.99999999999068,-203.99999999999307,-236.99999999999832,-919.9999999999875,-644.0000000000001,370.00000000000364,-356.9999999999993,32.999999999994145,204.99999999998852,-279.0000000000106,72.0000000000054,-53.999999999998494,-242.00000000000887,,-2516.0000000000055
2016.02.22,-348.00000000000387,185.99999999999727,-73.99999999999629,-47.00000000000814,46.999999999997044,-346.9999999999942,-322.00000000000006,-310.9999999999946,-1067.9999999999836,-546.9999999999864,190.00000000000128,-466.0000000000082,-201.00000000000674,117.99999999999588,-454.00000000000773,40.00000000000669,-4.999999999999449,-316.0000000000052,,-3924.999999999996
2016.02.22,-333.0000000000055,106.00000000000608,-66.00000000001049,-153.00000000000313,-112.99999999999643,-331.99999999999363,-346.9999999999973,-352.9999999999922,-881.0000000000002,-131.99999999999878,-119.99999999998678,-450.00000000000284,-255.00000000000523,-160.00000000000458,-477.00000000000387,74.00000000000739,-125.99999999999278,-229.99999999999687,,-4347.999999999977
2016.02.22,-266.999999999995,103.00000000000864,17.000000000000348,-118.00000000000699,-104.00000000000409,-271.0000000000008,-310.9999999999946,-310.9999999999946,-721.99999999998,-95.00000000000064,-80.99999999999774,-405.00000000000114,-174.00000000000747,-124.99999999999733,-424.99999999999716,64.0000000000085,-132.99999999999423,-109.00000000000354,,-3466.9999999999573
2016.02.22,-307.0000000000017,114.99999999999844,18.999999999991246,-102.99999999999754,-109.00000000000354,-227.99999999999443,-316.99999999998954,-343.9999999999999,-718.9999999999941,-154.99999999999403,-34.99999999998504,-414.0000000000015,-112.000000000001,-143.00000000000423,-395.00000000001023,98.0000000000092,-175.99999999999838,-86.0000000000083,,-3410.9999999999836
