date,USDCAD,GBPCHF,EURGBP,GBPJPY,EURAUD,CADJPY,empty,sum
2017.04.17,-70.0000000000145,-1.0000000000065512,-71.99999999999429,-189.00000000002137,-129.00000000000134,-61.99999999999761,,-523.0000000000357
2017.04.17,-87.00000000001484,-11.00000000000545,-53.999999999998494,-171.0000000000207,-116.99999999998934,-102.99999999999443,,-543.0000000000232
2017.04.17,-104.00000000001519,256.00000000001177,-97.00000000000264,-156.0000000000059,-116.99999999998934,-25.99999999999625,,-243.99999999999756
2017.04.17,-98.0000000000203,300.99999999999574,-76.99999999999375,-170.00000000001592,-119.00000000000244,-77.99999999998875,,-241.0000000000254
2017.04.17,-119.00000000000244,364.00000000000875,-44.99999999999504,-289.0000000000157,-92.99999999998754,-158.00000000000125,,-339.99999999999324
2017.04.17,-50.0000000000167,324.9999999999975,-65.99999999999939,-600.9999999999991,-75.00000000000284,-296.99999999999704,,-764.0000000000175
2017.04.17,-35.00000000000725,361.9999999999957,-56.0000000000005,-469.0000000000225,-82.00000000000429,-274.9999999999915,,-555.0000000000304
2017.04.17,48.99999999998794,324.0000000000132,-74.99999999999174,-468.00000000001774,-144.99999999999514,-241.99999999999022,,-556.9999999999937
2017.04.17,26.999999999999247,314.00000000001427,-82.99999999999974,-521.000000000015,-109.99999999998789,-265.99999999999113,,-638.9999999999802
2017.04.17,7.999999999985796,287.9999999999994,-114.99999999999844,-620.0000000000045,22.0000000000109,-326.9999999999982,,-744.0000000000051
2017.04.17,25.999999999992696,319.0000000000026,-107.99999999999699,-617.0000000000186,-70.99999999999883,-344.99999999999886,,-796.000000000018
2017.04.17,17.999999999984695,334.00000000001205,-95.99999999999609,-547.0000000000255,-8.999999999992347,-306.99999999998795,,-607.000000000005
2017.04.17,51.99999999998539,336.00000000000296,-80.99999999999774,-491.00000000001387,21.00000000000435,-269.999999999996,,-433.0000000000149
2017.04.17,69.9999999999923,363.0000000000022,-73.99999999999629,-453.00000000000296,-52.000000000007596,-229.99999999998977,,-376.00000000000205
2017.04.17,87.99999999999919,358.9999999999982,-86.99999999999264,-433.00000000002115,-75.00000000000284,-182.99999999999272,,-331.00000000001194
2017.04.17,89.99999999999008,343.00000000000443,-93.99999999999409,-493.9999999999998,-65.00000000000395,-209.99999999999375,,-429.99999999999704
2017.04.17,92.99999999998754,341.00000000001353,-98.99999999999353,-524.0000000000009,-86.99999999999264,-225.9999999999991,,-501.9999999999851
2017.04.17,49.99999999999449,337.99999999999386,-110.99999999999443,-489.0000000000043,-126.0000000000039,-212.99999999999386,,-551.0000000000082
2017.04.17,-18.0000000000069,312.00000000000114,-130.99999999999224,-460.00000000000796,-136.00000000000279,-201.99999999999818,,-635.0000000000068
2017.04.17,36.999999999998145,242.99999999999324,-153.99999999999858,-399.0000000000009,-11.999999999989797,-164.99999999999204,,-449.99999999999
2017.04.17,93.99999999999409,137.9999999999937,-283.99999999999534,-500.0,-14.999999999987246,-208.99999999998897,,-775.9999999999837
2017.04.17,105.99999999998388,185.99999999999727,-268.99999999999704,-490.0000000000091,177.00000000000495,-198.99999999999807,,-489.00000000001813
2017.04.17,41.99999999998649,178.00000000001148,-266.999999999995,-455.0000000000125,95.00000000000064,-191.99999999999307,,-599.000000000002
2017.04.17,51.99999999998539,188.00000000001037,-230.99999999999233,-471.00000000000364,-11.999999999989797,-188.99999999999295,,-662.999999999983
2017.04.17,83.9999999999952,286.00000000000847,-134.99999999999625,-421.0000000000207,-34.000000000000696,-216.99999999999875,,-437.00000000001273
2017.04.17,95.999999999985,378.999999999996,-68.00000000000139,-390.0000000000148,-26.999999999999247,-203.99999999999352,,-214.0000000000279
2017.04.17,81.9999999999821,346.0000000000019,-95.99999999999609,-384.00000000001455,11.00000000000545,-203.99999999999352,,-245.00000000001472
2017.04.17,121.99999999999989,320.00000000000915,-139.00000000000023,-352.00000000000387,32.0000000000098,-143.99999999999125,,-160.9999999999765
2017.04.17,128.99999999997914,283.99999999999534,-191.99999999999218,-360.00000000001364,59.99999999999339,-141.9999999999959,,-221.00000000003388
2017.04.17,135.9999999999806,292.00000000000335,-202.0000000000022,-321.0000000000264,110.99999999999443,-126.99999999999534,,-111.0000000000455
2017.04.17,169.99999999998127,290.00000000001245,-200.00000000000017,-135.00000000001933,187.00000000000384,-47.99999999998761,,263.99999999999045
2017.04.17,228.99999999999034,242.00000000000887,-251.99999999999667,-77.0000000000266,144.0000000000108,15.000000000000568,,300.99999999998727
2017.04.17,206.99999999997942,286.00000000000847,-207.00000000000162,-8.000000000009777,184.00000000000637,44.00000000001114,,505.999999999994
2017.04.17,204.99999999998852,333.0000000000055,-182.99999999999983,-5.000000000023874,190.00000000000128,-15.999999999991132,,523.9999999999806
2017.04.17,224.99999999998633,392.00000000001455,-168.00000000000148,112.99999999999955,225.00000000000853,18.000000000000682,,805.0000000000082
2017.04.17,250.99999999997902,448.000000000004,-130.99999999999224,123.99999999999523,190.00000000000128,-58.9999999999975,,822.9999999999897
2017.04.17,376.9999999999829,453.0000000000145,-97.9999999999981,194.99999999999318,175.99999999999838,16.000000000005343,,1118.9999999999964
2017.04.17,301.99999999998005,520.9999999999936,-86.99999999999264,280.9999999999775,160.00000000000458,73.0000000000075,,1249.9999999999707
2017.04.17,245.99999999999068,531.0000000000148,-80.00000000000229,280.00000000000114,127.99999999999478,47.000000000011255,,1152.0000000000105
2017.04.17,173.99999999998528,519.0000000000028,-51.000000000001044,299.99999999998295,126.0000000000039,24.00000000000091,,1091.999999999975
