date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,NZDUSD,GBPCHF,EURCHF,CADCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURCAD,AUDJPY,NZDJPY,AUDCAD,AUDNZD,empty,sum
2019.10.07,0.0,-172.99999999997874,-1.0000000000065512,-72.00000000000273,-31.999999999987594,-98.99999999999353,-393.99999999998323,-182.0000000000155,-119.00000000000244,-13.999999999991797,-123.00000000000644,-237.99999999999955,-146.00000000000168,-52.000000000007596,-79.99999999999119,-91.99999999999875,-120.00000000000455,0.0,-76.0000000000094,,-2012.9999999999807
2019.10.07,89.00000000000574,-193.99999999998306,-30.0000000000189,-63.00000000000239,-7.999999999985796,-179.99999999999127,-363.9999999999866,-101.00000000001774,-73.99999999999629,60.99999999999994,-81.00000000000884,-245.9999999999809,-219.99999999999798,-127.99999999999478,-147.99999999999258,-126.00000000000477,-205.0000000000125,21.999999999999797,-155.00000000001623,,-2150.999999999985
2019.10.07,117.00000000000044,-348.9999999999993,-13.000000000018552,-132.99999999999557,-8.999999999992347,-173.9999999999964,-506.9999999999908,-145.00000000001734,-185.99999999999727,152.00000000000767,-24.000000000001798,-524.0000000000009,-326.9999999999884,-353.0000000000033,-156.00000000000057,-173.99999999999238,-222.0000000000084,-28.000000000005798,-96.00000000000719,,-3151.0000000000077
2019.10.07,141.00000000000225,-324.9999999999975,15.999999999993797,-182.99999999999272,72.0000000000054,-146.99999999999713,-483.99999999999557,-130.0000000000079,-163.99999999999747,162.0000000000066,17.999999999995797,-556.999999999988,-299.99999999998914,-375.0000000000142,-123.99999999999079,-179.9999999999926,-237.00000000000898,-20.0000000000089,-60.000000000015596,,-2876.9999999999927
2019.10.07,114.00000000000298,-322.9999999999844,17.000000000000348,-182.99999999999272,92.00000000000318,-174.99999999999181,-471.9999999999835,-135.00000000001845,-180.99999999999784,182.00000000000438,-4.999999999999449,-556.999999999988,-275.000000000003,-329.00000000000153,-151.9999999999966,-212.0000000000033,-264.00000000001,-7.0000000000014495,-45.000000000006146,,-2909.9999999999673
2019.10.07,89.00000000000574,-332.9999999999833,22.999999999995246,-146.0000000000008,121.00000000001555,-183.99999999999528,-451.0000000000014,-123.00000000000644,-173.9999999999964,170.00000000000347,5.999999999994898,-498.9999999999952,-242.00000000000887,-280.0000000000136,-153.9999999999875,-197.00000000000273,-251.00000000000477,1.999999999990898,-53.00000000001415,,-2676.000000000005
2019.10.07,90.0000000000012,-347.9999999999928,21.999999999988695,-144.99999999999602,77.00000000001594,-183.99999999999528,-516.9999999999897,-173.00000000000094,-170.00000000000347,135.00000000000733,8.999999999992347,-525.0000000000057,-337.0000000000095,-375.9999999999986,-154.99999999999403,-173.00000000000182,-242.00000000000443,-26.000000000003798,-94.00000000001629,,-3132.000000000007
2019.10.07,146.00000000000168,-348.9999999999993,58.99999999998684,-102.00000000000387,53.00000000001415,-213.99999999999199,-510.99999999999477,-185.00000000001293,-161.00000000000003,233.00000000000543,-17.000000000000348,-480.99999999999454,-326.9999999999884,-334.00000000001205,-46.999999999997044,-164.00000000000148,-263.00000000000523,20.999999999993246,-127.00000000001043,,-2770.000000000011
2019.10.07,130.0000000000079,-325.99999999998187,78.00000000000028,-105.99999999999454,42.0000000000087,-222.99999999999542,-495.99999999998533,-215.00000000000963,-155.00000000000514,192.99999999999872,-48.000000000003595,-442.99999999998363,-337.0000000000095,-480.00000000001376,2.999999999997449,-120.00000000000455,-240.0000000000091,-54.00000000000959,-182.99999999999983,,-2979.999999999993
2019.10.07,136.00000000000279,-295.0000000000008,70.99999999999883,-152.9999999999916,0.0,-212.99999999999653,-481.99999999998244,-218.00000000000708,-160.00000000000458,189.00000000000583,-50.0000000000056,-463.99999999999864,-313.00000000000773,-493.0000000000101,-2.999999999997449,-118.99999999999977,-280.00000000000114,-55.000000000005045,-225.00000000000853,,-3127.000000000009
2019.10.07,165.9999999999995,-267.99999999997937,40.99999999997994,-159.9999999999966,-48.99999999998794,-209.9999999999991,-469.99999999999267,-212.00000000001216,-139.00000000000023,224.000000000002,-56.0000000000005,-465.99999999997976,-350.00000000000585,-426.9999999999996,31.000000000003247,-129.0000000000049,-290.00000000000625,-31.000000000003247,-247.00000000001944,,-3042.000000000003
2019.10.07,195.00000000000074,-267.99999999997937,36.999999999998145,-164.00000000000148,-35.999999999991594,-164.99999999999292,-495.000000000001,-210.0000000000213,-153.00000000000313,202.0000000000022,-48.99999999999905,-456.99999999999363,-329.00000000000153,-507.000000000013,9.999999999998899,-108.99999999999466,-251.00000000000477,-63.00000000000195,-186.0000000000195,,-2998.0000000000186
2019.10.07,195.00000000000074,-276.9999999999939,28.999999999990145,-141.00000000000534,12.000000000012001,-169.99999999999238,-512.9999999999857,-212.00000000001216,-177.00000000000495,199.00000000000472,-35.00000000000725,-445.99999999999795,-314.99999999999864,-509.00000000000387,-28.999999999990145,-78.99999999999352,-240.99999999999966,-76.0000000000094,-207.00000000000162,,-2991.999999999989
