,names,week,needed_features,accuracy
0,GBPUSD,15,['GBPUSD'],80.0
1,USDCAD,10,['GBPAUD'],80.0
2,AUDUSD,10,['GBPAUD'],100.0
3,NZDUSD,10,['GBPAUD'],100.0
4,GBPCHF,10,"['AUDNZD', 'EURUSD', 'USDJPY']",80.0
5,CADCHF,10,['EURGBP'],80.0
6,AUDCHF,10,['EURGBP'],100.0
7,NZDCHF,10,['GBPAUD'],100.0
8,EURGBP,20,"['AUDNZD', 'EURAUD']",100.0
9,GBPCAD,20,"['EURAUD', 'EURCAD', 'EURCHF', 'CADJPY', 'GBPCAD', 'AUDCHF']",100.0
10,GBPAUD,10,['AUDCAD'],80.0
11,EURJPY,10,"['EURGBP', 'GBPJPY']",80.0
12,EURCAD,10,['USDCHF'],80.0
13,EURAUD,10,['USDCHF'],80.0
14,EURNZD,10,['GBPAUD'],100.0
15,CADJPY,10,['EURGBP'],100.0
16,AUDJPY,10,['EURGBP'],100.0
17,NZDJPY,10,"['EURGBP', 'AUDCAD']",80.0
18,AUDCAD,10,"['AUDCAD', 'AUDNZD', 'GBPAUD']",80.0
19,NZDCAD,10,"['USDCHF', 'EURUSD', 'NZDJPY']",100.0
20,AUDNZD,15,"['EURUSD', 'USDJPY', 'AUDUSD', 'USDCAD']",100.0
