,names,week,needed_features,accuracy
0,USDCHF,50,"['NZDCAD', 'USDJPY']",100.0
1,EURUSD,50,"['NZDCAD', 'GBPUSD']",100.0
2,USDJPY,10,"['AUDCAD', 'AUDUSD', 'AUDCHF']",100.0
3,USDCAD,50,"['AUDJPY', 'EURNZD', 'EURCHF']",100.0
4,NZDUSD,50,"['EURCHF', 'EURGBP', 'EURJPY', 'GBPUSD']",80.0
5,EURCHF,10,"['USDJPY', 'AUDCAD', 'EURCAD']",100.0
6,CADCHF,10,['EURUSD'],100.0
7,GBPCAD,10,"['CADJPY', 'EURJPY', 'USDCAD']",100.0
8,GBPAUD,10,"['EURUSD', 'EURGBP', 'GBPCHF', 'NZDCAD']",80.0
9,EURCAD,10,"['AUDUSD', 'EURUSD']",80.0
10,EURAUD,10,['NZDJPY'],100.0
11,NZDJPY,20,"['EURCHF', 'GBPAUD']",80.0
12,AUDCAD,10,['AUDUSD'],80.0
13,NZDCAD,10,"['AUDUSD', 'AUDJPY', 'EURUSD', 'NZDUSD']",100.0
