date,USDCHF,GBPUSD,EURUSD,AUDUSD,NZDUSD,GBPCHF,EURCHF,AUDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.02.04,-43.00000000000415,-156.99999999998494,-63.99999999999739,-13.999999999991797,-7.0000000000014495,-230.00000000001907,-63.000000000013046,-19.00000000000235,-129.00000000000134,-180.00000000000682,-198.99999999999363,-127.00000000001043,-15.000000000000568,-8.000000000008,-92.00000000000318,-15.000000000000568,-21.000000000000796,-1.0000000000047748,-38.0000000000047,-10.999999999994348,-34.000000000000696,,-1467.0000000000446
2019.02.04,44.99999999999504,-205.99999999999508,-65.00000000000395,-27.999999999994696,-9.00000000000345,-217.0000000000005,-80.99999999999774,-34.000000000000696,-82.00000000000429,-207.00000000002206,-282.0000000000045,-178.00000000001148,-10.99999999999568,0.0,-112.99999999998533,-34.000000000006025,-57.00000000000216,-48.00000000000182,-36.0000000000027,-19.999999999997797,-49.99999999999449,,-1713.0000000000296
2019.02.04,102.99999999999754,-171.99999999999437,-73.99999999999629,-25.999999999992696,17.000000000000348,-292.00000000000335,-89.00000000000574,14.000000000002899,-99.00000000000463,-156.0000000000059,-234.00000000000088,-171.99999999999437,-9.000000000000341,0.0,-149.9999999999835,-31.00000000000591,-55.00000000000682,4.9999999999954525,-19.999999999997797,16.0000000000049,-48.99999999998794,,-1472.999999999979
2019.02.04,136.99999999999824,-186.99999999998164,-56.000000000011596,-25.999999999992696,26.000000000003798,-285.00000000000193,-63.99999999999739,38.0000000000047,-72.0000000000054,-152.00000000001523,-287.9999999999994,-180.0000000000024,-51.00000000000193,86.99999999999264,-139.9999999999846,-75.00000000000284,-61.99999999999761,12.000000000000455,-2.999999999997449,53.999999999998494,-36.999999999998145,,-1323.9999999999918
2019.02.04,103.99999999999298,-214.99999999998744,-89.00000000000574,13.00000000000745,46.999999999997044,-314.99999999999864,-82.00000000000429,68.00000000000139,-78.00000000000028,-333.00000000002683,-283.99999999999534,-97.9999999999981,-52.99999999999727,35.999999999991594,-76.99999999999375,-72.00000000000273,-37.00000000000614,16.999999999995907,29.999999999996696,72.0000000000054,-55.99999999998939,,-1402.0000000000175
2019.02.04,105.99999999999498,-215.99999999999397,-87.99999999999919,-175.99999999999838,-5.999999999994898,-313.00000000000773,-69.00000000000794,-114.99999999999844,-75.9999999999983,-272.0000000000198,-289.9999999999903,-581.9999999999936,10.99999999999568,55.000000000005045,-459.99999999999375,-12.000000000000455,-188.0000000000024,16.999999999995907,-204.00000000000418,7.9999999999968985,-11.00000000000545,,-2881.00000000002
2019.02.04,136.99999999999824,-197.99999999998707,-60.99999999999994,-137.9999999999937,14.999999999998348,-311.0000000000168,-70.99999999999883,-75.9999999999983,-65.00000000000395,-314.0000000000214,-282.0000000000045,-510.00000000001046,52.99999999999727,27.999999999983594,-385.99999999999744,24.999999999991473,-131.00000000000023,45.99999999999227,-165.9999999999995,19.00000000000235,119.00000000000244,,-2267.0000000000664
2019.02.04,144.99999999999514,-209.9999999999991,-82.00000000000429,-134.0000000000008,53.00000000000304,-341.00000000001353,-116.00000000000499,-70.0000000000034,-65.99999999999939,-293.00000000000637,-306.9999999999906,-485.0000000000021,21.000000000000796,90.99999999999665,-384.9999999999909,-27.000000000001023,-149.0000000000009,78.99999999999352,-141.99999999999767,102.00000000000209,126.0000000000039,,-2190.0000000000196
2019.02.04,157.99999999999147,-230.9999999999812,-93.99999999999409,-84.99999999999064,58.99999999999794,-365.99999999999966,-136.00000000000279,-17.999999999995797,-68.00000000000139,-309.0000000000259,-310.9999999999946,-378.00000000001165,52.99999999999727,88.99999999998354,-313.99999999999204,-1.0000000000047748,-97.00000000000841,78.00000000000296,-85.99999999999719,97.00000000000264,97.9999999999981,,-1862.0000000000255
2019.02.04,168.99999999999693,-224.000000000002,-76.99999999999375,-86.99999999999264,73.00000000000084,-357.00000000000733,-113.00000000000753,11.00000000000545,-67.00000000000594,-305.0000000000068,-262.999999999991,-351.0000000000124,58.9999999999975,0.0,-246.99999999999721,43.99999999999693,-61.00000000000705,128.0000000000001,-119.00000000000244,80.99999999999774,120.00000000000898,,-1586.0000000000214
