date,USDCHF,EURUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURJPY,EURCAD,empty,sum
2018.07.02,11.00000000000545,-170.99999999998784,-34.000000000000696,31.999999999998696,-25.999999999992696,-158.99999999999804,-19.000000000005457,229.99999999999687,,-135.9999999999837
2018.07.02,-32.999999999994145,-187.99999999998818,-111.00000000001664,-24.999999999997247,-78.99999999999574,-253.00000000001432,118.99999999999977,150.99999999999002,,-419.0000000000166
2018.07.02,-15.999999999993797,-124.99999999999733,-77.00000000001594,-4.999999999999449,-80.99999999999774,-292.00000000000335,44.999999999987494,107.99999999999699,,-443.00000000002314
2018.07.02,-36.0000000000027,-103.99999999999298,-47.00000000001925,16.0000000000049,-93.99999999999409,-340.00000000000693,-27.000000000015234,119.99999999998678,,-512.0000000000394
2018.07.02,-46.00000000000159,-127.99999999999478,-82.00000000000429,9.00000000000345,-112.000000000001,-310.0000000000103,-33.00000000001546,107.99999999999699,,-594.0000000000271
2018.07.02,-19.00000000000235,-59.99999999999339,-92.00000000000318,-9.00000000000345,-87.99999999999919,-353.0000000000033,-114.00000000000432,5.999999999994898,,-729.0000000000142
2018.07.02,-54.999999999993946,-170.99999999998784,-126.0000000000039,-66.99999999999484,-188.9999999999947,-303.9999999999932,13.00000000000523,110.99999999999443,,-787.9999999999687
2018.07.02,-97.00000000000264,-194.99999999998963,-171.00000000001003,-60.99999999999994,-195.00000000000074,-287.9999999999994,-88.99999999999864,89.99999999999008,,-1006.0000000000108
2018.07.02,-144.99999999999514,-239.99999999999577,-133.00000000000534,-41.000000000002146,-117.99999999999588,-320.00000000000915,-181.99999999998795,196.99999999998053,,-982.0000000000108
2018.07.02,-163.00000000000205,-249.99999999999466,-120.00000000000898,-34.000000000000696,-68.99999999999685,-337.0000000000095,-191.0000000000025,221.99999999998886,,-942.0000000000264
2018.07.02,-161.99999999999548,-232.99999999999432,-179.00000000001802,-73.00000000000084,-139.00000000000023,-320.00000000000915,-287.00000000000614,131.99999999999878,,-1261.0000000000252
2018.07.02,-185.00000000000182,-272.99999999998994,-246.00000000001288,-144.99999999999514,-181.9999999999933,-302.0000000000023,-204.00000000000773,105.99999999998388,,-1431.0000000000193
2018.07.02,-173.9999999999964,-252.99999999999213,-255.00000000000523,-148.0000000000037,-148.99999999999915,-282.0000000000045,-164.99999999999204,67.9999999999792,,-1358.000000000014
2018.07.02,-163.99999999999747,-312.9999999999855,-316.0000000000052,-229.99999999999687,-188.9999999999947,-225.99999999999287,25.000000000005684,77.99999999997809,,-1334.9999999999889
2018.07.02,-165.9999999999995,-302.9999999999866,-307.00000000001285,-182.99999999999983,-129.9999999999968,-259.0000000000092,88.99999999999864,74.99999999998064,,-1184.0000000000252
2018.07.02,-205.99999999999508,-343.00000000000443,-297.9999999999983,-183.99999999999528,-131.99999999999878,-283.99999999999534,123.99999999999523,135.9999999999806,,-1187.0000000000114
2018.07.02,-202.0000000000022,-377.9999999999894,-327.00000000001063,-180.0000000000024,-112.000000000001,-249.00000000001032,311.00000000000705,151.9999999999966,,-985.000000000012
2018.07.02,-243.99999999999977,-417.0000000000007,-334.00000000001205,-168.99999999999693,-149.99999999999457,-329.00000000000153,332.9999999999984,193.99999999998306,,-1116.000000000024
2018.07.02,-222.99999999999542,-411.0000000000058,-430.00000000001927,-253.0000000000032,-268.0000000000016,-228.00000000000597,269.00000000000546,76.99999999999375,,-1467.0000000000318
2018.07.02,-147.99999999999258,-316.0000000000052,-352.000000000019,-214.00000000000307,-239.99999999999577,-256.00000000001177,204.00000000000773,38.99999999998904,,-1283.0000000000305
2018.07.02,-166.99999999999494,-503.99999999999335,-378.00000000001165,-281.99999999999335,-320.9999999999935,-141.99999999999767,435.0000000000023,259.9999999999936,,-1098.9999999999886
2018.07.02,-215.99999999999397,-536.0000000000032,-380.00000000000256,-280.00000000000244,-373.99999999999653,-69.00000000000794,407.99999999998704,298.9999999999826,,-1148.0000000000373
2018.07.02,-212.99999999999653,-465.0000000000043,-307.00000000001285,-254.99999999999412,-358.9999999999982,-100.99999999999554,347.99999999998477,287.9999999999994,,-1064.0000000000175
2018.07.02,-143.9999999999997,-404.9999999999887,-265.0000000000041,-221.99999999999997,-312.00000000000114,-163.00000000000205,187.99999999998818,259.9999999999936,,-1063.0000000000139
2018.07.02,-217.0000000000005,-388.9999999999949,-266.0000000000107,-273.9999999999965,-390.0000000000015,-144.0000000000108,213.99999999999864,233.99999999997868,,-1232.0000000000377
