,names,week,needed_features,accuracy
0,USDCHF,10,['EURJPY'],100.0
1,GBPUSD,10,"['CHFJPY', 'USDCAD', 'GBPJPY']",80.0
2,EURUSD,10,['EURJPY'],100.0
3,USDJPY,10,"['AUDCAD', 'EURAUD']",80.0
4,USDCAD,10,['CHFJPY'],80.0
5,AUDUSD,10,"['CHFJPY', 'GBPUSD']",100.0
6,NZDUSD,10,"['CHFJPY', 'GBPUSD']",100.0
7,GBPCHF,20,['NZDCHF'],80.0
8,EURCHF,10,['EURNZD'],80.0
9,CHFJPY,10,['EURJPY'],80.0
10,CADCHF,15,"['EURJPY', 'AUDCAD', 'EURUSD', 'EURAUD', 'GBPAUD', 'EURCHF']",100.0
11,NZDCHF,50,"['NZDCAD', 'GBPCAD', 'AUDUSD', 'GBPUSD']",80.0
12,EURGBP,50,"['USDCHF', 'GBPCHF', 'EURGBP', 'USDCAD', 'AUDCHF']",80.0
13,GBPJPY,10,"['USDCHF', 'EURUSD', 'CHFJPY']",80.0
14,GBPAUD,50,"['USDCHF', 'AUDJPY']",100.0
15,EURJPY,10,['EURJPY'],80.0
16,EURCAD,10,"['AUDCAD', 'EURAUD']",80.0
17,EURAUD,10,"['NZDCAD', 'USDCAD']",80.0
18,EURNZD,10,"['NZDCAD', 'USDCAD']",80.0
19,CADJPY,10,['AUDNZD'],100.0
20,NZDJPY,30,"['CADCHF', 'CHFJPY', 'NZDCAD']",80.0
21,AUDCAD,10,"['NZDCAD', 'USDCAD']",80.0
22,NZDCAD,10,"['CHFJPY', 'GBPUSD']",100.0
23,AUDNZD,10,"['EURGBP', 'GBPCHF', 'NZDCHF']",80.0
