date,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,CHFJPY,CADCHF,AUDCHF,EURGBP,GBPAUD,EURAUD,NZDCAD,empty,sum
2015.08.24,-101.99999999997988,0.0,-14.000000000002899,-104.99999999999955,-157.99999999999147,-63.99999999999295,-54.999999999993946,-151.9999999999966,-75.00000000000284,-99.00000000002684,-153.00000000000313,0.0,,-976.99999999999
2015.08.24,-99.99999999998899,52.99999999999727,-7.0000000000014495,-101.00000000000664,-121.99999999999989,-114.00000000000432,-178.00000000000037,-227.99999999999488,-70.99999999999883,-5.000000000032756,-182.99999999999983,40.00000000000669,,-1016.000000000024
2015.08.24,-107.99999999999699,-43.00000000000637,-18.999999999991246,-128.00000000000588,-266.999999999995,-104.99999999998977,-178.00000000000037,-198.99999999999363,-53.00000000000304,-14.000000000002899,-131.00000000001444,56.0000000000005,,-1188.999999999999
2015.08.24,-173.99999999998528,-340.999999999994,82.00000000000429,-31.000000000003247,-166.99999999999494,-283.9999999999918,-29.999999999996696,-47.9999999999925,-147.00000000000824,330.9999999999924,132.99999999998312,-174.99999999999181,,-850.9999999999789
2015.08.24,-207.99999999998596,-682.0000000000022,160.99999999998892,237.99999999999378,146.00000000000168,-544.9999999999875,29.999999999996696,212.00000000000108,-213.00000000000762,981.999999999994,803.9999999999825,-392.9999999999989,,531.9999999999764
2015.08.24,-117.99999999999588,-308.9999999999975,365.99999999999966,302.9999999999977,257.0000000000072,-316.0000000000025,41.9999999999976,190.00000000000128,-152.00000000000767,1015.9999999999947,700.999999999996,-356.9999999999962,,1622.9999999999943
2015.08.24,-68.99999999998573,-159.9999999999966,364.9999999999931,339.99999999999585,311.00000000000574,-247.99999999999045,9.999999999998899,218.00000000000708,-136.00000000000279,1122.9999999999852,797.9999999999876,-347.9999999999928,,2204.000000000005
2015.08.24,-117.99999999999588,-228.9999999999992,381.99999999999346,405.9999999999952,372.0000000000057,-301.9999999999925,60.00000000000449,268.0000000000016,-200.00000000000017,1248.9999999999668,980.9999999999875,-373.00000000000114,,2495.9999999999663
2015.08.24,-646.9999999999976,-537.9999999999967,390.0000000000015,349.99999999999477,359.0000000000093,-353.00000000000864,123.00000000000644,287.9999999999994,-478.0000000000006,1215.9999999999727,1140.999999999992,-363.0000000000022,,1487.9999999999702
2015.08.24,-798.9999999999942,-725.9999999999991,485.0000000000021,424.00000000000216,305.0000000000108,-437.9999999999882,289.0000000000059,483.0000000000001,-578.0000000000007,1377.9999999999682,1740.9999999999925,-487.99999999999955,,2076.0
2015.08.24,-727.9999999999953,-754.0000000000049,470.9999999999992,390.99999999999693,339.0000000000004,-423.0000000000018,309.99999999999915,450.00000000000597,-529.0000000000017,1323.9999999999695,1671.9999999999845,-322.00000000000006,,2200.999999999952
2015.08.24,-1206.9999999999802,-1135.9999999999957,506.9999999999908,514.9999999999987,422.00000000000017,-127.9999999999859,539.0000000000006,817.000000000001,-770.9999999999994,1768.9999999999984,2128.999999999981,-646.9999999999976,,2809.000000000012
