date,USDCAD,AUDUSD,NZDUSD,CHFJPY,CADCHF,AUDCHF,EURGBP,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,AUDCAD,NZDCAD,empty,sum
2016.10.17,-310.9999999999946,-14.000000000002899,-134.0000000000008,-102.00000000000387,-245.99999999999068,-26.999999999999247,-204.99999999999963,-326.0000000000041,-234.00000000000088,-36.000000000001364,-4.000000000004,-90.99999999999665,-153.9999999999875,-237.99999999999955,-39.99999999999204,-8.999999999992347,-178.99999999999582,,-2349.9999999999654
2016.10.17,-238.0000000000049,-20.999999999993246,-57.99999999999139,-51.00000000000193,-229.99999999999687,-36.999999999998145,-121.99999999999989,-519.0000000000028,-485.0000000000021,-9.000000000000341,112.000000000001,-137.9999999999937,-62.000000000006494,-256.9999999999908,-37.9999999999967,51.000000000001044,-141.99999999999767,,-2243.9999999999754
2016.10.17,-255.00000000000523,13.00000000000745,-63.99999999999739,-116.00000000001387,-247.99999999999267,-8.000000000008,-150.00000000000568,-570.0000000000039,-458.00000000000284,-120.00000000000455,126.0000000000039,-89.99999999999008,-214.99999999998744,-236.99999999999477,-37.9999999999967,99.00000000000463,-165.00000000000404,,-2495.999999999991
2016.10.17,-309.0000000000037,-102.00000000000209,-156.00000000000057,-102.00000000000387,-242.99999999999324,-102.00000000000209,-185.99999999999727,-521.0000000000159,-509.99999999998823,-112.00000000000898,171.99999999999437,-340.9999999999913,-417.99999999998505,-202.99999999998875,2.0000000000095497,4.999999999999449,-95.99999999999609,,-3221.999999999973
2016.10.17,-341.99999999999784,-144.99999999999514,-157.99999999999147,-193.00000000001205,-216.99999999998943,-145.00000000000622,-221.00000000000452,-431.0000000000036,-591.0000000000082,-164.00000000000148,251.00000000000122,-434.000000000001,-402.9999999999978,-123.99999999999523,157.0000000000107,-73.00000000000084,-129.9999999999968,,-3362.9999999999886
2016.10.17,-286.99999999999284,-219.00000000000253,-82.99999999999974,-283.00000000000125,-229.99999999999687,-214.00000000000307,-170.00000000000347,-599.0000000000161,-958.9999999999987,-324.0000000000123,167.00000000000603,-510.00000000001046,-269.9999999999925,-79.9999999999983,270.00000000001023,-158.0000000000026,-170.99999999999892,,-4120.000000000014
2016.10.17,-367.99999999999056,-241.00000000000233,-79.99999999999119,-283.00000000000125,-213.99999999999199,-243.99999999999977,-92.00000000000318,-608.0000000000085,-991.9999999999928,-324.0000000000123,182.99999999999983,-567.0000000000064,-228.99999999999034,-60.99999999999284,280.00000000000114,-192.99999999999872,-226.99999999999943,,-4259.999999999981
2016.10.17,-424.00000000000216,-222.99999999999542,-61.999999999995396,-161.00000000000136,-170.99999999999892,-217.0000000000005,-114.00000000000298,-667.0000000000176,-852.9999999999926,-193.00000000001205,268.0000000000016,-513.0000000000078,-154.99999999999403,-90.99999999999397,239.00000000000432,-73.00000000000084,-271.9999999999945,,-3682.0000000000045
2016.10.17,-550.000000000006,-343.9999999999999,-82.99999999999974,-297.00000000001125,-132.99999999999423,-361.0000000000002,-184.00000000000637,-682.0000000000048,-1011.9999999999907,-342.00000000001296,363.0000000000022,-794.0000000000058,-258.99999999998704,-50.99999999998772,255.00000000000966,-134.99999999999625,-317.0000000000006,,-4925.999999999993
2016.10.17,-565.9999999999999,-329.999999999997,-44.99999999999504,-357.00000000001353,-47.9999999999925,-353.0000000000033,-224.9999999999974,-710.0000000000106,-968.9999999999976,-395.00000000001023,519.0000000000028,-778.9999999999964,-163.9999999999864,135.00000000000512,485.00000000001364,-120.99999999999334,-459.99999999999375,,-4382.999999999965
