date,USDCAD,EURCHF,GBPCAD,GBPAUD,empty,sum
2016.01.04,-172.99999999997874,-49.99999999999449,-386.00000000004184,-150.00000000000568,,-759.0000000000207
2016.01.04,-556.9999999999853,-126.0000000000039,-893.0000000000326,-57.99999999998029,,-1634.000000000002
2016.01.04,-542.9999999999824,-252.0000000000078,-845.0000000000291,-51.99999999998539,,-1692.0000000000048
2016.01.04,-629.9999999999973,-249.99999999999466,-948.9999999999999,-129.00000000000134,,-1957.9999999999932
2016.01.04,-603.9999999999824,-229.00000000001253,-940.0000000000297,-179.99999999998016,,-1953.0000000000048
2016.01.04,-600.9999999999849,-224.000000000002,-780.000000000003,-334.00000000001205,,-1939.0000000000018
2016.01.04,-844.9999999999847,-198.99999999999363,-1002.0000000000362,-1517.999999999997,,-3564.0000000000114
2016.01.04,-960.9999999999897,-110.00000000001009,-1190.0000000000243,-1699.9999999999905,,-3961.0000000000146
2016.01.04,-1052.9999999999927,-187.00000000000384,-1355.0000000000396,-1882.9999999999902,,-4478.000000000026
2016.01.04,-953.9999999999882,-116.00000000000499,-1156.0000000000236,-1984.9999999999923,,-4211.000000000009
2016.01.04,-854.9999999999835,-141.00000000001333,-1070.0000000000375,-1543.9999999999898,,-3610.0000000000246
2016.01.04,-806.99999999998,-133.00000000000534,-971.0000000000107,-1502.9999999999877,,-3413.9999999999836
2016.01.04,-809.9999999999997,-117.00000000001154,-1129.0000000000243,-1670.9999999999782,,-3727.0000000000136
2016.01.04,-825.9999999999934,-146.00000000000168,-1204.0000000000273,-1786.999999999983,,-3963.0000000000055
2016.01.04,-864.9999999999825,-236.00000000001398,-1321.0000000000389,-1909.9999999999895,,-4332.0000000000255
2016.01.04,-877.9999999999789,-354.0000000000099,-1402.9999999999986,-2309.99999999999,,-4944.999999999977
2016.01.04,-915.9999999999835,-344.00000000001097,-1457.0000000000416,-2430.999999999983,,-5148.00000000002
2016.01.04,-937.9999999999944,-295.0000000000008,-1483.0000000000343,-2534.999999999998,,-5251.000000000027
2016.01.04,-1156.999999999986,-225.00000000000853,-1709.000000000005,-2529.0000000000036,,-5620.000000000004
2016.01.04,-1225.9999999999939,-158.0000000000137,-2050.0000000000186,-2574.999999999994,,-6009.00000000002
2016.01.04,-1225.9999999999939,-137.9999999999937,-2267.000000000019,-2717.999999999998,,-6349.000000000005
2016.01.04,-1240.999999999981,-95.00000000000064,-2364.0000000000327,-2570.0000000000055,,-6270.00000000002
2016.01.04,-1254.9999999999839,-85.00000000000173,-2407.0000000000036,-2733.99999999997,,-6480.999999999959
2016.01.04,-1174.9999999999927,-124.00000000001299,-2191.0000000000095,-2713.00000000001,,-6203.0000000000255
2016.01.04,-932.9999999999839,-119.00000000000244,-2259.000000000011,-2987.9999999999905,,-6298.999999999987
2016.01.04,-933.9999999999905,-95.00000000000064,-2239.000000000013,-3006.999999999982,,-6274.999999999986
2016.01.04,-978.9999999999966,102.99999999998644,-2226.000000000017,-2958.999999999978,,-6061.0000000000055
2016.01.04,-1111.9999999999798,109.00000000000354,-2217.0000000000023,-2934.9999999999986,,-6154.999999999977
2016.01.04,-1149.0,161.99999999999548,-2420.0,-3334.999999999999,,-6742.000000000004
2016.01.04,-1122.9999999999852,114.99999999999844,-2189.000000000041,-3117.9999999999986,,-6315.000000000026
2016.01.04,-1149.9999999999843,143.99999999998857,-2141.0000000000373,-3187.9999999999686,,-6335.000000000002
2016.01.04,-1007.9999999999867,31.000000000003247,-1829.9999999999982,-3247.0,,-6053.999999999982
2016.01.04,-963.999999999987,-15.00000000000945,-1503.000000000032,-3073.999999999977,,-5556.0000000000055
2016.01.04,-977.99999999999,-35.00000000000725,-1488.0000000000227,-3102.999999999989,,-5604.000000000009
2016.01.04,-863.9999999999981,-56.000000000011596,-1017.0000000000013,-3059.9999999999736,,-4996.9999999999845
2016.01.04,-1315.9999999999839,-136.00000000000279,-1346.000000000025,-2966.9999999999864,,-5764.999999999998
2016.01.04,-1694.9999999999798,-258.0000000000027,-1673.0000000000355,-2950.000000000008,,-6576.000000000026
2016.01.04,-1693.9999999999955,-285.00000000000193,-1762.0000000000414,-2924.9999999999777,,-6666.000000000016
2016.01.04,-1603.9999999999832,-323.0000000000066,-1770.000000000005,-2988.9999999999973,,-6685.999999999992
2016.01.04,-1488.9999999999848,-249.00000000001032,-1697.0000000000152,-2812.9999999999986,,-6248.000000000009
2016.01.04,-1477.9999999999793,-191.00000000000784,-1780.000000000026,-2836.9999999999786,,-6285.999999999992
2016.01.04,-1465.9999999999895,-241.00000000000233,-1772.000000000018,-2902.0000000000045,,-6381.000000000015
