date,USDCHF,GBPUSD,USDCAD,AUDUSD,NZDUSD,CHFJPY,CADCHF,AUDCHF,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,CADJPY,AUDJPY,NZDJPY,NZDCAD,AUDNZD,empty,sum
2017.07.24,-23.00000000000635,0.0,-96.99999999999153,-21.999999999999797,-148.99999999999915,-22.999999999996135,-63.99999999999739,-2.999999999997449,-3.0000000000143245,-32.0000000000098,-99.00000000000463,-74.99999999998863,-119.00000000000244,-214.00000000000307,-12.000000000000455,-28.999999999996362,0.0,0.0,-24.999999999986144,,-988.9999999999935
2017.07.24,-20.0000000000089,10.999999999983245,-102.99999999998644,-11.999999999989797,-165.9999999999995,-1.0000000000047748,-73.00000000000084,16.0000000000049,68.9999999999884,78.00000000000028,130.0000000000079,-145.99999999998658,-160.00000000000458,-209.9999999999991,-48.00000000000182,15.999999999991132,34.000000000006025,117.00000000000044,-29.999999999996696,,-497.9999999999967
2017.07.24,2.999999999997449,47.99999999998139,-121.99999999999989,11.00000000000545,-203.99999999999307,-13.999999999995794,-17.000000000000348,77.00000000000485,80.99999999998886,106.00000000000608,117.99999999999588,-156.99999999998226,-197.00000000000273,-205.00000000001074,-52.00000000000671,28.999999999996362,88.99999999999864,214.00000000000307,8.000000000008,,-184.0000000000055
2017.07.24,30.999999999992145,78.99999999998464,-130.99999999999224,15.00000000000945,-221.99999999999997,19.99999999999602,-21.999999999999797,81.00000000000884,116.99999999999022,205.99999999999508,109.00000000000354,-191.0000000000025,-235.00000000000742,-214.00000000000307,-38.000000000010914,21.99999999999136,115.99999999999966,250.00000000000577,-8.999999999992347,,-16.000000000031484
2017.07.24,19.999999999997797,112.99999999998533,-102.00000000000209,65.00000000000395,-222.99999999999542,36.000000000001364,-7.9999999999968985,114.99999999999844,150.99999999998204,207.00000000000162,178.00000000001148,-168.99999999998272,-232.00000000000998,-184.00000000000637,-38.000000000010914,85.99999999999852,97.00000000000841,241.99999999999778,46.999999999997044,,400.9999999999794
2017.07.24,-17.000000000000348,137.9999999999937,-51.99999999998539,150.00000000000568,-240.99999999999122,-93.99999999999409,-1.999999999990898,182.99999999999983,-43.00000000000637,167.9999999999904,294.0000000000165,-127.9999999999859,-252.0000000000078,-53.00000000001415,1.9999999999953388,49.99999999999716,5.000000000009663,223.00000000000654,158.0000000000137,,489.0000000000523
2017.07.24,-26.000000000003798,116.99999999998934,-122.99999999998423,93.00000000000975,-222.99999999999542,-295.0000000000017,-5.999999999994898,172.00000000000549,-229.00000000001342,192.99999999999872,243.99999999999977,-37.00000000000614,-282.0000000000045,-112.000000000001,74.99999999998863,-79.00000000000773,-140.00000000000057,199.00000000000472,195.9999999999962,,-263.0000000000207
2017.07.24,39.00000000000014,113.99999999999189,-130.99999999999224,17.000000000000348,-151.9999999999966,-268.0000000000007,-5.999999999994898,124.00000000000189,-137.00000000000045,261.0000000000001,-17.000000000000348,46.00000000002069,-279.00000000000705,-209.00000000001472,148.9999999999867,-127.00000000000955,-171.99999999999704,126.99999999999933,178.99999999999582,,-442.0000000000167
2017.07.24,83.9999999999952,159.99999999998238,-177.99999999998929,-27.999999999994696,-95.00000000000064,-337.99999999999386,17.000000000000348,112.000000000001,-146.99999999999136,351.99999999999676,-76.99999999999375,92.00000000001296,-235.00000000000742,-226.99999999999943,141.9999999999959,-183.00000000000693,-229.99999999998977,94.00000000000519,160.00000000000458,,-524.9999999999728
2017.07.24,95.00000000000064,201.99999999999108,-163.00000000000205,9.00000000000345,-107.99999999999699,-289.0000000000015,11.00000000000545,134.0000000000008,-44.00000000001114,415.99999999999415,-52.99999999999194,66.0000000000025,-262.00000000000665,-204.00000000000418,151.9999999999868,-159.00000000000603,-173.00000000000182,146.99999999999713,170.00000000000347,,-53.000000000036806
