date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,EURCHF,CHFJPY,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,empty,sum
2021.08.23,60.00000000000449,43.00000000001525,-42.999999999993044,-96.9999999999942,-202.9999999999976,56.99999999999594,-57.00000000001815,-42.0000000000087,-167.0000000000016,-37.99999999999359,153.99999999999636,-314.99999999999864,-600.9999999999849,221.00000000000452,-288.99999999998374,48.99999999999238,-58.000000000006935,-123.00000000000466,-121.00000000000443,,-1569.999999999981
2021.08.23,77.00000000000485,77.00000000001594,-62.99999999999084,-79.9999999999983,-218.99999999999142,73.00000000000084,-9.000000000014552,-47.00000000001925,-155.9999999999917,-102.99999999999754,117.999999999995,-228.00000000000597,-407.0000000000018,289.9999999999903,-240.9999999999801,-1.0000000000047748,-99.99999999999432,-156.0000000000059,-44.99999999999504,,-1219.9999999999845
2021.08.23,152.00000000000767,145.00000000001734,-70.99999999999883,-135.99999999999568,-187.00000000000384,165.9999999999995,-235.00000000000742,-114.99999999999844,-153.99999999999636,-117.00000000000044,349.9999999999943,-424.99999999998647,-453.99999999999886,105.99999999998388,-54.99999999998284,165.99999999999682,-281.0000000000059,-194.00000000000261,-215.99999999999397,,-1554.9999999999723
2021.08.23,167.00000000000603,125.00000000001954,-32.999999999994145,-153.99999999999636,-191.00000000000784,185.00000000000182,-239.00000000001143,-104.99999999999955,-150.99999999999625,-104.99999999999955,352.9999999999802,-402.9999999999978,-377.9999999999894,12.999999999996348,-95.999999999985,179.00000000000205,-313.0000000000024,-201.00000000000762,-241.00000000000233,,-1587.9999999999836
2021.08.23,161.00000000000003,158.0000000000137,-55.99999999998939,-163.99999999998727,-146.00000000000168,211.00000000000563,-264.0000000000198,-119.00000000000244,-173.99999999999238,-103.99999999999298,397.99999999999613,-391.9999999999924,-347.9999999999928,-1.0000000000065512,-122.99999999998423,218.9999999999941,-352.00000000000387,-239.00000000000432,-241.99999999999778,,-1576.999999999958
2021.08.23,129.00000000000134,151.00000000001222,-68.99999999998573,-151.9999999999868,-164.00000000000858,187.9999999999993,-216.00000000001617,-97.00000000001374,-201.99999999999818,-118.99999999999133,378.9999999999907,-407.0000000000018,-405.9999999999952,71.99999999998319,-22.999999999995246,197.9999999999933,-316.0000000000025,-194.00000000000261,-226.00000000000398,,-1474.0000000000223
2021.08.23,131.00000000000333,282.0000000000045,-80.99999999999774,-184.99999999998806,-70.99999999999883,282.0000000000045,-333.0000000000055,-104.99999999999955,-237.99999999999955,-46.999999999997044,566.0000000000025,-442.9999999999934,-337.99999999999386,-128.000000000017,-195.9999999999962,286.00000000000136,-441.0000000000025,-300.00000000001137,-280.9999999999979,,-1639.9999999999823
2021.08.23,131.99999999999878,325.0000000000197,-95.999999999985,-180.99999999999739,72.0000000000054,292.00000000000335,-378.00000000001165,-119.00000000000244,-230.00000000000398,-31.999999999998696,603.999999999985,-293.99999999999426,-375.9999999999986,-124.99999999999733,-171.99999999999437,379.99999999999545,-447.00000000000273,-295.0000000000017,-187.00000000000384,,-1126.999999999984
2021.08.23,92.00000000000318,365.99999999999966,-175.99999999999838,-164.99999999999204,187.00000000000384,363.99999999999767,-358.00000000001387,-152.0000000000188,-266.00000000000534,-62.99999999999084,627.9999999999859,-200.99999999998454,-222.99999999999542,-178.99999999999582,6.000000000017103,442.99999999999784,-518.0000000000007,-259.00000000000034,-200.00000000000017,,-673.9999999999911
2021.08.23,-5.999999999994898,401.00000000000693,-237.99999999998266,-163.99999999998727,313.99999999999204,390.99999999999693,-259.0000000000092,-91.00000000001884,-390.00000000000057,-85.99999999999719,663.9999999999873,-68.00000000000139,-215.99999999999397,-157.00000000000713,-153.9999999999875,528.9999999999964,-545.0000000000017,-366.00000000001387,-138.00000000000477,,-579.0000000000214
