date,GBPUSD,USDJPY,AUDUSD,NZDUSD,EURCHF,CADCHF,AUDCHF,NZDCHF,GBPAUD,EURCAD,EURAUD,AUDJPY,NZDCAD,AUDNZD,empty,sum
2017.01.23,-57.99999999998029,-97.99999999999898,-1.999999999990898,-130.99999999999224,-112.000000000001,-119.99999999999788,-160.00000000000458,-180.99999999999784,-297.9999999999983,-165.9999999999995,-134.99999999999625,-1350.0000000000086,0.0,-18.999999999991246,,-2829.9999999999577
2017.01.23,-93.99999999999409,-100.99999999999909,29.000000000001247,-122.99999999999534,-73.99999999999629,-67.00000000000594,-2.999999999997449,-160.00000000000458,-346.0000000000019,19.00000000001345,-146.00000000000168,-192.00000000000728,173.9999999999964,80.99999999999774,,-1002.9999999999948
2017.01.23,-133.99999999998968,-78.00000000000296,38.0000000000047,-280.9999999999979,-120.99999999999334,-126.99999999999933,17.000000000000348,-284.0000000000065,-363.0000000000022,-20.999999999982144,-228.99999999999034,-150.99999999999625,256.0000000000007,-41.000000000002146,,-1518.9999999999568
2017.01.23,-148.99999999999915,287.00000000000614,92.00000000000318,-286.99999999999284,-112.000000000001,-175.00000000000293,75.00000000000284,-291.0000000000079,-234.99999999998522,-43.999999999999595,-113.00000000000753,70.99999999999795,319.99999999999807,-26.999999999999247,,-587.999999999987
2017.01.23,-160.99999999998892,356.9999999999993,85.00000000000173,-283.99999999999534,-131.99999999999878,-175.00000000000293,54.999999999993946,-289.0000000000059,-300.99999999999574,-62.99999999999084,-205.99999999999508,88.99999999999864,292.9999999999988,-14.999999999987246,,-746.9999999999682
2017.01.23,-200.99999999998454,358.0000000000041,87.00000000000374,-290.9999999999968,-187.99999999998818,-165.00000000000404,32.999999999994145,-274.00000000000756,-363.9999999999866,1.0000000000065512,-319.999999999987,93.00000000000352,229.99999999999687,-12.999999999996348,,-1013.9999999999422
2017.01.23,-194.99999999998963,341.0000000000082,-13.999999999991797,-254.99999999999412,-193.99999999998306,-158.99999999999804,-100.00000000000009,-226.00000000000398,-529.999999999986,56.000000000011596,-570.9999999999882,161.00000000000136,214.00000000000307,-113.99999999999189,,-1585.9999999999027
2017.01.23,-347.9999999999928,439.9999999999977,6.0000000000060005,-378.999999999996,-228.99999999999034,-158.99999999999804,-85.99999999999719,-273.000000000001,-566.9999999999842,96.00000000000719,-554.9999999999944,237.99999999999955,243.00000000000432,-167.00000000000603,,-1739.9999999999454
2017.01.23,-555.9999999999787,655.0000000000011,126.99999999999933,-467.9999999999906,-217.0000000000005,-116.00000000000499,-51.000000000001044,-297.9999999999983,-688.9999999999841,124.99999999999733,-513.9999999999923,298.9999999999924,339.0000000000004,-187.00000000000384,,-1550.9999999999638
2017.01.23,-553.9999999999878,650.0000000000057,121.00000000000443,-441.99999999999795,-185.99999999999727,-134.0000000000008,-63.00000000000195,-292.9999999999988,-651.9999999999859,103.00000000000864,-480.99999999999807,213.99999999999864,326.0000000000041,-190.00000000000128,,-1580.9999999999486
2017.01.23,-728.9999999999797,688.0000000000024,195.00000000000074,-500.9999999999959,-188.9999999999947,-94.00000000000519,-46.00000000000159,-297.00000000000284,-804.0000000000047,175.00000000001404,-438.00000000000506,262.00000000000045,358.0000000000028,-224.000000000002,,-1643.9999999999711
2017.01.23,-680.9999999999983,662.9999999999967,135.00000000000733,-467.9999999999906,-168.99999999999693,-94.00000000000519,-75.9999999999983,-290.00000000000136,-800.9999999999851,173.00000000000094,-496.00000000000756,287.9999999999967,358.0000000000028,-205.99999999999508,,-1663.999999999974
2017.01.23,-553.9999999999878,650.9999999999962,128.00000000000588,-451.9999999999969,-170.99999999998784,-102.00000000000209,-92.00000000000318,-292.9999999999988,-766.0,160.00000000000458,-507.9999999999973,281.9999999999965,405.9999999999952,-261.9999999999845,,-1572.9999999999602
2017.01.23,-554.9999999999944,563.0000000000024,75.00000000000284,-431.99999999999903,-150.99999999999002,-70.0000000000034,-106.00000000000608,-248.00000000000378,-773.9999999999858,188.00000000001037,-530.9999999999926,283.9999999999918,348.9999999999993,-194.0000000000053,,-1601.9999999999736
2017.01.23,-444.9999999999843,557.0000000000022,68.00000000000139,-345.99999999999073,-150.99999999999002,-63.99999999999739,-109.99999999999899,-202.9999999999976,-726.0000000000044,197.00000000000273,-537.9999999999941,290.9999999999968,351.0000000000013,-177.00000000000495,,-1295.9999999999582
2017.01.23,-564.9999999999933,554.000000000002,101.00000000000664,-428.9999999999905,-148.99999999999915,-63.99999999999739,-107.99999999999699,-212.00000000000108,-723.9999999999914,174.00000000000747,-502.00000000000244,269.999999999996,346.0000000000019,-190.99999999998562,,-1498.9999999999438
2017.01.23,-730.9999999999927,905.0000000000011,150.00000000000568,-520.9999999999936,-146.99999999998602,-68.00000000000139,-117.99999999999588,-263.99999999999756,-858.0000000000032,182.99999999999983,-534.9999999999966,457.9999999999984,339.99999999999585,-262.999999999991,,-1468.9999999999573
2017.01.23,-680.9999999999983,933.9999999999975,168.00000000000148,-551.9999999999969,-146.00000000000168,-145.00000000000622,-80.00000000000229,-322.00000000000006,-770.9999999999884,26.0000000000149,-468.9999999999861,463.99999999999864,373.00000000000114,-292.00000000000335,,-1492.9999999999698
2017.01.23,-969.999999999982,868.0000000000092,98.0000000000092,-590.999999999997,-139.00000000000023,-141.99999999999767,-173.00000000000094,-348.9999999999993,-1273.9999999999973,39.00000000001125,-597.0000000000031,457.9999999999984,390.99999999999693,-384.00000000000654,,-2764.9999999999595
