date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPAUD,EURJPY,EURCAD,CADJPY,AUDNZD,empty,sum
2018.11.05,-46.0000000000127,0.0,-104.99999999999955,-166.99999999998383,-29.999999999996696,-143.9999999999997,-6.999999999979245,-115.99999999999389,-39.00000000000014,-155.00000000000514,-3.999999999992898,-391.000000000008,-170.99999999999227,-119.99999999998678,-93.00000000000352,-221.99999999998886,,-1809.9999999999434
2018.11.05,-15.00000000000945,123.99999999999079,-89.00000000000574,-150.99999999999002,-12.999999999996348,-143.9999999999997,125.00000000001954,-114.00000000000298,-30.000000000007798,-163.00000000000205,136.00000000000279,-309.0000000000037,-182.00000000001637,92.00000000000318,-87.0000000000033,-171.99999999999437,,-992.0000000000155
2018.11.05,-12.000000000012001,76.99999999999375,-136.99999999998712,-136.99999999998712,0.0,-174.00000000000747,98.0000000000203,-90.99999999999665,-87.99999999999919,-179.00000000000693,148.99999999999915,-395.99999999999636,-175.00000000001137,198.00000000000927,-45.000000000001705,-106.99999999999044,,-1018.999999999974
2018.11.05,-18.0000000000069,133.99999999998968,-137.9999999999937,-119.99999999998678,65.00000000000395,-235.00000000000742,155.00000000001623,-95.99999999999609,-119.00000000000244,-235.00000000000742,202.9999999999976,-469.0000000000083,-164.99999999999204,246.00000000001288,-18.000000000000682,-151.9999999999966,,-961.9999999999781
2018.11.05,-18.0000000000069,173.00000000000094,-121.99999999999989,-139.00000000000023,47.00000000000814,-233.00000000000543,161.00000000001114,-95.00000000000064,-141.99999999999767,-268.99999999999704,221.00000000000452,-534.9999999999966,-212.99999999999386,231.0000000000034,-45.000000000001705,-185.99999999999727,,-1163.999999999969
2018.11.05,41.99999999998649,201.00000000000674,-109.00000000000354,-156.00000000000057,65.99999999999939,-304.9999999999997,137.00000000000932,-58.99999999999794,-146.00000000000168,-341.0000000000024,226.99999999999943,-568.9999999999973,-211.00000000001273,246.99999999999721,-57.00000000000216,-243.99999999999977,,-1277.0000000000193
2018.11.05,55.99999999998939,217.0000000000005,-99.99999999998899,-153.9999999999875,2.000000000002,-214.99999999999852,144.0000000000108,-46.999999999997044,-114.00000000000298,-258.9999999999981,224.000000000002,-466.9999999999952,-193.00000000001205,200.00000000000017,-56.000000000011596,-186.99999999998164,,-948.9999999999686
2018.11.05,90.99999999999665,259.9999999999936,-51.99999999998539,-211.99999999998997,-81.9999999999932,-92.99999999999864,139.00000000000023,-49.99999999999449,-73.00000000000084,-158.0000000000026,214.99999999999852,-336.00000000000296,-137.00000000000045,209.00000000001472,-26.00000000001046,-81.9999999999821,,-386.99999999995737
2018.11.05,100.99999999999554,282.9999999999888,-66.99999999999484,-200.00000000000017,-51.99999999999649,-140.0000000000068,146.00000000000168,-34.99999999999615,-158.99999999999804,-212.99999999999653,231.0000000000034,-574.0000000000078,-152.00000000001523,171.00000000001003,-48.00000000000182,-96.99999999999153,,-805.0000000000061
2018.11.05,114.99999999999844,292.9999999999877,-52.99999999999194,-175.99999999999838,-61.999999999995396,-69.00000000000794,146.00000000000168,-12.999999999996348,-108.00000000000809,-165.9999999999995,248.00000000000378,-432.9999999999945,-128.00000000001432,147.00000000000824,-49.000000000006594,-45.99999999999049,,-354.0000000000037
2018.11.05,150.00000000000568,317.9999999999961,-19.999999999997797,-214.99999999998744,-74.99999999999174,-40.00000000000669,125.00000000001954,-7.0000000000014495,-62.000000000006494,-146.00000000000168,239.0000000000003,-312.00000000000114,-64.99999999999773,161.99999999999548,0.0,-78.99999999998464,,-26.999999999959712
2018.11.05,158.99999999999804,319.999999999987,-18.0000000000069,-203.99999999998198,-48.99999999999905,-60.99999999999994,119.00000000000244,0.0,-106.00000000000608,-182.99999999999983,245.0000000000063,-391.9999999999924,-84.00000000000318,185.00000000001293,3.9999999999906777,-70.99999999999883,,-135.9999999999908
2018.11.05,173.00000000000094,343.00000000000443,-7.0000000000014495,-203.99999999998198,-63.00000000000195,-92.00000000000318,120.00000000000898,12.000000000000899,-91.00000000000774,-219.99999999999798,250.00000000000577,-357.00000000000733,-62.00000000001182,164.00000000000858,6.000000000000227,-146.00000000000168,,-173.9999999999853
2018.11.05,165.9999999999995,331.999999999999,-19.999999999997797,-198.99999999999363,-37.99999999999359,-111.00000000000554,120.00000000000898,6.0000000000060005,-133.00000000000534,-226.00000000000398,250.00000000000577,-468.00000000000176,-98.99999999998954,178.99999999999582,-18.000000000000682,-120.99999999999334,,-379.99999999997016
2018.11.05,139.00000000000023,313.00000000000773,-52.99999999999194,-226.99999999999943,-51.000000000001044,-142.00000000000878,112.000000000001,-21.999999999999797,-124.00000000000189,-250.00000000000577,263.99999999999756,-442.00000000000904,-209.00000000000318,178.99999999999582,-68.00000000001205,-148.99999999999915,,-730.0000000000298
2018.11.05,143.00000000000423,320.9999999999935,-58.000000000002494,-226.99999999999943,-36.999999999998145,-135.00000000000733,126.0000000000039,-21.999999999999797,-119.99999999999788,-231.99999999999886,268.0000000000016,-473.0000000000123,-224.99999999999432,242.00000000000887,-53.00000000001148,-127.99999999999478,,-610.0000000000047
2018.11.05,131.99999999999878,211.00000000000563,-90.99999999999665,-191.99999999999218,-13.999999999991797,-141.00000000000225,46.0000000000127,-10.999999999994348,-130.0000000000079,-245.0000000000063,219.99999999999798,-496.00000000000756,-307.00000000001637,249.99999999999466,-112.00000000000898,-120.99999999999334,,-1001.0000000000078
