date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,AUDJPY,AUDCAD,empty,sum
2015.08.17,-70.0000000000034,-82.00000000000429,-45.99999999999049,-42.999999999992156,-34.99999999998504,-65.99999999999939,-52.000000000007596,-46.00000000000159,-68.99999999999685,-28.000000000005798,-50.0000000000056,-88.99999999999864,-29.99999999997449,-153.00000000002535,-78.00000000000296,-123.99999999999079,-167.00000000000603,-56.000000000011596,-109.99999999999943,-121.99999999999989,,-1516.0000000000014
2015.08.17,6.0000000000060005,-66.99999999999484,-61.99999999998429,26.00000000001046,-24.999999999986144,-83.9999999999952,-83.9999999999952,-60.99999999999994,-100.00000000000009,54.999999999993946,-16.0000000000049,-49.000000000006594,16.000000000016,-107.99999999999699,-99.99999999999432,-117.99999999999588,-205.00000000001074,-38.0000000000047,-143.00000000000068,-160.00000000000458,,-1316.9999999999486
2015.08.17,21.00000000000435,-55.000000000005045,-102.00000000000209,32.00000000001069,-0.9999999999843467,-64.99999999999284,-137.9999999999937,-79.00000000000685,-107.00000000000153,120.99999999999334,17.000000000000348,-48.00000000000182,-34.000000000000696,-234.00000000002308,-121.00000000000932,-52.99999999999194,-123.00000000000644,-83.00000000001084,-102.00000000000387,-136.00000000000279,,-1290.0000000000284
2015.08.17,85.99999999999719,-52.99999999999194,-113.99999999999189,82.00000000000784,13.000000000018552,-47.9999999999925,-123.00000000000644,-97.9999999999981,-104.99999999999955,154.99999999999403,15.999999999993797,-92.00000000001296,12.000000000034206,-186.0000000000195,-116.00000000001387,-98.99999999998244,-120.00000000000898,12.999999999996348,-109.99999999999943,-100.00000000000009,,-986.9999999999758
2015.08.17,84.0000000000063,-34.99999999998504,-190.99999999998562,79.00000000000773,15.00000000000945,-43.999999999999595,-211.99999999998997,-109.00000000000354,-119.00000000000244,182.99999999999983,-41.9999999999976,-110.00000000001364,-44.99999999998394,-342.00000000002007,-212.99999999999386,-217.0000000000005,-190.00000000000128,140.99999999999113,-102.00000000000387,-114.99999999999844,,-1583.999999999965
2015.08.17,89.00000000000574,-51.000000000001044,-228.99999999999034,73.0000000000075,69.00000000000794,-7.9999999999968985,-187.00000000000384,-75.9999999999983,-74.00000000000739,180.99999999999784,-72.0000000000054,-116.00000000001387,-147.99999999999258,-358.9999999999982,-234.00000000000887,-181.9999999999933,-169.00000000001913,201.00000000000674,-52.99999999999727,-131.99999999999878,,-1476.9999999999993
2015.08.17,126.99999999999933,-85.99999999998609,-217.99999999998488,134.00000000000034,110.00000000001009,16.0000000000049,-248.00000000000378,-112.000000000001,-123.00000000000644,190.00000000000128,-48.99999999999905,-200.00000000001705,-141.99999999999767,-363.00000000002444,-170.00000000001592,-146.99999999998602,-141.99999999999767,83.9999999999952,-79.9999999999983,-111.00000000000554,,-1530.0000000000127
2015.08.17,134.99999999999625,-85.00000000000173,-212.99999999999653,171.00000000000648,142.0000000000199,39.00000000000014,-238.0000000000049,-82.99999999999974,-100.00000000000009,95.99999999999609,-45.000000000006146,-191.0000000000025,-191.99999999997,-435.0000000000076,-134.00000000001455,-92.99999999998754,-107.00000000001265,-100.99999999999554,-66.0000000000025,-101.00000000000664,,-1600.9999999999898
2015.08.17,100.00000000000009,-38.0000000000047,-208.99999999999253,136.0000000000099,90.00000000001229,-39.999999999995595,-273.9999999999965,-101.00000000000664,-133.00000000000534,113.99999999999189,-53.999999999998494,-201.00000000002183,-209.9999999999991,-438.9999999999894,-150.00000000000568,-126.99999999998823,-207.00000000000162,-22.0000000000109,-135.99999999999568,-147.00000000000824,,-2048.0000000000064
2015.08.17,167.00000000000603,-35.999999999991594,-191.99999999999218,115.0000000000091,93.00000000000975,-31.999999999998696,-302.0000000000023,-114.99999999999844,-167.00000000000603,235.99999999999176,-56.0000000000005,-201.99999999999818,-144.99999999997294,-316.99999999998954,-150.00000000000568,-126.99999999998823,-213.00000000001873,143.99999999998857,-129.0000000000049,-136.00000000000279,,-1563.9999999999654
2015.08.17,170.00000000000347,-100.99999999999554,-209.9999999999991,152.00000000000102,114.0000000000141,-0.999999999995449,-255.00000000000523,-86.0000000000083,-129.9999999999968,179.99999999999127,-56.99999999999594,-189.99999999999773,-160.99999999998892,-275.00000000002524,-139.00000000001,-112.99999999998533,-184.00000000000637,72.0000000000054,-109.99999999999943,-135.00000000000733,,-1459.0000000000014
2015.08.17,190.00000000000128,-75.00000000000284,-219.99999999999798,165.00000000000625,120.00000000000898,-80.99999999999774,-269.00000000000813,-103.00000000000864,-207.99999999999707,161.00000000000003,-58.000000000002494,-222.0000000000084,-157.99999999996928,-302.00000000002444,-144.00000000000546,-122.99999999998423,-340.00000000000693,29.999999999996696,-204.00000000000773,-214.99999999999852,,-2056.000000000007
2015.08.17,158.99999999999804,-48.99999999998794,-238.0000000000049,162.00000000000614,96.00000000000719,-97.9999999999981,-306.9999999999906,-126.99999999999933,-217.0000000000005,224.9999999999974,-89.00000000000574,-229.00000000001342,-175.99999999999838,-143.00000000000423,-170.00000000001592,-201.99999999999108,-365.0000000000153,187.00000000000384,-213.99999999999864,-219.99999999999798,,-2015.0000000000095
