date,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,CHFJPY,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2020.08.03,-49.00000000001015,-83.9999999999952,-31.000000000003247,-54.999999999993946,-47.00000000000814,-186.0000000000195,-66.99999999999307,-21.999999999999797,-10.000000000019327,-59.99999999999339,-76.99999999999375,-45.000000000001705,-270.99999999999903,-69.99999999999318,-58.9999999999975,-70.00000000000739,-76.99999999999375,-84.99999999999064,-139.00000000000023,,-1504.0000000000127
2020.08.03,-58.000000000002494,-82.99999999998863,-25.00000000000835,-69.9999999999923,-25.00000000000835,-168.0000000000126,-153.99999999999636,91.00000000000774,-50.00000000001137,-89.99999999999008,-99.99999999998899,-82.99999999999841,-434.9999999999854,-67.99999999999784,-81.00000000000307,-28.999999999996362,-92.99999999999864,11.00000000000545,-243.99999999999977,,-1753.9999999999661
2020.08.03,-197.00000000000273,-185.99999999999727,-56.99999999999594,-130.99999999999224,1.999999999990898,-205.00000000001074,-200.00000000000284,87.99999999999919,36.000000000001364,-219.99999999999798,-143.99999999998857,-195.99999999999795,-421.99999999998903,-74.99999999998863,-153.0000000000058,-82.99999999999841,-149.99999999999457,-66.99999999999484,-286.00000000000847,,-2645.9999999999745
2020.08.03,-261.0000000000001,-265.99999999998846,-19.999999999997797,-203.99999999999307,75.9999999999983,-270.00000000001467,-215.0000000000034,92.00000000000318,197.99999999997908,-287.9999999999994,-93.99999999999409,-272.00000000000557,-383.99999999998437,-121.99999999999989,-228.00000000000864,-140.00000000000057,-223.99999999999088,-110.99999999999443,-256.00000000001177,,-2989.0000000000064
2020.08.03,-290.9999999999968,-268.9999999999859,-35.999999999991594,-212.99999999999653,61.999999999995396,-259.0000000000092,-237.99999999999955,86.0000000000083,298.9999999999782,-312.00000000000114,-120.99999999999334,-277.000000000001,-422.9999999999956,-129.99999999999545,-240.0000000000091,-144.00000000000546,-229.99999999999687,-128.99999999999022,-307.99999999999716,,-3172.9999999999836
2020.08.03,-253.00000000001432,-170.99999999998784,-58.000000000002494,-181.9999999999933,32.999999999994145,-307.00000000001285,-228.9999999999992,40.00000000000669,268.0000000000007,-293.0000000000099,-147.00000000000824,-224.00000000000375,-447.99999999998175,-146.99999999999136,-256.0000000000002,-155.00000000000114,-203.99999999999307,-89.99999999999008,-297.0000000000139,,-3120.000000000002
2020.08.03,-313.00000000000773,-190.00000000000128,-201.99999999999108,-211.99999999998997,-94.00000000000519,-396.00000000001853,-335.9999999999985,-60.99999999999994,283.9999999999918,-374.999999999992,-187.99999999998818,-314.9999999999977,-368.9999999999971,-307.9999999999927,-304.00000000000205,-231.99999999999932,-248.99999999999923,-113.99999999999189,-303.0000000000088,,-4276.99999999999
2020.08.03,-28.000000000005798,104.00000000001519,-191.00000000000784,-52.99999999999194,-87.99999999999919,-367.0000000000062,-462.99999999999386,6.0000000000060005,479.99999999998977,-133.99999999998968,-161.99999999999548,-530.0000000000011,-245.99999999999068,-432.9999999999927,-401.00000000001046,-319.0000000000026,-110.99999999999443,-25.999999999992696,-272.00000000000557,,-3233.9999999999695
2020.08.03,-110.00000000001009,59.000000000009045,-157.99999999999147,-120.99999999999334,-84.0000000000063,-383.0,-302.99999999999727,-22.999999999995246,329.9999999999841,-116.00000000000499,-153.00000000000313,-304.00000000000205,-254.999999999983,-316.99999999999307,-299.0000000000066,-213.00000000000807,-125.99999999999278,-13.999999999991797,-294.0000000000165,,-2884.0000000000027
2020.08.03,-209.00000000001472,-24.000000000001798,-58.000000000002494,-92.99999999999864,-29.000000000001247,-432.0000000000102,-233.0000000000041,-56.99999999999594,346.99999999998,-195.9999999999962,-421.0000000000047,-198.0000000000075,-257.99999999998045,-275.99999999999625,-289.0000000000015,-192.00000000000728,-95.00000000000064,-53.999999999998494,-280.9999999999979,,-3048.0000000000396
2020.08.03,-180.0000000000024,-27.999999999983594,-39.999999999995595,-88.99999999999464,-24.000000000001798,-412.00000000001234,-114.00000000000432,12.000000000000899,194.99999999999318,-156.00000000000057,-224.000000000002,-147.00000000000557,-332.9999999999833,-173.00000000000182,-186.9999999999976,-152.00000000000102,-73.00000000000084,-42.999999999993044,-234.00000000000088,,-2401.9999999999873
2020.08.03,-116.00000000000499,-34.000000000000696,-32.999999999994145,-78.99999999999574,-1.0000000000065512,-303.0000000000088,-131.00000000000023,60.00000000000449,167.99999999997794,-113.99999999999189,-167.9999999999904,-78.00000000000296,-323.99999999999096,-114.99999999999488,-135.00000000000512,-82.00000000000784,-83.9999999999952,-24.999999999997247,-246.00000000001288,,-1840.0000000000177
2020.08.03,-157.00000000000713,-45.99999999999049,-82.00000000000429,-117.99999999999588,51.99999999999649,-337.0000000000095,-117.00000000000443,46.00000000000159,216.99999999998454,-197.00000000000273,-136.00000000000279,-108.00000000000409,-213.99999999998087,-104.99999999998977,-167.0000000000016,-115.99999999999966,-149.99999999999457,-78.00000000000028,-221.00000000000452,,-2034.0000000000102
