date,USDCHF,GBPUSD,USDJPY,USDCAD,GBPCHF,EURCHF,CHFJPY,AUDCHF,EURGBP,GBPJPY,GBPAUD,EURJPY,EURCAD,EURNZD,CADJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2016.01.18,-9.000000000014552,-78.00000000000028,-90.99999999999397,-56.99999999999594,62.000000000006494,8.000000000008,-203.00000000000296,97.9999999999981,2.000000000002,-140.99999999999113,273.99999999997425,-9.000000000000341,-191.00000000000784,645.0000000000067,-207.00000000000784,-346.00000000000364,100.00000000000009,207.99999999999707,143.99999999998857,,208.99999999996277
2016.01.18,74.99999999998064,-100.0000000000112,-250.0,-243.99999999999977,-62.000000000006494,-21.00000000000435,-279.0000000000106,208.99999999999253,-61.999999999995396,-366.9999999999902,355.99999999997857,-94.99999999999886,-543.999999999989,1019.9999999999986,-417.0000000000016,-516.9999999999959,65.00000000000395,206.99999999999054,139.00000000000023,,-887.0000000000584
2016.01.18,46.999999999997044,-160.00000000000458,-290.9999999999968,-83.9999999999952,-69.9999999999923,31.999999999987594,-374.00000000000944,223.99999999999088,-17.000000000000348,-503.9999999999907,371.99999999999454,-237.99999999999955,-214.00000000000307,924.0000000000136,-359.00000000000887,-581.0000000000031,221.99999999999997,385.99999999999744,154.99999999999403,,-530.0000000000284
2016.01.18,95.999999999985,-246.99999999999721,-348.99999999998954,-100.99999999999554,-234.00000000000088,65.99999999998829,-371.0000000000093,266.999999999995,-70.0000000000034,-677.9999999999973,261.9999999999845,-283.9999999999918,-253.99999999999866,963.0000000000027,-409.000000000006,-629.0000000000049,221.99999999999997,379.9999999999915,147.99999999999258,,-1222.0000000000553
2016.01.18,51.000000000001044,-167.9999999999904,-350.9999999999991,-146.00000000000168,-89.00000000000574,55.99999999998939,-433.00000000000693,233.99999999998977,0.0,-592.9999999999893,357.99999999999164,-334.99999999999375,-245.99999999999068,780.000000000003,-430.9999999999974,-579.9999999999983,190.00000000000128,292.9999999999988,79.99999999999119,,-1330.0000000000068
2016.01.18,125.99999999998168,-139.00000000000023,-440.9999999999883,-195.9999999999962,-167.00000000000603,38.99999999998904,-435.0000000000023,390.99999999999693,-56.99999999999594,-686.000000000007,716.9999999999899,-316.0000000000025,-441.99999999998687,1036.999999999999,-525.0000000000057,-686.000000000007,305.0000000000108,317.0000000000006,-22.0000000000109,,-1180.0000000000407
2016.01.18,283.99999999999534,-204.00000000000418,-533.0000000000013,-478.0000000000006,-459.99999999999375,143.00000000000423,-353.9999999999992,644.0000000000001,-137.9999999999937,-895.9999999999866,1051.0000000000018,-340.0000000000034,-846.9999999999977,1485.000000000003,-740.9999999999997,-894.0000000000055,321.0000000000046,328.9999999999904,-28.000000000005798,,-1655.9999999999923
2016.01.18,296.9999999999917,-224.000000000002,-610.99999999999,-604.9999999999889,-500.9999999999959,86.0000000000083,-407.0000000000107,790.9999999999973,-198.99999999999363,-1034.9999999999966,1435.9999999999927,-340.0000000000034,-1099.0000000000055,1858.000000000004,-865.9999999999997,-1061.000000000007,430.00000000000813,387.99999999999943,-74.0000000000185,,-1736.0000000000098
2016.01.18,269.9999999999925,-188.9999999999947,-536.9999999999919,-524.9999999999977,-426.9999999999996,116.00000000000499,-365.0000000000091,732.9999999999948,-137.9999999999937,-884.9999999999909,1363.0000000000032,-325.00000000000284,-926.0000000000045,1512.0000000000023,-772.9999999999961,-906.0000000000059,431.99999999999903,301.9999999999912,-172.0000000000166,,-1440.0000000000157
2016.01.18,336.9999999999873,-265.0000000000041,-600.9999999999991,-737.9999999999942,-592.9999999999991,92.00000000000318,-353.00000000000864,908.9999999999932,-246.99999999999721,-1064.9999999999977,1654.0,-281.9999999999965,-1290.9999999999977,1917.0000000000132,-933.0000000000069,-1061.9999999999977,474.9999999999921,310.9999999999946,-214.00000000000307,,-1949.0000000000182
