date,USDCHF,GBPUSD,USDJPY,USDCAD,GBPCHF,EURCHF,CHFJPY,AUDCHF,EURGBP,GBPJPY,GBPAUD,EURJPY,EURCAD,EURNZD,CADJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2016.01.18,-25.00000000000835,-78.00000000000028,-336.9999999999891,-58.99999999998684,-68.00000000000139,-96.00000000000719,-429.00000000000205,-79.00000000000685,-12.999999999996348,-439.9999999999977,-22.0000000000109,-218.00000000000352,-292.9999999999877,0.0,-323.0000000000075,-474.00000000000375,-10.999999999994348,0.0,-28.000000000005798,,-2993.0000000000095
2016.01.18,-72.0000000000054,-113.00000000000753,-283.9999999999918,-251.99999999998556,-63.99999999999739,-70.99999999999883,-347.999999999999,51.99999999999649,-97.00000000000264,-403.99999999999636,261.9999999999845,-207.9999999999984,-574.9999999999922,538.0000000000163,-430.9999999999974,-563.0000000000024,55.000000000005045,100.99999999999554,-39.00000000001125,,-2512.999999999988
2016.01.18,1.999999999990898,-165.9999999999995,-330.99999999998886,-288.99999999998374,-82.99999999998863,-25.999999999992696,-416.000000000011,173.9999999999964,-63.00000000000195,-510.9999999999957,326.0000000000041,-299.99999999999716,-554.9999999999944,703.0000000000092,-477.00000000000387,-629.0000000000049,29.000000000001247,180.99999999999784,56.99999999999594,,-2373.9999999999673
2016.01.18,42.999999999993044,-259.0000000000092,-399.9999999999915,-192.99999999999872,-239.99999999999577,28.999999999990145,-439.00000000000716,213.99999999999199,-80.00000000000229,-742.999999999995,182.99999999999983,-352.00000000000387,-374.999999999992,901.0000000000184,-448.99999999999807,-691.0000000000025,168.00000000000148,357.99999999999164,115.99999999998278,,-2209.000000000027
2016.01.18,43.999999999999595,-246.99999999999721,-450.9999999999934,-200.00000000000017,-236.99999999999832,45.000000000006146,-475.9999999999991,198.99999999999363,-82.99999999999974,-783.9999999999918,178.00000000001148,-388.9999999999958,-388.9999999999949,745.0000000000178,-516.0000000000053,-703.000000000003,143.00000000000423,278.00000000000045,58.000000000002494,,-2784.999999999944
2016.01.18,41.99999999998649,-191.99999999999218,-494.99999999999034,-207.99999999998596,-190.00000000000128,25.00000000000835,-523.0000000000103,173.9999999999964,-65.99999999999939,-823.0000000000075,253.99999999997647,-436.9999999999976,-478.0000000000006,570.0000000000039,-564.0000000000072,-743.9999999999998,117.99999999999588,202.9999999999976,-43.00000000001525,,-3377.0000000000427
2016.01.18,123.99999999999079,-245.0000000000063,-705.9999999999889,-540.9999999999915,-565.9999999999999,38.99999999998904,-463.0000000000081,348.9999999999993,-209.00000000000364,-1138.0000000000052,611.000000000006,-423.9999999999924,-1014.9999999999882,927.0000000000111,-868.9999999999998,-1027.000000000001,261.0000000000112,261.99999999999557,-110.00000000001009,,-4739.999999999993
2016.01.18,241.00000000000233,-259.0000000000092,-685.9999999999928,-664.9999999999823,-516.9999999999897,65.00000000000395,-492.00000000000443,574.9999999999922,-214.99999999999852,-1159.9999999999966,924.9999999999759,-472.999999999999,-1167.0000000000068,1404.0000000000052,-942.9999999999978,-1171.999999999997,267.00000000000614,284.9999999999908,-121.00000000001555,,-4108.000000000013
2016.01.18,266.999999999995,-263.99999999999756,-646.9999999999914,-613.9999999999812,-523.0000000000068,76.99999999999375,-451.9999999999982,688.9999999999952,-214.00000000000307,-1106.9999999999993,1197.999999999988,-396.0000000000008,-1105.0000000000005,1503.0000000000098,-882.000000000005,-1096.999999999994,355.99999999998965,287.9999999999994,-185.00000000001293,,-3108.0000000000196
2016.01.18,232.99999999999432,-266.0000000000107,-609.9999999999994,-740.9999999999917,-609.9999999999994,89.99999999999008,-397.00000000000557,654.9999999999944,-248.00000000000378,-1073.0000000000075,1214.0000000000039,-365.99999999999966,-1293.9999999999952,1377.000000000006,-939.9999999999977,-1063.0000000000023,353.99999999999875,265.99999999999955,-214.00000000000307,,-3633.000000000029
