date,USDCHF,EURUSD,USDJPY,AUDUSD,NZDUSD,CHFJPY,EURGBP,GBPAUD,EURJPY,EURCAD,AUDJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2020.07.20,-45.000000000006146,-217.0000000000005,-81.99999999999363,-70.0000000000034,-99.00000000000463,-271.99999999999136,-224.9999999999974,-61.99999999998429,-322.9999999999933,-293.99999999999426,-88.99999999999864,-106.99999999999932,-80.99999999999774,-34.000000000000696,,-1999.9999999999652
2020.07.20,21.999999999999797,-175.99999999999838,-79.9999999999983,-63.00000000000195,-73.99999999999629,-203.00000000000296,-149.99999999999457,107.00000000001265,-296.99999999999704,-359.99999999998255,-79.00000000000773,-42.00000000000159,-135.99999999999167,-36.999999999998145,,-1567.9999999999586
2020.07.20,-74.00000000000739,-385.99999999999744,-76.99999999999818,-160.00000000000458,-133.00000000000534,-385.9999999999957,-232.99999999999432,95.00000000000064,-471.9999999999942,-509.99999999998823,-171.00000000000648,-116.99999999999022,-189.99999999999017,-107.99999999999699,,-2921.9999999999677
2020.07.20,-90.0000000000012,-387.000000000004,-70.99999999999795,-173.00000000000094,-139.00000000000023,-387.999999999991,-232.99999999999432,91.00000000001884,-471.9999999999942,-499.9999999999893,-183.00000000000693,-132.99999999999557,-197.99999999999818,-114.99999999999844,,-2990.9999999999536
2020.07.20,-91.00000000000774,-364.00000000000875,-51.9999999999925,-148.99999999999915,-141.99999999999767,-396.99999999999136,-241.00000000000233,107.99999999999699,-438.0000000000024,-529.999999999986,-148.00000000001035,-109.99999999999943,-195.9999999999962,-142.99999999999312,,-2892.9999999999905
2020.07.20,-104.99999999999955,-414.00000000000324,-86.99999999998909,-189.00000000000583,-172.00000000000549,-442.99999999999784,-264.999999999993,43.00000000001525,-519.999999999996,-553.9999999999878,-218.00000000000352,-162.9999999999967,-231.99999999999886,-159.9999999999935,,-3478.9999999999554
2020.07.20,-78.00000000000028,-381.0000000000091,-115.99999999999966,-180.0000000000024,-156.99999999999602,-439.9999999999977,-249.99999999999466,33.00000000001635,-504.0000000000049,-509.99999999998823,-216.99999999999875,-165.99999999999682,-217.0000000000005,-154.99999999999403,,-3337.999999999967
2020.07.20,-51.000000000001044,-331.999999999999,-519.999999999996,-161.99999999999548,-150.00000000000568,-691.9999999999931,-276.9999999999939,25.00000000000835,-746.9999999999999,-472.9999999999901,-358.0000000000041,-283.00000000000125,-206.99999999999054,-142.99999999999312,,-4369.999999999955
2020.07.20,68.00000000000139,-185.99999999999727,-411.00000000000136,-65.99999999999939,-33.000000000005244,-564.9999999999977,-317.0000000000006,46.0000000000127,-637.0000000000005,-387.99999999998835,-301.00000000000193,-232.99999999998988,-119.99999999999788,-39.00000000000014,,-3181.999999999966
2020.07.20,86.99999999999264,-144.99999999999514,-378.9999999999907,17.000000000000348,2.999999999997449,-512.999999999991,-378.00000000000057,56.000000000011596,-555.9999999999974,-433.99999999997885,-189.99999999999773,-165.99999999999682,-46.999999999997044,-22.999999999995246,,-2667.999999999939
