date,USDCHF,GBPUSD,EURUSD,USDCAD,GBPCHF,NZDCHF,EURGBP,EURCAD,AUDNZD,empty,sum
2018.11.26,-43.00000000000415,-47.99999999998139,-69.00000000000794,-54.99999999998284,-66.00000000001049,-48.99999999999905,-19.999999999997797,-43.999999999999595,-18.0000000000069,,-411.9999999999901
2018.11.26,-31.000000000003247,-78.99999999998464,-59.99999999999339,-51.000000000001044,-109.00000000000354,-125.00000000000844,-39.00000000000014,11.00000000000545,-15.00000000000945,,-497.9999999999984
2018.11.26,-38.0000000000047,-78.00000000000028,-69.00000000000794,-29.999999999996696,-62.000000000006494,-207.00000000000162,-53.999999999998494,15.999999999993797,-146.00000000000168,,-668.0000000000242
2018.11.26,-51.99999999999649,-131.99999999999878,-89.00000000000574,-72.99999999998974,-77.00000000001594,-197.00000000000273,-92.99999999999864,-18.999999999991246,-147.00000000000824,,-879.0000000000075
2018.11.26,-43.00000000000415,-124.99999999999733,-69.00000000000794,-59.99999999999339,-67.00000000001705,-230.000000000008,-109.99999999999899,-41.000000000002146,-135.00000000001845,,-880.0000000000474
2018.11.26,-43.00000000000415,-194.99999999998963,-52.99999999999194,-38.99999999998904,-121.99999999999989,-229.00000000000142,-143.9999999999997,-25.999999999992696,-163.00000000000205,,-1013.9999999999706
2018.11.26,-107.99999999999699,-188.9999999999947,-102.99999999998644,-41.000000000002146,-113.00000000000753,-250.00000000000577,-137.9999999999937,9.999999999998899,-143.00000000000423,,-1074.9999999999927
2018.11.26,-119.99999999999788,-275.9999999999874,-130.99999999999224,-28.999999999990145,-102.00000000000209,-269.00000000000813,-139.00000000000023,110.00000000001009,-169.00000000001913,,-1124.999999999987
2018.11.26,-121.99999999999989,-229.99999999999687,-100.99999999999554,-2.999999999997449,-70.99999999999883,-314.0000000000032,-132.99999999999423,116.00000000000499,-182.0000000000155,,-1039.9999999999964
2018.11.26,-134.99999999999625,-241.00000000000233,-116.00000000000499,-24.999999999986144,-53.999999999998494,-333.0000000000055,-132.99999999999423,106.00000000000608,-202.00000000001327,,-1132.9999999999952
2018.11.26,-134.99999999999625,-222.99999999999542,-107.99999999999699,-15.999999999993797,-35.00000000000725,-417.0000000000007,-128.99999999999022,124.00000000001299,-177.00000000000495,,-1115.9999999999727
2018.11.26,-117.99999999999588,-163.00000000000205,-41.99999999998649,48.000000000003595,10.999999999983245,-419.00000000000273,-124.99999999999733,80.00000000001339,-182.0000000000155,,-909.9999999999998
2018.11.26,-105.99999999999498,-116.99999999998934,-25.999999999992696,49.00000000001015,-59.000000000009045,-406.00000000000637,-115.99999999999389,75.00000000000284,-201.00000000000674,,-906.99999999998
2018.11.26,-70.99999999999883,-119.99999999998678,-21.999999999988695,63.000000000013046,-26.999999999999247,-403.0000000000089,-131.99999999999878,63.99999999999739,-210.0000000000213,,-857.999999999992
2018.11.26,-36.0000000000027,-109.99999999998789,35.00000000000725,89.00000000000574,-49.00000000001015,-412.00000000000125,-154.99999999999403,45.000000000006146,-207.00000000000162,,-799.9999999999784
