date,CHFJPY,EURGBP,GBPJPY,EURJPY,CADJPY,AUDNZD,empty,sum
2016.07.11,48.00000000000182,97.9999999999981,40.99999999999682,-3.0000000000001137,35.99999999998715,-93.99999999999409,,125.99999999998968
2016.07.11,21.000000000000796,129.9999999999968,61.00000000000705,0.0,28.999999999996362,-140.99999999999113,,100.00000000000986
2016.07.11,-112.99999999999955,129.9999999999968,-173.00000000000182,-204.00000000000773,-86.00000000001273,-146.99999999998602,,-593.000000000011
2016.07.11,-24.999999999991473,166.99999999999494,38.99999999998727,-70.99999999999795,-97.00000000000841,-30.999999999981043,,-17.999999999996675
2016.07.11,-25.99999999999625,81.9999999999932,-118.99999999999977,-96.00000000000364,-94.0000000000083,12.000000000012001,,-241.00000000000279
2016.07.11,-24.00000000000091,100.00000000000009,-55.00000000000682,-64.99999999999773,-74.00000000001228,-28.999999999990145,,-147.0000000000078
2016.07.11,-116.99999999999022,107.99999999999699,-127.00000000000955,-134.00000000000034,-131.00000000000023,-32.999999999994145,,-433.9999999999975
2016.07.11,-150.99999999999625,97.9999999999981,-133.99999999998613,-121.00000000000932,-77.00000000001239,-64.99999999998174,,-449.9999999999878
2016.07.11,-128.0000000000001,168.99999999999693,14.000000000010004,-94.0000000000083,-82.00000000000784,-32.999999999994145,,-154.00000000000347
2016.07.11,-140.00000000000057,100.00000000000009,-116.00000000001387,-109.00000000000887,-74.00000000001228,-59.99999999999339,,-399.0000000000289
2016.07.11,-90.99999999999397,92.99999999999864,-110.00000000001364,-94.0000000000083,-40.00000000000625,-35.999999999991594,,-278.0000000000151
2016.07.11,-129.99999999999545,119.99999999999788,-112.99999999999955,-131.00000000000023,-117.00000000000443,-135.9999999999806,,-506.9999999999824
2016.07.11,-113.99999999999011,78.99999999999574,-155.00000000000114,-114.00000000000432,-123.00000000000466,-148.99999999999915,,-576.0000000000036
2016.07.11,-137.99999999999102,86.99999999999264,-217.00000000001296,-177.0000000000067,-130.00000000000966,-219.99999999999798,,-795.0000000000257
2016.07.11,-272.99999999999613,45.99999999999049,-485.99999999999,-358.0000000000041,-353.00000000000864,-379.99999999998033,,-1803.9999999999886
2016.07.11,-518.0000000000007,8.999999999992347,-883.0000000000098,-636.0000000000099,-538.0000000000109,-393.99999999998323,,-2960.0000000000223
2016.07.11,-762.999999999991,-26.999999999999247,-1243.9999999999998,-908.0000000000013,-690.0000000000119,-472.9999999999901,,-4104.999999999994
2016.07.11,-801.0000000000019,30.999999999992145,-1170.9999999999923,-919.0000000000111,-637.0000000000005,-438.9999999999894,,-3936.000000000003
2016.07.11,-1113.99999999999,-53.00000000000304,-1719.9999999999989,-1272.0000000000055,-892.0000000000101,-492.9999999999879,,-5543.999999999995
2016.07.11,-1227.9999999999945,61.999999999995396,-1558.9999999999975,-1289.0000000000014,-967.000000000013,-480.99999999999807,,-5462.000000000009
2016.07.11,-1155.9999999999918,26.999999999999247,-1525.0000000000057,-1216.9999999999986,-915.0000000000063,-528.9999999999795,,-5314.999999999982
2016.07.11,-1077.9999999999886,281.99999999999335,-1115.000000000009,-1195.999999999998,-791.000000000011,-505.99999999998425,,-4403.999999999997
2016.07.11,-1257.9999999999955,398.9999999999938,-1137.0000000000005,-1368.9999999999998,-831.0000000000031,-573.0000000000013,,-4769.0000000000055
2016.07.11,-1262.0000000000005,534.9999999999966,-1032.999999999987,-1456.0000000000032,-899.0000000000009,-665.9999999999889,,-4780.999999999984
2016.07.11,-1250.0,440.9999999999914,-1193.000000000012,-1472.0000000000084,-947.0000000000027,-592.9999999999991,,-5014.000000000031
2016.07.11,-1417.9999999999923,383.0,-1437.0000000000118,-1600.999999999999,-1017.0000000000101,-649.999999999995,,-5740.000000000009
2016.07.11,-1646.000000000001,486.999999999993,-1450.9999999999934,-1752.0000000000095,-1074.0000000000123,-654.9999999999834,,-6091.000000000007
2016.07.11,-1730.9999999999945,-120.00000000000898,-2604.0000000000136,-1942.9999999999977,-1189.0000000000073,-700.999999999996,,-8288.000000000018
2016.07.11,-1834.9999999999936,-209.9999999999991,-2913.9999999999873,-2073.999999999998,-1299.0000000000066,-759.999999999983,,-9091.999999999969
2016.07.11,-1750.9999999999905,-168.00000000000148,-2727.0000000000036,-1986.000000000004,-1296.0000000000064,-727.9999999999953,,-8656.000000000002
2016.07.11,-1735.99999999999,29.999999999996696,-2391.999999999996,-1957.9999999999984,-1287.0000000000061,-800.0000000000007,,-8142.9999999999945
2016.07.11,-1982.99999999999,25.999999999992696,-2763.0000000000055,-2267.00000000001,-1487.000000000009,-760.9999999999894,,-9235.000000000011
2016.07.11,-1993.9999999999998,-16.0000000000049,-2806.999999999988,-2246.000000000009,-1299.0000000000066,-758.9999999999985,,-9121.000000000007
