date,CHFJPY,EURGBP,GBPJPY,EURJPY,CADJPY,AUDNZD,empty,sum
2016.07.11,-42.00000000000159,-3.0000000000085514,-31.00000000000591,-63.00000000000239,-40.00000000000625,-202.9999999999976,,-382.0000000000223
2016.07.11,-7.999999999995566,57.99999999999139,1.0000000000047748,-46.999999999997044,-20.000000000010232,-175.99999999999838,,-192.00000000000506
2016.07.11,-122.99999999999045,110.99999999999443,-187.99999999998818,-222.0000000000084,-95.00000000001307,-169.99999999998127,,-686.9999999999869
2016.07.11,-128.0000000000001,93.99999999999409,-181.99999999998795,-231.99999999999932,-130.00000000000966,-154.99999999999403,,-732.999999999997
2016.07.11,-67.99999999999784,81.9999999999932,-147.99999999999613,-132.000000000005,-136.0000000000099,-92.99999999998754,,-495.00000000000324
2016.07.11,-86.99999999998909,60.99999999999994,-207.9999999999984,-155.00000000000114,-138.00000000000523,-116.99999999998934,,-643.9999999999832
2016.07.11,-187.99999999998818,67.9999999999903,-235.00000000001364,-197.00000000000273,-199.00000000001228,-119.99999999998678,,-871.0000000000134
2016.07.11,-180.99999999999739,69.9999999999923,-210.00000000000796,-195.99999999999795,-168.00000000000637,-193.99999999998306,,-879.0000000000005
2016.07.11,-217.9999999999893,95.00000000000064,-211.9999999999891,-201.99999999999818,-135.00000000000512,-139.00000000000023,,-810.9999999999812
2016.07.11,-140.00000000000057,74.99999999999174,-129.99999999999545,-114.00000000000432,-96.00000000000364,-68.99999999998573,,-473.99999999999795
2016.07.11,-150.99999999999625,56.0000000000005,-198.0000000000075,-133.00000000000978,-94.0000000000083,-93.99999999999409,,-614.0000000000155
2016.07.11,-137.99999999999102,91.99999999999208,-156.0000000000059,-146.0000000000008,-118.99999999999977,-141.99999999999767,,-609.0000000000031
2016.07.11,-161.99999999999193,61.999999999995396,-223.99999999998954,-171.00000000000648,-140.00000000000057,-169.99999999998127,,-804.9999999999744
2016.07.11,-156.99999999999648,59.99999999999339,-277.9999999999916,-195.99999999999795,-152.00000000000102,-243.99999999999977,,-966.9999999999934
2016.07.11,-366.9999999999902,19.999999999997797,-586.0000000000127,-435.0000000000023,-378.0000000000001,-380.9999999999869,,-2126.9999999999945
2016.07.11,-591.9999999999987,-35.00000000000725,-1022.9999999999961,-737.000000000009,-576.0000000000076,-444.9999999999843,,-3408.0000000000036
2016.07.11,-819.9999999999932,-43.999999999999595,-1283.9999999999918,-975.9999999999991,-740.0000000000091,-518.9999999999806,,-4382.999999999974
