date,EURUSD,USDCAD,CHFJPY,EURJPY,EURNZD,NZDCAD,empty,sum
2019.04.29,-97.00000000001374,-20.999999999982144,-80.99999999998886,-171.00000000000648,-99.00000000000463,-134.99999999999625,,-603.9999999999922
2019.04.29,-99.00000000000463,9.999999999998899,-13.999999999995794,-192.00000000000728,-113.99999999999189,-192.99999999999872,,-601.9999999999994
2019.04.29,-116.00000000000499,31.000000000003247,11.00000000000989,-189.00000000000716,-151.9999999999966,-165.00000000000404,,-579.9999999999995
2019.04.29,-117.00000000001154,43.999999999999595,39.00000000000148,-203.00000000000296,-151.9999999999966,-136.99999999999824,,-526.0000000000082
2019.04.29,-121.99999999999989,38.0000000000047,58.000000000006935,-213.99999999999864,-88.99999999998354,-167.00000000000603,,-495.99999999997647
2019.04.29,-112.000000000001,41.000000000002146,55.00000000000682,-201.00000000000762,-12.999999999996348,-222.99999999999542,,-452.9999999999915
2019.04.29,-110.00000000001009,9.000000000014552,33.00000000000125,-207.9999999999984,52.000000000007596,-263.99999999999756,,-487.9999999999827
2019.04.29,-107.00000000001265,-17.999999999984695,45.000000000001705,-218.00000000000352,187.00000000000384,-273.000000000001,,-383.99999999999636
2019.04.29,-100.0000000000112,-8.999999999992347,34.000000000006025,-222.99999999999898,187.00000000000384,-317.9999999999961,,-428.99999999998875
2019.04.29,-100.0000000000112,19.00000000001345,32.00000000001069,-225.00000000000853,293.99999999999426,-378.00000000000057,,-358.0000000000019
2019.04.29,-162.00000000001768,1.0000000000065512,67.00000000000728,-268.0000000000007,297.0000000000139,-370.00000000000364,,-434.99999999999426
2019.04.29,-186.0000000000195,-17.999999999984695,85.00000000000796,-277.000000000001,226.99999999999943,-361.0000000000002,,-529.9999999999981
2019.04.29,-188.00000000001037,-19.999999999997797,100.00000000000853,-289.0000000000015,208.00000000000819,-339.0000000000004,,-527.9999999999934
2019.04.29,-195.00000000001182,-31.000000000003247,103.00000000000864,-293.00000000000637,195.9999999999962,-328.0000000000061,,-548.0000000000227
2019.04.29,-201.00000000000674,-46.999999999997044,102.00000000000387,-305.9999999999974,236.99999999999832,-348.9999999999993,,-563.9999999999983
2019.04.29,-207.00000000000162,-48.000000000003595,95.00000000001307,-310.0000000000023,253.00000000001432,-346.9999999999973,,-563.9999999999775
2019.04.29,-201.00000000000674,-46.999999999997044,93.00000000000352,-307.00000000000216,212.00000000001216,-341.99999999999784,,-591.9999999999881
2019.04.29,-209.00000000001472,-46.999999999997044,101.0000000000133,-334.0000000000032,188.00000000001037,-312.00000000000114,,-612.9999999999924
2019.04.29,-267.0000000000172,-41.99999999998649,95.00000000001307,-403.99999999999636,97.9999999999981,-326.0000000000041,,-845.9999999999931
2019.04.29,-223.00000000001762,-20.999999999982144,70.00000000000739,-382.000000000005,79.00000000000685,-300.0000000000003,,-776.9999999999909
2019.04.29,-264.0000000000198,11.00000000000545,94.0000000000083,-503.0000000000001,-21.00000000000435,-304.00000000000426,,-987.0000000000148
2019.04.29,-260.0000000000158,63.99999999999739,171.00000000000648,-501.0000000000048,-92.99999999998754,-306.00000000000625,,-925.0000000000105
2019.04.29,-248.00000000000378,70.99999999999883,164.00000000000148,-501.0000000000048,-146.00000000000168,-246.99999999999721,,-907.000000000007
2019.04.29,-276.00000000000955,92.00000000000318,141.00000000000534,-555.0000000000068,-175.99999999999838,-289.0000000000059,,-1063.0000000000123
2019.04.29,-266.0000000000107,120.00000000000898,203.00000000000296,-524.0000000000009,-153.00000000000313,-300.0000000000003,,-920.000000000003
2019.04.29,-240.00000000001796,127.00000000001043,218.00000000000352,-469.0000000000083,-113.99999999999189,-322.9999999999955,,-800.9999999999997
2019.04.29,-226.00000000001506,110.00000000001009,211.00000000001273,-463.0000000000081,-61.99999999998429,-309.99999999999915,,-739.9999999999839
2019.04.29,-201.00000000000674,118.00000000001809,67.00000000000728,-433.00000000000693,-61.99999999998429,-300.0000000000003,,-810.9999999999729
2019.04.29,-167.00000000000603,134.99999999999625,102.00000000000387,-433.00000000000693,-24.000000000001798,-309.99999999999915,,-697.0000000000139
2019.04.29,-161.00000000001114,134.99999999999625,93.00000000000352,-432.00000000000216,5.999999999994898,-300.99999999999574,,-660.0000000000143
2019.04.29,-165.00000000001512,164.00000000000858,51.00000000000193,-400.99999999999625,-8.999999999992347,-331.999999999999,,-691.9999999999922
2019.04.29,-206.00000000001728,104.99999999999955,28.000000000005798,-522.0000000000056,-49.99999999999449,-329.00000000000153,,-974.0000000000136
2019.04.29,-201.00000000000674,76.0000000000094,89.00000000001285,-549.0000000000066,-39.999999999995595,-299.00000000000483,,-923.9999999999916
2019.04.29,-193.00000000002092,80.99999999999774,109.99999999999943,-555.0000000000068,-167.9999999999904,-273.9999999999965,,-999.0000000000174
2019.04.29,-182.0000000000155,146.00000000000168,141.00000000000534,-561.000000000007,-202.9999999999976,-239.99999999999577,,-899.000000000009
2019.04.29,-284.00000000001756,31.000000000003247,160.0000000000108,-620.0000000000045,-221.00000000000452,-233.00000000000543,,-1167.000000000018
2019.04.29,-308.0000000000194,12.999999999996348,197.00000000000273,-673.0000000000018,-273.9999999999965,-234.00000000000088,,-1279.0000000000196
2019.04.29,-292.00000000000335,-98.99999999998244,149.0000000000009,-621.9999999999999,-225.99999999999287,-211.00000000000563,,-1300.9999999999834
2019.04.29,-341.00000000001353,-110.99999999999443,171.00000000000648,-688.0000000000024,-320.9999999999935,-134.99999999999625,,-1424.9999999999936
