date,GBPCHF,GBPJPY,GBPCAD,EURJPY,AUDNZD,empty,sum
2016.12.05,-398.00000000000944,-305.0000000000068,-377.0000000000051,-15.000000000000568,-445.0000000000065,,-1540.0000000000282
2016.12.05,-371.00000000001023,-685.0000000000023,-421.0000000000047,158.00000000000125,-458.9999999999872,,-1778.0000000000032
2016.12.05,-516.0000000000053,-74.00000000001228,-414.00000000000324,313.99999999999295,-499.9999999999893,,-1190.0000000000173
2016.12.05,-473.99999999999665,-584.0000000000032,-478.0000000000006,51.00000000000193,-896.9999999999923,,-2381.999999999991
2016.12.05,-842.0000000000094,-1510.9999999999957,-1219.9999999999989,-257.000000000005,-791.9999999999927,,-4622.000000000002
2016.12.05,-626.9999999999998,-1063.999999999993,-795.0000000000124,-55.00000000000682,-814.999999999988,,-3356.0
2016.12.05,-822.0000000000116,-1253.9999999999907,-1024.0000000000027,-72.00000000000273,-838.0000000000055,,-4010.000000000013
2016.12.05,-748.0000000000153,-1205.9999999999889,-989.0000000000176,-132.99999999999557,-866.9999999999956,,-3943.0000000000127
2016.12.05,-723.0000000000069,-1069.9999999999932,-867.0000000000177,21.000000000000796,-900.9999999999962,,-3540.000000000013
2016.12.05,-632.0000000000103,-710.000000000008,-663.0000000000135,215.99999999999397,-875.0000000000035,,-2664.0000000000414
2016.12.05,-865.0000000000047,-847.0000000000084,-866.0000000000113,237.99999999999955,-740.9999999999917,,-3081.000000000017
2016.12.05,-913.0000000000083,-788.0000000000109,-844.0000000000003,438.99999999999295,-717.9999999999964,,-2824.0000000000227
2016.12.05,-951.9999999999973,-907.999999999987,-880.0000000000141,411.00000000000136,-747.9999999999931,,-3076.99999999999
2016.12.05,-834.0000000000014,-837.9999999999939,-730.0000000000084,364.0000000000043,-760.0000000000051,,-2798.0000000000045
2016.12.05,-815.0000000000101,-913.0000000000109,-735.000000000019,251.99999999999534,-730.9999999999927,,-2942.0000000000373
2016.12.05,-726.0000000000044,-847.9999999999848,-692.0000000000038,260.0000000000051,-624.9999999999867,,-2630.9999999999745
2016.12.05,-758.9999999999985,-793.0000000000064,-734.0000000000124,262.00000000000045,-638.0000000000052,,-2662.000000000022
2016.12.05,-758.0000000000142,-828.000000000003,-723.0000000000069,286.00000000000136,-546.9999999999864,,-2570.000000000009
2016.12.05,-738.0000000000164,-1336.0000000000127,-843.0000000000159,-350.9999999999991,-624.9999999999867,,-3893.000000000031
2016.12.05,-594.0000000000057,-1414.999999999992,-829.0000000000131,-646.0000000000008,-601.9999999999915,,-4086.000000000003
2016.12.05,-733.0000000000059,-1924.0000000000066,-974.0000000000082,-1397.9999999999961,-682.9999999999892,,-5712.000000000006
2016.12.05,-805.0000000000113,-2032.0000000000107,-1167.0000000000068,-1397.0000000000055,-729.9999999999862,,-6131.000000000021
2016.12.05,-656.0000000000122,-1819.9999999999932,-1009.0000000000155,-1213.0000000000082,-719.000000000003,,-5417.000000000032
2016.12.05,-770.000000000004,-1989.0000000000043,-1117.0000000000125,-1304.000000000002,-598.999999999994,,-5779.000000000016
2016.12.05,-895.0000000000014,-2252.999999999986,-1124.0000000000139,-1486.9999999999948,-571.9999999999948,,-6330.99999999999
2016.12.05,-924.9999999999981,-2128.999999999991,-1119.0000000000034,-1634.0000000000005,-614.9999999999877,,-6421.99999999998
2016.12.05,-737.0000000000099,-2081.9999999999936,-1049.0000000000111,-2251.0000000000045,-665.9999999999889,,-6785.000000000008
2016.12.05,-390.0000000000015,-2348.9999999999895,-1194.0000000000061,-2281.000000000006,-824.0000000000025,,-7038.000000000006
2016.12.05,-442.00000000000904,-2393.000000000001,-1274.0000000000196,-2302.9999999999973,-846.9999999999977,,-7259.000000000024
2016.12.05,-279.00000000000705,-2247.9999999999905,-1022.0000000000118,-2135.9999999999955,-817.000000000001,,-6502.0000000000055
2016.12.05,-211.00000000000563,-2151.0000000000105,-827.0,-2164.0000000000014,-912.0000000000017,,-6265.000000000019
2016.12.05,-303.0000000000088,-2206.9999999999936,-836.0000000000146,-2048.000000000002,-946.0000000000024,,-6340.000000000021
2016.12.05,-245.0000000000063,-2174.0000000000064,-774.000000000008,-2250.0,-1011.9999999999907,,-6455.000000000012
2016.12.05,-127.00000000001043,-2276.999999999987,-518.0000000000184,-2609.9999999999995,-978.9999999999966,,-6511.000000000011
2016.12.05,-306.00000000000625,-2663.9999999999873,-571.0000000000103,-2971.999999999994,-910.9999999999951,,-7423.999999999994
2016.12.05,-365.99999999999966,-2739.0000000000045,-640.0000000000183,-2951.0000000000077,-832.9999999999949,,-7529.000000000025
2016.12.05,-330.0000000000081,-2123.9999999999955,-215.00000000000963,-2486.000000000004,-821.000000000005,,-5976.000000000022
2016.12.05,-273.9999999999965,-1866.9999999999902,-200.00000000000017,-2293.0000000000064,-774.9999999999924,,-5408.999999999985
2016.12.05,-199.00000000001583,-1794.0000000000111,-238.0000000000049,-2332.0000000000077,-668.9999999999862,,-5232.000000000026
2016.12.05,17.999999999984695,-1585.000000000008,-43.999999999999595,-2230.000000000004,-638.9999999999895,,-4480.000000000016
2016.12.05,-7.0000000000014495,-1371.9999999999857,-333.0000000000055,-2302.000000000007,-646.9999999999976,,-4660.999999999996
2016.12.05,25.999999999992696,-1407.0000000000107,-278.00000000000045,-2262.0000000000005,-614.0000000000034,,-4535.000000000023
2016.12.05,96.99999999999153,-1490.9999999999854,-312.00000000000114,-2382.000000000005,-665.0000000000044,,-4753.000000000005
2016.12.05,80.99999999999774,-1497.9999999999905,-435.0000000000076,-2382.000000000005,-685.9999999999866,,-4919.999999999992
2016.12.05,75.99999999998718,-1463.9999999999986,-398.00000000000944,-2284.9999999999964,-670.9999999999993,,-4742.000000000016
2016.12.05,41.000000000002146,-1477.0000000000039,-511.000000000017,-2227.9999999999945,-587.0000000000042,,-4762.000000000018
2016.12.05,53.999999999998494,-1530.0000000000011,-520.0000000000093,-2278.9999999999964,-530.9999999999926,,-4806.000000000001
2016.12.05,48.99999999998794,-1662.0000000000061,-486.00000000000864,-2364.999999999995,-509.00000000000387,,-4973.0000000000255
2016.12.06,2.999999999997449,-1646.9999999999914,-490.0000000000126,-2352.9999999999945,-489.99999999999045,,-4976.999999999991
2016.12.06,2.999999999997449,-1650.0000000000057,-500.00000000001154,-2329.0000000000077,-489.0000000000061,,-4965.000000000034
2016.12.06,21.999999999988695,-1609.0000000000089,-501.0000000000181,-2280.000000000001,-500.9999999999959,,-4869.000000000035
2016.12.06,14.000000000002899,-1710.000000000008,-497.0000000000141,-2343.0000000000036,-519.9999999999872,,-5056.00000000001
2016.12.06,4.999999999988347,-1700.9999999999934,-485.0000000000021,-2341.000000000008,-496.99999999999187,,-5019.000000000007
