date,GBPUSD,USDCAD,AUDUSD,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDCAD,empty,sum
2017.04.24,-75.00000000000284,-299.00000000000483,-34.99999999999615,-487.99999999999955,-100.99999999999554,-176.0000000000095,-246.00000000000176,-90.99999999999665,-43.00000000000637,-43.00000000001525,-95.999999999985,-127.99999999999478,-150.00000000000568,-294.00000000001114,0.0,-114.99999999999844,,-2380.0000000000236
2017.04.24,-38.99999999998904,-265.0000000000041,-18.999999999991246,-560.0000000000023,-92.99999999999864,6.999999999990347,-283.99999999999534,-24.999999999997247,90.00000000000341,201.99999999999108,-146.99999999998602,-246.99999999999721,-14.000000000002899,-325.00000000000284,182.99999999999272,-73.99999999999629,,-1609.999999999986
2017.04.24,-168.99999999999693,-333.0000000000055,-305.99999999999517,-501.0000000000048,-102.99999999999754,-240.00000000000688,-153.99999999999858,-7.0000000000014495,298.0000000000018,79.99999999999119,-180.0000000000024,-220.99999999998232,-213.00000000001873,-368.9999999999998,254.99999999999545,-73.99999999999629,,-2237.0000000000173
2017.04.24,-157.99999999999147,-361.9999999999957,-256.99999999999613,-608.0000000000041,-63.99999999999739,-180.0000000000024,-178.00000000000037,2.999999999997449,652.9999999999916,128.99999999997914,-171.99999999999437,-15.999999999993797,-243.99999999999977,-457.00000000000784,597.999999999999,-107.99999999999699,,-1421.0000000000134
2017.04.24,-107.99999999999699,-270.99999999999903,-150.99999999999002,-582.9999999999984,-58.99999999999794,-53.00000000000304,-214.99999999999852,-9.999999999998899,563.999999999993,131.99999999999878,-214.00000000000307,-60.99999999999994,139.00000000000023,-409.000000000006,536.0000000000014,-93.99999999999409,,-856.9999999999927
2017.04.24,-41.000000000002146,-289.9999999999903,-225.99999999999287,-694.0000000000026,19.999999999997797,-75.00000000000284,-253.0000000000032,172.00000000000549,549.0000000000066,274.9999999999808,-292.00000000000335,-6.999999999979245,229.99999999999687,-466.99999999999875,600.9999999999991,-103.99999999999298,,-601.9999999999816
2017.04.24,-113.99999999999189,-279.00000000000705,-135.99999999999167,-974.9999999999943,41.9999999999976,17.000000000000348,-405.9999999999952,161.00000000000003,655.0000000000011,100.99999999999554,-646.9999999999976,-571.9999999999948,295.99999999998516,-506.0000000000002,590.999999999994,-131.99999999999878,,-1903.999999999998
2017.04.24,-143.99999999998857,-279.00000000000705,-75.9999999999983,-906.9999999999965,114.00000000000298,171.99999999999437,-386.9999999999929,251.00000000000122,687.9999999999882,126.99999999998823,-685.0000000000023,-578.9999999999961,632.9999999999947,-493.0000000000092,497.99999999999045,-122.99999999999534,,-1190.0000000000264
2017.04.24,-296.0000000000074,-319.0000000000026,-201.99999999999108,-828.9999999999935,97.00000000000264,62.99999999999084,-322.9999999999955,153.99999999999858,740.0000000000091,-58.000000000002494,-573.0000000000013,-451.99999999998573,273.9999999999965,-457.9999999999984,494.99999999999034,-117.99999999999588,,-1804.9999999999854
2017.04.24,-268.9999999999859,-400.00000000000034,-211.99999999998997,-971.0000000000036,153.00000000000313,97.9999999999981,-353.0000000000033,202.0000000000022,912.0000000000061,27.999999999983594,-592.9999999999991,-440.9999999999803,392.9999999999989,-513.0000000000052,673.0000000000018,-56.0000000000005,,-1348.999999999974
2017.04.24,-404.9999999999887,-435.0000000000076,-180.99999999999784,-1194.0000000000027,233.00000000000543,226.99999999999943,-464.9999999999932,241.00000000000233,938.999999999993,-84.0000000000174,-747.9999999999931,-612.9999999999969,474.999999999981,-534.000000000006,615.9999999999997,-46.999999999997044,,-1975.0000000000198
2017.04.24,-422.9999999999956,-412.9999999999967,-222.99999999999542,-1162.0000000000061,312.9999999999966,284.9999999999908,-469.99999999999267,217.99999999999596,936.000000000007,-96.00000000000719,-744.9999999999957,-538.9999999999784,568.9999999999973,-478.00000000000864,625.9999999999906,-7.9999999999968985,,-1609.999999999995
2017.04.24,-336.00000000000296,-346.0000000000019,-170.99999999999892,-1034.9999999999966,270.0000000000036,255.99999999998957,-448.9999999999994,195.00000000000074,900.0000000000057,-48.000000000003595,-635.9999999999922,-462.9999999999912,478.0000000000006,-422.00000000001125,590.0000000000034,-21.999999999999797,,-1238.999999999994
2017.04.24,-331.999999999999,-275.000000000003,-151.9999999999966,-1084.9999999999936,295.0000000000008,269.9999999999925,-495.000000000001,166.99999999999494,889.00000000001,-169.00000000001913,-634.0000000000013,-366.999999999984,495.99999999998533,-415.00000000000625,646.9999999999914,-29.000000000001247,,-1189.0000000000302
2017.04.24,-356.00000000000074,-253.99999999999866,-164.99999999999292,-1081.9999999999936,344.99999999999534,279.99999999999136,-481.9999999999935,156.99999999999602,1030.0000000000011,-179.00000000001802,-638.9999999999895,-365.99999999999966,485.99999999998647,-414.0000000000015,667.0000000000016,-2.000000000002,,-974.0000000000182
2017.04.24,-302.0000000000023,-251.00000000000122,-159.9999999999935,-1088.9999999999986,341.0000000000024,283.99999999999534,-447.99999999999284,117.99999999999588,877.0000000000095,-131.00000000001444,-611.9999999999903,-350.9999999999902,315.99999999998295,-413.0000000000109,602.9999999999944,36.0000000000027,,-1182.000000000011
2017.04.24,-289.9999999999903,-207.00000000000162,-135.99999999999167,-1003.0000000000001,348.00000000000387,281.99999999999335,-483.99999999999557,97.9999999999981,801.9999999999925,-185.00000000001293,-597.9999999999874,-298.9999999999826,312.9999999999855,-316.0000000000025,537.9999999999967,14.999999999998348,,-1121.9999999999961
