date,USDCAD,AUDJPY,AUDCAD,empty,sum
2017.05.01,-87.99999999999919,-224.00000000000375,-269.9999999999925,,-581.9999999999955
2017.05.01,11.999999999989797,-280.00000000000114,-234.00000000000088,,-502.0000000000123
2017.05.01,-82.00000000000429,-240.99999999999966,-241.00000000000233,,-564.0000000000064
2017.05.01,-29.999999999996696,-168.99999999999693,-231.0000000000034,,-429.99999999999704
2017.05.01,82.99999999998863,-215.99999999999397,-217.99999999998488,,-350.9999999999902
2017.05.01,119.00000000000244,-150.99999999999625,-131.99999999999878,,-163.99999999999258
2017.05.01,72.0000000000054,-275.0000000000057,-197.99999999998707,,-400.9999999999874
2017.05.01,-11.00000000000545,-316.0000000000025,-262.999999999991,,-589.999999999999
2017.05.01,-89.00000000000574,-277.000000000001,-262.999999999991,,-628.9999999999977
2017.05.01,-161.00000000001114,-388.9999999999958,-231.0000000000034,,-781.0000000000103
2017.05.01,-161.00000000001114,-379.99999999999545,-243.99999999999977,,-785.0000000000064
2017.05.01,-148.99999999999915,-411.00000000000136,-285.99999999998624,,-845.9999999999867
2017.05.01,-141.00000000001333,-430.0000000000068,-322.9999999999844,,-894.0000000000045
2017.05.01,-174.99999999999181,-456.99999999999363,-350.9999999999902,,-982.9999999999757
2017.05.01,-212.99999999999653,-450.00000000000284,-370.999999999988,,-1033.9999999999873
2017.05.01,-190.00000000000128,-432.00000000000216,-361.9999999999957,,-983.9999999999991
2017.05.01,-204.00000000000418,-462.0000000000033,-419.9999999999982,,-1086.0000000000057
2017.05.01,-201.00000000000674,-498.9999999999952,-414.00000000000324,,-1114.0000000000052
2017.05.01,-218.00000000000708,-638.0000000000052,-445.99999999999085,,-1302.0000000000032
2017.05.01,-290.00000000001245,-727.9999999999944,-523.9999999999911,,-1541.999999999998
2017.05.01,-327.00000000001063,-688.999999999993,-581.9999999999936,,-1597.9999999999973
2017.05.01,-263.99999999999756,-742.0000000000044,-625.9999999999932,,-1631.9999999999952
2017.05.01,-222.00000000001108,-861.9999999999948,-690.9999999999972,,-1775.0000000000032
2017.05.01,-229.00000000001253,-823.9999999999981,-683.9999999999957,,-1737.0000000000064
2017.05.01,-209.9999999999991,-775.0000000000057,-655.9999999999899,,-1640.9999999999945
2017.05.01,-181.9999999999933,-759.0000000000003,-641.999999999987,,-1582.9999999999807
2017.05.01,-116.00000000000499,-832.9999999999984,-646.9999999999976,,-1596.000000000001
2017.05.01,-104.99999999999955,-816.0000000000025,-696.999999999992,,-1617.999999999994
2017.05.01,-194.0000000000053,-879.0000000000049,-822.9999999999959,,-1896.0000000000061
2017.05.01,-194.0000000000053,-897.9999999999961,-839.9999999999964,,-1931.9999999999977
2017.05.01,-52.000000000007596,-1045.0000000000018,-902.9999999999872,,-1999.9999999999964
2017.05.01,-49.00000000001015,-1007.9999999999956,-917.9999999999966,,-1975.0000000000023
2017.05.01,-66.00000000001049,-1001.9999999999953,-844.9999999999847,,-1912.9999999999905
2017.05.01,-36.999999999998145,-992.999999999995,-912.0000000000017,,-1941.999999999995
2017.05.01,-156.00000000000057,-921.999999999997,-1075.0000000000036,,-2153.0000000000014
2017.05.01,-229.00000000001253,-962.0000000000033,-1068.9999999999866,,-2260.0000000000027
2017.05.01,-63.99999999999739,-995.9999999999951,-966.0000000000002,,-2025.9999999999927
2017.05.01,-5.999999999994898,-1096.999999999994,-892.0000000000039,,-1994.999999999993
2017.05.01,-102.00000000000209,-1126.0000000000048,-897.9999999999987,,-2126.0000000000055
2017.05.01,-141.99999999999767,-1093.999999999994,-919.9999999999875,,-2155.999999999979
