,name,direction
0,USDCHF,B
1,EURUSD,S
2,USDJPY,B
3,USDCAD,B
4,AUDUSD,S
5,GBPCHF,B
6,EURGBP,S
7,GBPJPY,B
8,GBPCAD,B
9,GBPAUD,B
10,EURNZD,S
11,AUDJPY,S
12,NZDJPY,B
13,AUDCAD,S
14,NZDCAD,B
