date,USDCHF,USDJPY,GBPCHF,EURCHF,CADCHF,AUDCHF,GBPCAD,EURNZD,CADJPY,AUDJPY,AUDNZD,empty,sum
2021.06.28,0.0,-88.99999999999864,-25.00000000000835,-170.00000000000347,-151.9999999999966,-300.0000000000003,-625.0000000000089,-557.9999999999918,0.0,-28.000000000005798,-114.99999999999844,,-2062.0000000000123
2021.06.28,-7.0000000000014495,-105.99999999999454,-25.00000000000835,-123.99999999999079,-161.99999999999548,-380.999999999998,-577.0000000000052,-618.9999999999918,61.99999999999761,182.99999999999272,96.00000000000719,,-1659.9999999999882
2021.06.28,-24.000000000001798,-132.99999999999557,76.99999999999375,-90.00000000001229,-121.99999999999989,-324.00000000000205,-636.0000000000143,-631.9999999999882,106.99999999999932,224.00000000000375,175.99999999999838,,-1377.0000000000189
2021.06.28,-2.999999999997449,-90.99999999999397,137.9999999999937,-56.99999999999594,-95.99999999999609,-300.0000000000003,-705.0000000000001,-733.9999999999902,150.99999999999625,203.99999999999352,224.000000000002,,-1268.9999999999884
2021.06.28,-12.000000000000899,-87.0000000000033,95.00000000000064,-59.99999999999339,-113.99999999999189,-278.00000000000045,-703.0000000000092,-716.0000000000056,198.99999999999807,263.00000000000523,263.00000000001324,,-1149.9999999999875
2021.06.28,-17.000000000000348,-111.99999999999477,102.00000000000209,-65.00000000000395,-119.99999999999788,-322.9999999999955,-675.0000000000034,-685.0000000000023,221.9999999999942,278.0000000000058,258.0000000000027,,-1136.9999999999932
2021.06.28,-15.999999999993797,-111.99999999999477,78.00000000000028,-75.00000000000284,-152.99999999999204,-324.00000000000205,-665.0000000000044,-672.0000000000059,165.99999999999682,263.00000000000523,205.00000000001074,,-1304.9999999999827
2021.06.28,28.000000000005798,-30.000000000001137,1.0000000000065512,-95.00000000000064,-188.9999999999947,-369.99999999999255,-653.0000000000147,-496.99999999999187,114.99999999999488,218.9999999999941,163.00000000000205,,-1307.999999999992
2021.06.28,38.0000000000047,3.0000000000001137,-14.000000000002899,-103.99999999999298,-178.99999999999582,-363.99999999999767,-731.9999999999993,-453.99999999999886,75.00000000000284,194.00000000000261,161.99999999999548,,-1374.9999999999818
2021.06.28,124.00000000000189,0.0,-48.99999999998794,-140.99999999999113,-173.00000000000094,-378.999999999996,-765.0000000000157,-517.9999999999962,16.999999999995907,123.00000000000466,170.00000000000347,,-1590.999999999982
2021.06.28,168.00000000000148,19.99999999999602,-52.99999999999194,-146.00000000000168,-178.99999999999582,-364.9999999999931,-773.0000000000015,-490.999999999997,-12.000000000000455,78.99999999999352,144.0000000000108,,-1607.9999999999795
2021.06.28,156.99999999999602,10.99999999999568,-48.000000000003595,-126.0000000000039,-182.99999999999983,-400.9999999999958,-743.0000000000048,-429.99999999999704,28.999999999996362,156.99999999999648,177.00000000000495,,-1400.0000000000155
2021.06.28,167.00000000000603,12.000000000000455,-53.999999999998494,-130.0000000000079,-175.99999999999838,-383.99999999999545,-798.0000000000098,-438.9999999999894,16.000000000005343,164.99999999999204,175.99999999999838,,-1444.9999999999973
2021.06.28,143.9999999999997,37.9999999999967,-51.000000000001044,-104.99999999999955,-154.99999999999403,-388.9999999999949,-807.0000000000022,-380.9999999999869,-4.9999999999954525,152.00000000000102,165.9999999999995,,-1392.9999999999773
2021.06.28,141.00000000000225,70.99999999999795,-75.00000000000284,-114.99999999999844,-162.99999999999093,-390.0000000000015,-825.0000000000091,-424.00000000000216,-7.999999999995566,147.00000000000557,185.00000000001293,,-1455.999999999982
2021.06.28,145.00000000000622,72.00000000000273,-123.99999999999079,-110.99999999999443,-166.99999999999494,-417.99999999999613,-868.000000000002,-441.0000000000025,-7.000000000005002,162.9999999999967,234.00000000000088,,-1521.9999999999795
2021.06.28,145.00000000000622,72.00000000000273,-143.99999999998857,-119.00000000000244,-185.99999999999727,-437.999999999994,-864.0000000000203,-414.00000000000324,-16.000000000005343,182.00000000000216,219.00000000001364,,-1562.9999999999864
2021.06.28,129.00000000000134,48.00000000000182,-140.0000000000068,-129.00000000000134,-185.99999999999727,-446.9999999999974,-866.0000000000113,-404.0000000000044,25.000000000005684,222.99999999999898,229.00000000001253,,-1517.999999999998
2021.06.28,121.99999999999989,7.999999999995566,-195.9999999999962,-144.0000000000108,-192.99999999999872,-419.9999999999982,-912.0000000000017,-441.0000000000025,28.999999999996362,198.99999999999807,208.00000000000819,,-1740.00000000001
2021.06.28,104.99999999999955,25.99999999999625,-357.99999999999164,-144.99999999999514,-203.99999999999307,-449.9999999999948,-1114.9999999999993,-434.000000000001,78.00000000000296,224.99999999999432,192.99999999999872,,-2078.999999999983
2021.06.28,36.999999999998145,-4.0000000000048885,-404.9999999999887,-187.00000000000384,-209.9999999999991,-464.9999999999932,-1184.0000000000073,-370.999999999988,91.99999999999875,245.9999999999951,137.00000000000932,,-2313.9999999999845
2021.06.28,51.000000000001044,57.999999999992724,-383.0,-198.00000000000927,-206.99999999999054,-424.00000000000216,-1160.0000000000055,-504.9999999999999,90.00000000000341,203.00000000000296,137.9999999999937,,-2337.0000000000136
2021.06.28,58.99999999999794,10.000000000005116,-296.0000000000074,-200.00000000000017,-230.99999999999233,-378.999999999996,-1072.0000000000064,-638.0000000000052,31.999999999996476,102.99999999999443,161.99999999999548,,-2450.000000000018
2021.06.28,89.00000000000574,-13.00000000000523,-343.99999999998875,-208.00000000000819,-206.99999999999054,-344.99999999999534,-1103.0000000000095,-834.9999999999858,61.99999999999761,128.0000000000001,207.00000000000162,,-2568.999999999978
2021.06.28,85.00000000000173,-1.9999999999953388,-347.0000000000084,-215.99999999999397,-198.99999999999363,-364.9999999999931,-1120.0000000000098,-794.9999999999901,96.00000000000364,164.00000000000148,249.00000000001032,,-2449.9999999999673
2021.06.28,119.99999999999788,-18.000000000000682,-333.0000000000055,-238.0000000000049,-180.99999999999784,-359.99999999999363,-1253.9999999999995,-896.9999999999923,7.999999999995566,159.9999999999966,286.00000000000847,,-2706.999999999996
