date,GBPUSD,USDCAD,EURGBP,GBPJPY,CADJPY,empty,sum
2021.07.19,-32.999999999994145,41.000000000002146,136.99999999999824,-96.99999999997999,-58.9999999999975,,-10.999999999971237
2021.07.19,-8.000000000008,80.99999999999774,139.99999999999568,-25.999999999982037,-29.999999999986926,,157.00000000001646
2021.07.19,-1.999999999990898,147.99999999999258,178.00000000000037,-105.99999999999454,-52.99999999999727,,165.00000000001023
2021.07.19,9.999999999998899,180.0000000000024,214.99999999999852,-1.999999999981128,12.000000000000455,,415.0000000000191
2021.07.19,11.00000000000545,148.99999999999915,224.9999999999974,50.00000000001137,16.000000000005343,,451.00000000001876
2021.07.19,-11.999999999989797,153.9999999999875,219.00000000000253,130.00000000002387,81.00000000000307,,572.0000000000272
2021.07.19,49.99999999999449,219.99999999999798,222.99999999999542,134.00000000001455,89.00000000001285,,716.0000000000153
2021.07.19,121.99999999999989,324.9999999999975,229.99999999999687,284.00000000002024,204.00000000000773,,1165.0000000000223
2021.07.19,17.000000000000348,227.99999999998377,195.9999999999962,158.00000000001546,129.0000000000049,,728.0000000000007
2021.07.19,85.00000000000173,309.0000000000037,205.99999999999508,172.00000000002547,148.00000000001035,,920.0000000000364
2021.07.19,110.00000000001009,361.9999999999957,217.0000000000005,190.00000000002615,182.00000000000216,,1061.0000000000346
2021.07.19,137.9999999999937,385.99999999999744,251.00000000000122,231.00000000002296,201.00000000000762,,1207.000000000023
2021.07.19,72.0000000000054,350.00000000000585,212.99999999999653,147.00000000001978,172.00000000001125,,954.0000000000388
2021.07.19,59.000000000009045,364.9999999999931,209.9999999999991,103.00000000000864,165.00000000000625,,902.0000000000161
2021.07.19,25.00000000000835,373.99999999998545,209.9999999999991,92.00000000001296,186.00000000000705,,887.000000000013
2021.07.19,69.00000000000794,384.9999999999909,224.9999999999974,164.0000000000157,211.00000000001273,,1054.0000000000246
2021.07.19,53.999999999998494,404.9999999999887,219.99999999999798,133.00000000000978,213.00000000000807,,1025.000000000003
2021.07.19,86.0000000000083,428.9999999999905,210.99999999999451,145.00000000001023,216.00000000000819,,1087.0000000000118
2021.07.19,110.99999999999443,445.99999999999085,221.99999999999997,140.00000000001478,208.00000000001262,,1127.0000000000127
