date,USDCHF,GBPUSD,EURUSD,USDCAD,GBPCHF,CHFJPY,CADCHF,AUDCHF,EURGBP,GBPAUD,EURJPY,EURCAD,EURNZD,CADJPY,AUDCAD,empty,sum
2016.02.15,-53.999999999998494,-198.99999999999363,-150.00000000000568,-104.99999999999955,-287.9999999999994,-206.00000000000307,-134.99999999999625,-40.99999999999105,-17.000000000000348,-353.99999999996544,-118.99999999999977,-79.99999999999119,-240.00000000001796,-84.00000000000318,-129.9999999999968,,-2201.9999999999623
2016.02.15,-75.00000000000284,86.0000000000083,-158.99999999999804,-119.00000000000244,-340.00000000000693,-341.99999999999875,-109.99999999999899,-130.99999999999224,-28.999999999990145,-327.9999999999728,-222.99999999999898,2.999999999997449,-158.0000000000137,-226.99999999998965,-165.9999999999995,,-2317.9999999999595
2016.02.15,-161.00000000000003,100.99999999999554,-77.00000000001594,-105.99999999998388,-554.00000000001,-442.99999999999784,-241.99999999999778,-244.99999999999523,-117.00000000000044,-293.99999999997203,-269.00000000000546,-221.99999999998886,27.999999999983594,-381.0000000000002,-202.0000000000022,,-3183.9999999999905
2016.02.15,-197.99999999999818,209.00000000001472,64.99999999998174,0.0,-601.000000000007,-421.99999999999704,-278.9999999999959,-240.99999999999122,-148.99999999999915,-383.99999999998437,-243.0000000000092,-337.99999999999386,365.99999999999966,-435.0000000000023,-161.00000000000003,,-2810.999999999982
2016.02.15,-188.9999999999947,141.99999999999767,-3.0000000000196536,63.000000000013046,-628.0000000000064,-397.00000000000557,-305.99999999999517,-288.9999999999948,-156.99999999999602,-236.99999999999832,-212.0000000000033,-390.0000000000015,302.0000000000023,-409.9999999999966,-182.99999999999983,,-2893.999999999999
2016.02.15,-158.0000000000026,144.99999999999514,-9.000000000014552,83.00000000001084,-487.99999999999955,-284.9999999999966,-297.9999999999983,-304.9999999999997,-62.99999999999084,-159.99999999998238,-124.00000000000944,-327.00000000001063,133.99999999998968,-348.99999999998954,-195.9999999999962,,-2399.999999999995
2016.02.15,-98.99999999999353,165.00000000001512,-50.0000000000167,124.99999999999733,-438.00000000000506,-320.99999999999795,-299.00000000000483,-376.99999999999403,-39.00000000000014,-131.99999999997658,-169.00000000001114,-341.99999999999784,209.9999999999991,-393.99999999999125,-271.9999999999945,,-2431.9999999999723
2016.02.15,-183.99999999999528,224.000000000002,-51.000000000001044,195.00000000001182,-591.0000000000082,-426.9999999999925,-378.00000000000057,-451.9999999999969,-121.99999999999989,-4.999999999988347,-287.00000000000614,-516.9999999999897,434.000000000001,-503.9999999999907,-273.000000000001,,-2937.9999999999554
2016.02.15,-241.99999999999778,165.9999999999995,-8.000000000008,118.00000000001809,-632.0000000000103,-391.00000000000534,-390.0000000000015,-440.9999999999914,-119.99999999999788,-272.9999999999677,-250.0,-506.9999999999908,170.00000000000347,-527.000000000001,-253.0000000000032,,-3579.999999999954
2016.02.15,-253.99999999999866,187.00000000000384,78.99999999998464,153.00000000000313,-695.0000000000011,-426.9999999999925,-473.0000000000012,-593.9999999999945,-135.99999999999167,180.00000000002458,-347.0000000000084,-644.0000000000001,541.9999999999981,-649.9999999999915,-375.0000000000031,,-3453.999999999968
2016.02.15,-265.99999999999955,219.99999999999798,129.99999999998568,312.00000000000114,-778.000000000012,-454.9999999999983,-507.0000000000019,-658.9999999999985,-176.99999999999383,602.0000000000358,-350.0000000000085,-720.0000000000095,821.9999999999894,-718.9999999999941,-398.9999999999938,,-2943.9999999999995
2016.02.15,-270.99999999999903,314.99999999999864,109.99999999998789,368.9999999999971,-805.0000000000113,-527.000000000001,-543.0000000000045,-790.9999999999973,-205.99999999999508,634.0000000000234,-419.00000000001114,-804.0000000000047,1045.9999999999914,-817.9999999999978,-525.9999999999932,,-3236.0000000000164
2016.02.15,-329.999999999997,319.0000000000026,150.99999999999002,375.0000000000142,-904.0000000000159,-527.000000000001,-573.0000000000013,-812.999999999997,-224.9999999999974,741.0000000000139,-440.00000000001194,-815.9999999999945,991.9999999999928,-823.9999999999981,-515.9999999999942,,-3389.999999999995
2016.02.15,-339.0000000000004,317.9999999999961,96.99999999999153,351.0000000000124,-912.0000000000017,-513.0000000000052,-565.9999999999999,-817.9999999999965,-222.99999999999542,682.0000000000271,-451.9999999999982,-791.9999999999927,986.9999999999824,-828.9999999999935,-539.999999999996,,-3548.99999999997
2016.02.15,-356.00000000000074,312.00000000000114,93.99999999999409,348.00000000001495,-931.0000000000151,-483.99999999999466,-568.0000000000018,-844.9999999999958,-203.99999999999307,779.0000000000408,-527.000000000001,-713.9999999999924,1021.9999999999895,-817.9999999999978,-561.9999999999958,,-3453.9999999999477
2016.02.15,-359.99999999999363,367.0000000000062,87.99999999999919,402.9999999999978,-1026.0000000000157,-483.0000000000041,-609.9999999999994,-939.0000000000009,-226.99999999999943,961.0000000000341,-498.00000000000466,-818.0000000000076,1150.999999999991,-862.9999999999995,-636.9999999999986,,-3490.9999999999955
2016.02.15,-390.0000000000015,361.0000000000113,42.999999999993044,384.00000000000654,-1021.0000000000052,-572.0000000000027,-626.0000000000043,-941.9999999999984,-244.99999999999523,840.0000000000407,-585.9999999999985,-804.0000000000047,1141.9999999999986,-914.999999999992,-612.9999999999969,,-3943.9999999999486
