date,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,AUDCHF,NZDCHF,EURGBP,GBPAUD,EURCAD,EURAUD,AUDCAD,NZDCAD,AUDNZD,empty,sum
2021.07.05,-128.00000000000588,19.000000000005457,-143.00000000000423,-56.99999999999594,-50.99999999998994,-170.00000000000347,-96.99999999999153,8.000000000009777,-241.99999999999778,-248.99999999999923,-41.000000000002146,150.99999999999002,-323.0000000000066,-25.999999999992696,-195.00000000000074,-212.99999999999653,-209.00000000001472,,-1965.9999999999964
2021.07.05,-117.00000000000044,84.00000000000318,-114.99999999999844,-69.9999999999923,-110.99999999999443,-200.00000000000017,-83.9999999999952,85.00000000000796,-231.0000000000034,-234.00000000000088,0.999999999995449,184.00000000000637,-350.00000000000585,39.999999999995595,-170.00000000000347,-129.00000000000134,-157.00000000000713,,-1573.9999999999943
2021.07.05,-123.00000000000644,137.00000000000045,-157.00000000000713,-85.99999999999719,-107.99999999999699,-236.00000000001398,-100.99999999999554,177.0000000000067,-273.000000000001,-300.99999999999574,-39.999999999995595,319.999999999987,-442.00000000000904,117.99999999999588,-240.00000000000688,-293.99999999999426,-180.0000000000024,,-1829.0000000000323
2021.07.05,-156.00000000000057,201.00000000000762,-188.9999999999947,-25.999999999992696,-66.99999999999484,-268.0000000000016,-89.99999999999008,204.9999999999983,-260.00000000000466,-280.9999999999979,-4.000000000004,415.99999999999415,-415.0000000000098,136.00000000000279,-208.00000000000819,-264.999999999993,-180.0000000000024,,-1450.9999999999914
2021.07.05,-162.0000000000066,195.99999999999795,-195.00000000001182,-47.9999999999925,-87.99999999999919,-282.0000000000045,-93.00000000000975,189.99999999999773,-285.00000000000193,-307.0000000000017,-9.00000000000345,367.0000000000062,-409.99999999999926,90.99999999999665,-241.00000000000233,-290.00000000000136,-181.00000000000892,,-1747.0000000000448
2021.07.05,-175.99999999999838,194.00000000000261,-219.00000000001364,-7.9999999999968985,-50.99999999998994,-300.99999999999574,-87.99999999999919,171.00000000000648,-258.9999999999981,-284.0000000000065,5.999999999994898,463.9999999999977,-409.99999999999926,141.99999999999767,-209.00000000000364,-266.999999999995,-180.0000000000024,,-1474.9999999999995
2021.07.05,-189.00000000000583,219.0000000000083,-295.0000000000008,20.0000000000089,-43.999999999999595,-256.00000000001177,-129.00000000000134,186.9999999999976,-241.00000000000233,-285.00000000000193,-49.99999999999449,452.99999999999227,-540.9999999999915,246.00000000001288,-231.99999999999886,-312.00000000000114,-153.00000000000313,,-1601.9999999999925
2021.07.05,-209.00000000000364,195.0000000000074,-317.0000000000117,28.000000000005798,-32.999999999994145,-261.0000000000001,-139.00000000000023,133.00000000000978,-248.00000000000378,-287.0000000000039,-56.0000000000005,438.00000000000506,-547.999999999993,238.0000000000049,-240.00000000000688,-312.9999999999966,-159.00000000002024,,-1778.0000000000018
2021.07.05,-158.0000000000026,159.9999999999966,-256.00000000001177,-11.999999999989797,-68.99999999999685,-209.9999999999991,-116.99999999998934,160.0000000000108,-251.00000000000122,-282.0000000000045,-70.99999999999883,351.99999999999676,-520.9999999999936,201.00000000000674,-243.00000000000432,-309.0000000000037,-154.0000000000097,,-1779.9999999999943
2021.07.05,-172.00000000000549,109.99999999999943,-246.99999999999721,-11.999999999989797,-43.999999999999595,-263.99999999999756,-123.00000000000644,88.00000000000807,-260.00000000000466,-273.000000000001,-39.00000000000014,408.9999999999927,-506.0000000000064,191.00000000000784,-242.00000000000887,-278.9999999999959,-200.00000000000017,,-1863.0000000000055
