date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,GBPJPY,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,AUDJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2015.11.16,-131.99999999999878,-117.00000000001154,-66.00000000001049,-210.99999999999852,0.0,-17.000000000000348,-45.000000000006146,-9.999999999998899,-62.99999999999084,-347.999999999999,-27.00000000001035,-11.00000000000545,-33.00000000001546,-234.00000000002308,0.0,-22.0000000000109,-178.99999999999582,-29.00000000001235,-7.000000000005002,-6.000000000000227,-32.999999999994145,-75.9999999999983,,-1666.0000000000855
2015.11.16,-117.99999999999588,-62.000000000006494,-34.000000000000696,-206.00000000000307,69.9999999999923,-58.000000000002494,-178.00000000000037,-12.000000000012001,1.0000000000065512,-387.00000000000045,-10.000000000010001,-92.00000000000318,127.9999999999859,-385.99999999999744,110.99999999999,42.999999999993044,-201.00000000000674,103.99999999999298,30.9999999999917,-82.99999999999841,2.000000000002,-230.99999999999233,,-1568.0000000000755
2015.11.16,-367.0000000000062,-99.00000000000463,-500.9999999999959,-173.00000000000182,112.000000000001,-176.99999999999383,-162.0000000000066,-302.0000000000023,-147.99999999999258,-330.99999999998886,-165.9999999999995,-116.00000000000499,-128.00000000001432,-836.0000000000146,-602.0000000000039,-514.0000000000144,-269.00000000000813,-246.00000000001288,-215.0000000000034,-164.99999999999204,-141.00000000000225,-113.99999999999189,,-5660.000000000054
2015.11.16,-304.9999999999997,-140.0000000000068,-424.00000000000216,-137.00000000000045,188.9999999999947,-200.00000000000017,-219.00000000000253,-195.9999999999962,-148.99999999999915,-132.99999999999557,-91.00000000000774,-75.9999999999983,-30.000000000001137,-843.0000000000159,-420.0000000000159,-363.0000000000022,-70.0000000000145,-106.00000000000608,-188.0000000000024,-185.99999999999284,-149.99999999999457,-161.00000000000003,,-4398.000000000059
2015.11.16,-249.00000000001032,-93.00000000000975,-367.0000000000062,-263.00000000000523,151.9999999999966,-173.9999999999964,-130.0000000000079,-148.00000000001478,-157.99999999999147,-332.9999999999984,-65.99999999999939,-107.00000000000153,-13.00000000000523,-749.999999999984,-380.0000000000239,-312.00000000000114,-285.00000000000193,-96.00000000000719,-159.00000000000603,-82.99999999999841,-127.99999999999478,-64.99999999999284,,-4207.00000000006
2015.11.16,-239.99999999999577,-181.00000000000892,-266.999999999995,-302.0000000000067,224.000000000002,-186.99999999999272,-242.00000000000887,-31.000000000003247,-69.9999999999923,-326.9999999999982,-24.000000000001798,-112.000000000001,111.99999999999477,-648.9999999999885,-105.00000000001819,-101.00000000001774,-336.00000000000296,99.99999999998899,-61.00000000000705,-101.99999999998965,-78.00000000000028,-97.9999999999981,,-3077.000000000041
2015.11.16,-232.00000000000998,-162.00000000001768,-192.00000000001438,-362.99999999999955,192.99999999999872,-173.9999999999964,-176.0000000000095,-32.0000000000098,-82.00000000000429,-448.99999999999807,-10.000000000010001,-85.00000000000173,203.00000000000296,-631.0000000000038,93.99999999999409,-41.000000000002146,-285.00000000000193,136.99999999998712,-29.000000000010573,-37.9999999999967,-63.00000000000195,-80.00000000000229,,-2497.000000000108
2015.11.16,-214.00000000000307,-153.00000000000313,-255.00000000000523,-325.00000000000284,174.00000000000747,-134.99999999999625,-178.00000000000037,2.999999999997449,-103.00000000000864,-420.99999999999227,-36.0000000000027,-65.99999999999939,228.999999999985,-540.9999999999915,1.999999999981128,-152.0000000000188,-150.00000000000568,192.99999999999872,21.99999999999136,-18.999999999991246,-71.99999999999429,-134.0000000000008,,-2331.0000000000555
2015.11.16,-214.00000000000307,-141.00000000001333,-258.0000000000027,-293.00000000000637,174.00000000000747,-134.99999999999625,-179.00000000000693,-2.0000000000131024,-96.00000000000719,-388.9999999999958,-35.00000000000725,-65.00000000000395,181.99999999998795,-548.9999999999995,-16.000000000019554,-151.00000000001222,-107.00000000001265,210.99999999998343,9.999999999990905,-63.99999999999295,-68.00000000000139,-130.99999999999224,,-2316.0000000001164
2015.11.16,-217.0000000000005,-125.00000000001954,-214.00000000000307,-272.99999999999613,164.00000000000858,-64.99999999999284,-130.0000000000079,-26.0000000000149,-46.0000000000127,-342.9999999999893,-51.000000000001044,-7.9999999999968985,188.99999999999295,-370.999999999988,14.999999999986358,-111.00000000001664,-45.000000000006146,173.00000000000094,62.99999999998818,8.000000000009777,26.000000000003798,-70.99999999999883,,-1458.0000000000537
