date,USDCAD,NZDUSD,AUDCHF,empty,sum
2015.08.24,-1.999999999990898,94.99999999998954,139.99999999999568,,232.99999999999432
2015.08.24,5.999999999994898,89.99999999999008,168.99999999999693,,264.9999999999819
2015.08.24,-87.99999999999919,151.9999999999966,22.999999999995246,,86.99999999999264
2015.08.24,-249.00000000001032,-167.00000000000603,-243.00000000000432,,-659.0000000000207
2015.08.24,-367.99999999999056,-260.00000000000466,-294.00000000000534,,-922.0000000000006
2015.08.24,-405.9999999999952,-332.00000000001006,-329.00000000000153,,-1067.0000000000068
2015.08.24,-415.0000000000098,-409.0000000000038,-316.0000000000052,,-1140.0000000000189
2015.08.24,-482.999999999989,-407.0000000000018,-343.00000000000443,,-1232.9999999999952
2015.08.24,-533.99999999999,-504.9999999999999,-546.000000000002,,-1584.999999999992
2015.08.24,-507.9999999999973,-406.00000000000637,-525.0000000000088,,-1439.0000000000123
2015.08.24,-550.000000000006,-431.0000000000036,-836.0000000000034,,-1817.000000000013
2015.08.24,-699.0000000000052,-726.9999999999999,-1271.0,,-2697.000000000005
2015.08.24,-648.9999999999885,-697.0000000000032,-1201.0000000000077,,-2546.9999999999995
2015.08.24,-594.0000000000057,-671.0000000000105,-975.9999999999991,,-2241.0000000000155
2015.08.24,-543.999999999989,-669.0000000000085,-879.0000000000075,,-2092.000000000005
2015.08.24,-638.0000000000052,-683.0000000000002,-922.0000000000006,,-2243.000000000006
2015.08.24,-635.9999999999922,-617.0000000000009,-857.0000000000077,,-2110.000000000001
2015.08.24,-611.9999999999903,-577.0000000000052,-770.9999999999994,,-1959.999999999995
2015.08.24,-617.0000000000009,-595.0000000000011,-748.9999999999997,,-1961.0000000000018
2015.08.24,-685.0000000000023,-614.0000000000034,-852.0000000000083,,-2151.000000000014
2015.08.24,-574.0000000000078,-488.00000000001063,-646.0000000000022,,-1708.0000000000205
2015.08.24,-367.99999999999056,-410.00000000001035,-322.00000000000006,,-1100.000000000001
2015.08.24,-493.99999999999443,-565.0000000000044,-552.0000000000081,,-1611.0000000000068
2015.08.24,-625.9999999999932,-695.0000000000011,-635.0000000000077,,-1956.000000000002
2015.08.24,-602.999999999998,-716.0000000000056,-775.0000000000034,,-2094.0000000000073
2015.08.24,-685.0000000000023,-706.0000000000066,-929.000000000002,,-2320.000000000011
2015.08.24,-896.9999999999923,-963.0000000000027,-1214.0000000000039,,-3073.999999999999
2015.08.24,-669.9999999999928,-906.0000000000068,-1172.0000000000064,,-2748.000000000006
2015.08.24,-703.0000000000092,-907.0000000000023,-1216.000000000006,,-2826.0000000000173
2015.08.24,-719.000000000003,-977.0000000000057,-1301.0000000000077,,-2997.0000000000164
2015.08.24,-706.999999999991,-942.0000000000095,-1241.0000000000032,,-2890.0000000000036
2015.08.24,-689.0000000000063,-985.0000000000025,-1435.0000000000084,,-3109.0000000000173
2015.08.24,-988.9999999999955,-1714.0000000000043,-2321.0000000000064,,-5024.000000000006
2015.08.24,-707.9999999999975,-1504.0000000000052,-2135.000000000009,,-4347.000000000012
2015.08.24,82.00000000000429,-1211.0000000000066,-1507.0000000000027,,-2636.000000000005
2015.08.24,-116.99999999998934,-1601.000000000008,-1712.0000000000025,,-3430.0
2015.08.24,-678.0000000000008,-1614.9999999999998,-1954.0000000000002,,-4247.000000000001
2015.08.24,-347.0000000000084,-1550.0000000000068,-1718.0000000000084,,-3615.0000000000236
2015.08.24,-253.99999999999866,-1448.0000000000048,-1536.000000000004,,-3238.0000000000073
2015.08.24,-168.99999999999693,-1390.0000000000023,-1284.0000000000073,,-2843.0000000000064
2015.08.24,-302.0000000000023,-1238.0000000000057,-1482.0000000000055,,-3022.0000000000136
2015.08.24,-482.00000000000466,-1291.0000000000089,-1619.9999999999993,,-3393.0000000000127
2015.08.24,-652.0000000000082,-1469.000000000009,-1757.0000000000086,,-3878.000000000026
2015.08.24,-697.9999999999986,-1634.000000000002,-2265.000000000006,,-4597.000000000007
2015.08.24,-802.9999999999982,-1541.0000000000034,-2070.000000000005,,-4414.000000000007
2015.08.24,-824.0000000000025,-1672.0000000000068,-2195.0000000000027,,-4691.000000000012
2015.08.24,-1021.0000000000052,-1718.0000000000084,-2295.0000000000027,,-5034.000000000016
2015.08.24,-1009.9999999999998,-1877.0000000000064,-2517.0000000000027,,-5404.000000000009
2015.08.25,-1056.9999999999968,-1922.0000000000016,-2393.000000000001,,-5371.999999999999
2015.08.25,-1079.0000000000077,-2143.000000000006,-2475.000000000005,,-5697.000000000018
2015.08.25,-1038.0000000000057,-2191.0000000000095,-2502.000000000004,,-5731.00000000002
2015.08.25,-1080.9999999999986,-2161.000000000002,-2490.9999999999986,,-5732.999999999999
2015.08.25,-1069.9999999999932,-2195.0000000000027,-2290.9999999999986,,-5555.9999999999945
2015.08.25,-1066.9999999999957,-1966.0000000000011,-2084.000000000008,,-5117.0000000000055
2015.08.25,-1019.9999999999986,-1665.0000000000055,-1863.999999999999,,-4549.000000000004
2015.08.25,-934.9999999999969,-1714.0000000000043,-1941.9999999999993,,-4591.000000000001
2015.08.25,-926.0000000000045,-1712.0000000000025,-1879.0000000000084,,-4517.0000000000155
2015.08.25,-862.9999999999916,-1511.0000000000068,-1523.0000000000077,,-3897.000000000006
2015.08.25,-754.0000000000102,-1341.0000000000034,-1343.0000000000052,,-3438.000000000019
2015.08.25,-705.0000000000001,-1398.0000000000105,-1475.9999999999995,,-3579.00000000001
2015.08.25,-709.9999999999884,-1470.0000000000045,-1613.0000000000089,,-3793.000000000002
2015.08.25,-723.9999999999914,-1474.0000000000086,-1575.000000000004,,-3773.000000000004
2015.08.25,-814.0000000000036,-1579.0000000000082,-1660.000000000006,,-4053.0000000000177
2015.08.25,-746.0000000000023,-1619.0000000000039,-1768.9999999999984,,-4134.000000000005
2015.08.25,-825.9999999999934,-1618.0000000000084,-1939.0000000000018,,-4383.000000000004
2015.08.25,-917.9999999999966,-1697.000000000004,-2114.0000000000045,,-4729.0000000000055
2015.08.25,-903.0000000000093,-1751.0000000000025,-2012.9999999999982,,-4667.00000000001
2015.08.25,-1052.9999999999927,-1778.0000000000018,-2029.9999999999984,,-4860.999999999993
2015.08.25,-638.9999999999895,-1451.0000000000023,-1444.000000000001,,-3533.9999999999927
2015.08.25,-533.99999999999,-1375.000000000004,-1321.0000000000055,,-3229.9999999999995
2015.08.25,-304.9999999999997,-1479.0000000000082,-1207.0000000000025,,-2991.0000000000105
2015.08.25,-445.99999999999085,-1604.0000000000055,-1500.0000000000014,,-3549.9999999999977
2015.08.25,-343.99999999998875,-1529.0000000000025,-1560.000000000006,,-3432.9999999999973
2015.08.25,86.0000000000083,-1413.0000000000086,-1319.9999999999989,,-2646.999999999999
2015.08.25,-25.00000000000835,-1177.000000000006,-948.9999999999999,,-2151.000000000014
2015.08.25,-76.99999999999375,-1228.0000000000068,-975.0000000000036,,-2280.000000000004
2015.08.25,-185.99999999999727,-1323.0000000000075,-1008.0000000000089,,-2517.0000000000136
2015.08.25,-141.99999999999767,-1281.00000000001,-952.0000000000084,,-2375.0000000000164
2015.08.25,-167.00000000000603,-1288.0000000000002,-1141.9999999999986,,-2597.000000000005
2015.08.25,-255.99999999998957,-1238.0000000000057,-1190.0000000000023,,-2683.9999999999973
2015.08.25,-334.9999999999964,-1149.0,-1241.9999999999986,,-2725.999999999995
2015.08.25,-723.0000000000069,-1235.0000000000084,-1173.0000000000018,,-3131.0000000000173
