date,EURCHF,CADCHF,AUDCHF,EURAUD,NZDCAD,empty,sum
2020.02.03,-100.0000000000112,-50.99999999998994,-37.99999999999359,-123.00000000000644,-13.00000000000745,,-325.0000000000086
2020.02.03,-124.00000000001299,-60.99999999999994,-56.0000000000005,-170.99999999998784,58.99999999999794,,-353.0000000000033
2020.02.03,-93.00000000000975,-39.00000000000014,-113.99999999999189,-243.99999999999977,12.999999999996348,,-477.0000000000052
2020.02.03,-86.0000000000083,-45.99999999999049,-128.99999999999022,-253.99999999999866,13.999999999991797,,-500.9999999999959
2020.02.03,-104.99999999999955,-59.99999999999339,-167.9999999999904,-324.9999999999975,43.999999999999595,,-613.9999999999814
2020.02.03,-144.0000000000108,-126.99999999999933,-282.99999999999994,-563.9999999999867,0.999999999995449,,-1117.0000000000014
2020.02.03,-124.00000000001299,-104.99999999999955,-245.99999999999068,-482.999999999989,7.9999999999968985,,-949.9999999999952
2020.02.03,-151.00000000001222,-134.99999999999625,-295.99999999999625,-573.9999999999857,2.999999999997449,,-1152.999999999993
2020.02.03,-141.00000000001333,-134.99999999999625,-237.99999999999378,-434.9999999999854,40.99999999999105,,-907.9999999999976
2020.02.03,-84.0000000000174,-71.99999999999429,-167.9999999999904,-350.00000000000585,3.999999999992898,,-670.000000000015
2020.02.03,-68.00000000000139,-75.9999999999983,-137.9999999999937,-299.99999999998914,11.999999999989797,,-569.9999999999927
2020.02.03,-60.000000000015596,-68.99999999999685,-135.99999999999167,-313.99999999999204,19.999999999997797,,-558.9999999999983
2020.02.03,-57.00000000001815,-69.9999999999923,-142.99999999999312,-333.0000000000055,-19.00000000000235,,-622.0000000000115
2020.02.03,-20.000000000020002,-26.999999999999247,-148.99999999999915,-402.9999999999978,-56.0000000000005,,-655.0000000000166
2020.02.03,-38.0000000000047,-52.99999999999194,-207.99999999999707,-529.999999999986,-86.0000000000083,,-914.9999999999881
2020.02.03,-28.000000000005798,-37.99999999999359,-200.00000000000017,-526.9999999999886,-115.00000000000954,,-907.9999999999977
2020.02.03,-15.00000000000945,-26.999999999999247,-201.99999999999108,-546.000000000002,-112.000000000001,,-902.0000000000028
2020.02.03,-57.00000000001815,-58.99999999999794,-210.99999999999451,-536.0000000000032,-102.00000000000209,,-965.0000000000158
