date,USDCHF,AUDUSD,GBPCHF,EURCHF,CHFJPY,EURGBP,GBPJPY,EURCAD,CADJPY,AUDJPY,AUDCAD,AUDNZD,empty,sum
2018.04.16,-46.999999999997044,-4.999999999999449,0.0,0.0,-167.99999999999216,-114.00000000000298,-144.00000000000546,-83.9999999999952,-1.0000000000047748,-42.00000000000159,0.0,-38.0000000000047,,-643.0000000000033
2018.04.16,-53.999999999998494,4.999999999999449,115.99999999998278,46.999999999997044,-218.9999999999941,-82.00000000000429,-6.000000000000227,-76.99999999999375,83.99999999998897,-17.000000000010118,26.999999999999247,-51.000000000001044,,-227.00000000003453
2018.04.16,46.00000000000159,-43.00000000000415,236.99999999999832,124.00000000001299,-178.99999999998784,-109.99999999999899,-21.99999999999136,-135.9999999999806,45.99999999999227,-124.00000000000944,-115.99999999999389,-171.99999999999437,,-448.9999999999555
2018.04.16,134.0000000000008,-114.00000000000298,343.99999999998875,212.99999999999653,-185.99999999999284,-99.00000000000463,68.9999999999884,-117.99999999999588,69.99999999999318,-166.00000000001103,-178.99999999999582,-236.99999999999832,,-269.0000000000338
2018.04.16,166.99999999999494,-104.00000000000409,442.9999999999934,277.00000000001614,-131.00000000000023,-97.9999999999981,62.99999999998818,-152.99999999998093,48.99999999999238,-157.0000000000107,-165.00000000000404,-222.99999999999542,,-32.00000000000833
2018.04.16,148.0000000000037,-63.00000000000195,423.99999999997993,262.00000000000665,-125.0,-95.00000000000064,63.99999999999295,-159.99999999998238,30.000000000001137,-94.0000000000083,-131.00000000000333,-218.00000000000708,,41.99999999998076
2018.04.16,95.00000000000064,-100.99999999999554,396.9999999999807,225.00000000000853,-114.99999999999488,-85.99999999999719,-32.00000000001069,-251.99999999998556,-70.00000000000739,-124.00000000000944,-160.00000000000458,-228.00000000000597,,-451.0000000000214
2018.04.16,95.00000000000064,-128.00000000000588,405.9999999999952,238.0000000000049,-134.00000000000034,-85.00000000000173,-12.000000000000455,-255.99999999998957,-61.99999999999761,-115.99999999999966,-207.99999999999707,-209.00000000001472,,-471.00000000000625
2018.04.16,89.00000000000574,-153.00000000000313,485.99999999998647,258.0000000000027,-118.99999999999977,-48.99999999999905,98.00000000001319,-268.0000000000016,-22.00000000000557,-121.00000000000932,-224.000000000002,-139.00000000000023,,-164.00000000001256
2018.04.16,63.99999999999739,-161.99999999999548,469.99999999999267,242.00000000000887,-85.99999999999852,-56.0000000000005,-12.000000000000455,-273.9999999999965,-99.00000000000375,-115.0000000000091,-236.99999999999832,-184.00000000000637,,-449.0000000000101
