date,GBPUSD,GBPCHF,EURCHF,CADCHF,AUDCHF,NZDCHF,GBPCAD,GBPAUD,EURNZD,NZDCAD,AUDNZD,empty,sum
2015.04.13,-117.00000000001154,-156.00000000000057,-28.000000000005798,-73.00000000000084,-53.00000000000304,-70.0000000000034,-85.00000000000173,-129.00000000000134,-222.99999999999542,-164.00000000000858,-121.99999999999989,,-1220.0000000000323
2015.04.13,-90.99999999999665,-48.99999999998794,-54.0000000000207,-135.99999999999167,-95.00000000000064,-124.00000000000189,100.0000000000112,-150.00000000000568,-133.00000000000534,90.0000000000012,-70.0000000000145,,-712.0000000000125
2015.04.13,-29.00000000001235,-119.99999999998678,-34.000000000000696,-108.99999999999244,-65.00000000000395,-97.00000000000264,121.00000000001555,-245.0000000000063,-168.99999999999693,81.9999999999932,-118.00000000001809,,-783.0000000000114
2015.04.13,-8.000000000008,-99.00000000000463,44.99999999998394,-83.9999999999952,-92.00000000000318,-85.99999999999719,124.00000000001299,-324.9999999999975,-290.00000000001245,41.9999999999976,-86.0000000000083,,-859.0000000000318
2015.04.13,71.99999999998319,-92.00000000000318,66.99999999999484,-52.99999999999194,-101.00000000000664,-121.00000000000443,111.00000000001664,-385.00000000001313,-407.0000000000018,-23.00000000000635,-129.00000000000134,,-1061.000000000034
2015.04.13,37.99999999998249,-96.99999999999153,52.99999999999194,-76.99999999999375,-156.00000000000057,-58.000000000002494,195.00000000001182,-478.0000000000006,-280.9999999999979,83.9999999999952,-32.0000000000098,,-809.0000000000152
2015.04.13,61.99999999998429,-143.00000000000423,25.999999999992696,-95.00000000000064,-259.0000000000092,-109.00000000000354,200.00000000000017,-676.9999999999943,-320.00000000000915,65.99999999999939,37.99999999998249,,-1211.000000000062
2015.04.13,36.999999999998145,-29.999999999996696,-29.00000000001235,-200.00000000000017,-302.0000000000023,-157.00000000000713,209.00000000001472,-761.999999999996,-365.0000000000153,43.999999999999595,119.99999999998678,,-1435.0000000000307
2015.04.13,80.99999999999774,-2.999999999997449,-31.000000000003247,-217.99999999999596,-274.00000000000756,-135.00000000000733,380.00000000000256,-653.0000000000147,-306.00000000000625,159.9999999999935,112.99999999998533,,-886.0000000000534
2015.04.13,59.99999999999339,-14.999999999987246,-29.00000000001235,-219.00000000000253,-260.00000000000466,-136.99999999999824,418.0000000000073,-658.0000000000031,-292.00000000000335,196.99999999999162,45.99999999999049,,-889.0000000000286
2015.04.13,-175.99999999999838,-82.99999999998863,-43.00000000001525,-256.99999999999613,-710.0000000000106,-480.0000000000027,468.00000000000176,-1814.0000000000045,-930.0000000000086,-248.99999999999923,95.999999999985,,-4178.000000000038
2015.04.13,-197.00000000000273,-7.0000000000014495,-54.0000000000207,-293.99999999999426,-748.0000000000042,-600.0000000000006,493.0000000000101,-1896.9999999999932,-1164.0000000000095,-361.0000000000002,154.99999999999403,,-4674.000000000023
2015.04.13,-194.0000000000053,77.00000000001594,-30.0000000000189,-302.9999999999977,-758.0000000000031,-519.0000000000028,499.000000000005,-1827.000000000001,-1051.0000000000018,-214.99999999999852,189.99999999997908,,-4131.000000000028
2015.04.13,-188.00000000001037,80.00000000001339,-36.0000000000138,-310.9999999999946,-789.0000000000064,-702.0000000000026,490.0000000000126,-1895.0000000000023,-1402.9999999999986,-468.00000000000176,34.99999999998504,,-5187.000000000019
2015.04.13,-239.00000000001143,62.000000000006494,-25.00000000000835,-310.9999999999946,-878.000000000001,-783.0000000000003,517.0000000000119,-2151.000000000014,-1544.000000000012,-548.0000000000041,11.999999999989797,,-5888.000000000037
2015.04.13,-302.0000000000023,83.9999999999952,-37.00000000002035,-303.9999999999932,-913.0000000000083,-818.0000000000076,462.0000000000068,-2177.000000000007,-1617.0000000000018,-605.0,-34.000000000000696,,-6261.000000000039
2015.04.13,-392.00000000001455,78.00000000000028,-2.0000000000131024,-270.99999999999903,-838.0000000000055,-751.0000000000017,320.00000000000915,-1991.9999999999939,-1513.0000000000089,-544.0,-14.000000000002899,,-5919.00000000003
2015.04.13,-660.0000000000161,192.00000000001438,-4.000000000004,-261.0000000000001,-814.0000000000036,-723.0000000000069,60.000000000015596,-1852.9999999999936,-1432.9999999999955,-503.000000000009,25.999999999992696,,-5973.000000000006
2015.04.13,-506.0000000000064,304.9999999999997,-63.000000000013046,-356.9999999999962,-824.0000000000025,-701.0000000000072,19.00000000001345,-1564.999999999994,-1378.0000000000125,-448.9999999999994,33.99999999997849,,-5485.000000000039
2015.04.13,-531.0000000000148,306.00000000000625,-65.00000000000395,-348.9999999999993,-803.0000000000092,-756.9999999999966,182.0000000000155,-1595.0000000000132,-1505.0000000000007,-494.00000000000557,-28.000000000005798,,-5639.000000000026
2015.04.13,-385.99999999999744,-14.999999999987246,-6.000000000017103,-324.9999999999975,-774.000000000008,-668.9999999999974,228.00000000000597,-2015.9999999999957,-1466.0000000000118,-425.0000000000087,4.999999999988347,,-5849.000000000027
2015.04.13,-337.0000000000095,-286.99999999999284,1.999999999990898,-229.99999999999687,-818.0000000000076,-633.0000000000058,462.0000000000068,-2415.0000000000114,-1456.9999999999973,-534.0000000000011,56.99999999999594,,-6190.000000000028
2015.04.13,-492.0000000000035,-323.99999999999096,17.999999999984695,-153.99999999999858,-790.0000000000018,-609.000000000004,337.0000000000095,-2412.000000000014,-1350.0000000000068,-562.0000000000069,114.99999999999844,,-6223.000000000035
