date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,NZDCHF,GBPCAD,GBPAUD,EURJPY,EURAUD,EURNZD,NZDJPY,AUDCAD,NZDCAD,empty,sum
2020.09.28,-29.000000000001247,0.0,-120.00000000000455,-53.999999999998494,-29.000000000001247,-55.000000000005045,-65.00000000000395,-27.000000000001023,-77.00000000000485,-225.99999999999287,-137.00000000000932,-11.00000000000989,-63.99999999999739,-2.0000000000131024,-159.00000000000603,-16.0000000000049,-62.99999999999084,,-1134.000000000045
2020.09.28,-31.999999999998696,7.0000000000014495,-158.00000000000125,-56.99999999999594,4.999999999999449,-117.99999999999588,-65.00000000000395,73.0000000000075,-217.0000000000005,-225.99999999999287,-90.00000000001229,39.99999999999204,-14.999999999987246,-267.0000000000172,-233.99999999999466,97.9999999999981,-157.99999999999147,,-1413.9999999999932
2020.09.28,-51.99999999999649,43.999999999999595,-192.99999999999784,-34.99999999998504,27.999999999994696,-148.0000000000037,-55.000000000005045,121.99999999999989,-153.00000000000313,-105.99999999998388,-253.99999999999866,101.99999999998965,-100.99999999999554,14.999999999987246,-227.99999999999443,118.99999999999133,-135.99999999999167,,-1030.999999999993
2020.09.28,-2.000000000002,99.99999999998899,-96.00000000000364,-18.0000000000069,84.99999999999064,-121.99999999999989,-39.999999999995595,155.00000000000114,-134.99999999999625,-92.00000000000318,-256.99999999999613,105.99999999999454,-34.99999999998504,95.999999999985,-197.00000000000273,180.99999999999784,-143.9999999999997,,-415.00000000003297
2020.09.28,-19.00000000000235,79.00000000000685,-108.99999999999466,-18.0000000000069,90.99999999999665,-102.99999999999754,-31.000000000003247,153.0000000000058,-133.00000000000534,-42.999999999993044,-261.0000000000001,120.99999999999511,-65.99999999998829,123.99999999999079,-191.0000000000025,193.99999999999417,-118.99999999999133,,-330.9999999999959
2020.09.28,-12.999999999996348,99.99999999998899,-103.9999999999992,2.0000000000131024,103.99999999999298,-112.000000000001,-17.000000000000348,147.99999999999613,-133.00000000000534,-112.000000000001,-236.00000000001398,109.99999999999943,-61.99999999998429,140.99999999999113,-195.99999999999795,202.9999999999976,-113.99999999999189,,-291.000000000012
2020.09.28,-67.00000000000594,28.999999999990145,-105.00000000000398,-97.9999999999981,51.99999999999649,-121.00000000000443,-19.00000000001345,25.000000000005684,-150.00000000000568,-174.99999999999181,-419.0000000000138,-22.00000000000557,-316.99999999998954,112.000000000001,-180.99999999999739,199.9999999999891,-161.00000000000003,,-1417.0000000000473
2020.09.28,-92.00000000000318,-70.99999999999883,1.9999999999953388,-168.99999999999693,39.999999999995595,-112.000000000001,-82.00000000000429,-152.9999999999916,-138.00000000000477,-252.99999999999213,-384.00000000000654,-290.00000000000625,-288.99999999998374,89.99999999999008,-129.99999999999545,245.99999999999068,-146.99999999999713,,-1932.00000000001
2020.09.28,-80.00000000000229,-59.99999999999339,33.00000000000125,-163.00000000000205,31.999999999998696,-100.00000000000009,-80.00000000001339,-126.99999999999534,-167.00000000000603,-200.00000000000017,-382.0000000000157,-257.000000000005,-346.9999999999862,29.999999999996696,-97.99999999999898,221.99999999999997,-142.99999999999312,,-1887.000000000015
2020.09.28,-84.0000000000063,4.000000000004,-30.000000000001137,-72.99999999998974,175.99999999999838,-139.99999999999568,-22.0000000000109,-60.99999999999284,-192.00000000000327,-168.99999999999693,-459.0000000000094,-116.00000000001387,-417.99999999998505,-14.000000000002899,-165.99999999999682,349.99999999999477,-181.9999999999933,,-1596.000000000001
2020.09.28,-63.00000000000195,62.000000000006494,16.000000000005343,-34.99999999998504,217.99999999999596,-192.00000000000327,8.999999999992347,-106.99999999999932,-240.00000000000688,-187.00000000000384,-564.000000000009,-106.00000000000875,-475.99999999998755,-79.00000000000685,-174.0000000000066,389.99999999999034,-237.99999999999378,,-1766.000000000022
2020.09.28,-58.000000000002494,102.99999999998644,93.99999999999409,-29.999999999996696,217.99999999999596,-187.9999999999993,27.999999999983594,-134.00000000000034,-226.99999999999943,-170.99999999998784,-599.0000000000161,-144.00000000000546,-472.9999999999901,-38.0000000000047,-135.99999999999568,386.9999999999929,-234.99999999999633,,-1603.0000000000416
2020.09.28,-68.00000000000139,110.99999999999443,118.99999999999977,-22.999999999995246,225.99999999999287,-175.99999999999838,27.999999999983594,-164.00000000000148,-228.00000000000597,-197.00000000000273,-451.0000000000014,-135.00000000000512,-354.9999999999942,-23.00000000001745,-109.99999999999943,383.0,-228.99999999999034,,-1292.0000000000427
2020.09.28,-24.000000000001798,117.99999999999588,131.00000000000023,-5.999999999994898,228.99999999999034,-187.00000000000384,12.999999999996348,-108.99999999999466,-214.00000000000307,-193.99999999998306,-479.0000000000072,-125.0,-400.00000000000034,-42.0000000000087,-128.0000000000001,389.99999999999034,-219.99999999999798,,-1247.000000000022
2020.09.28,-36.999999999998145,131.99999999999878,135.99999999999568,26.999999999999247,272.99999999998994,-197.99999999999818,21.999999999988695,-114.99999999999488,-219.00000000000253,-194.99999999998963,-541.9999999999981,-103.00000000000864,-422.9999999999956,-43.999999999999595,-132.99999999999557,412.9999999999967,-218.99999999999142,,-1225.0000000000034
2020.09.28,-36.999999999998145,89.00000000000574,135.99999999999568,0.0,258.9999999999981,-190.00000000000128,5.999999999994898,-168.99999999999693,-209.9999999999991,-170.99999999998784,-608.0000000000085,-200.00000000000284,-532.9999999999835,-11.00000000000545,-114.00000000000432,406.9999999999907,-212.99999999999653,,-1558.9999999999993
2020.09.28,-43.999999999999595,89.00000000000574,161.00000000000136,-11.00000000000545,265.99999999999955,-155.00000000000514,4.000000000004,-168.99999999999693,-195.9999999999962,-225.99999999999287,-585.9999999999976,-201.00000000000762,-537.9999999999941,-6.000000000017103,-66.0000000000025,439.99999999999596,-190.00000000000128,,-1428.00000000001
2020.09.28,-100.00000000000009,36.999999999998145,171.00000000000648,-65.00000000000395,175.99999999999838,-155.00000000000514,28.999999999990145,-256.0000000000002,-194.0000000000053,-268.9999999999859,-497.0000000000141,-273.00000000001035,-481.99999999998244,46.999999999997044,-61.99999999999761,351.99999999999676,-178.99999999999582,,-1720.000000000014
