date,EURUSD,AUDUSD,CHFJPY,EURJPY,empty,sum
2017.10.09,-83.00000000001084,-76.0000000000094,-90.00000000000341,-92.99999999998931,,-342.00000000001296
2017.10.09,-84.0000000000174,-74.00000000000739,-165.00000000000625,-213.99999999999864,,-537.0000000000297
2017.10.09,-112.000000000001,-91.00000000000774,-171.99999999999704,-212.99999999999386,,-587.9999999999997
2017.10.09,-107.99999999999699,-82.99999999999974,6.000000000000227,-27.999999999991587,,-212.9999999999881
2017.10.09,-129.00000000000134,-84.0000000000063,-73.99999999999807,-108.00000000000409,,-395.0000000000098
2017.10.09,-126.0000000000039,-104.99999999999955,-81.00000000000307,-137.00000000000045,,-449.00000000000693
2017.10.09,-136.00000000000279,-115.00000000000954,-112.99999999999955,-173.00000000000182,,-537.0000000000136
2017.10.09,-106.00000000000608,-112.000000000001,-150.99999999999625,-218.9999999999941,,-587.9999999999974
2017.10.09,-130.0000000000079,-134.0000000000008,-117.00000000000443,-165.99999999999682,,-547.00000000001
2017.10.09,-87.99999999999919,-98.0000000000092,-129.99999999999545,-162.00000000000614,,-478.00000000001
2017.10.09,-164.00000000000858,-112.000000000001,-155.00000000000114,-210.00000000000796,,-641.0000000000186
2017.10.09,-170.00000000000347,-131.00000000000333,-155.00000000000114,-194.99999999999318,,-651.0000000000011
2017.10.09,-120.00000000000898,-93.00000000000975,-173.99999999999238,-217.9999999999893,,-605.0000000000005
2017.10.09,-95.00000000000064,-29.000000000001247,-150.00000000000568,-189.99999999999773,,-464.0000000000053
2017.10.09,-87.00000000001484,0.999999999995449,-173.99999999999238,-203.00000000000296,,-463.0000000000147
2017.10.09,-85.00000000000173,-5.000000000010552,-103.9999999999992,-134.00000000001455,,-328.00000000002603
2017.10.09,-63.000000000013046,26.999999999999247,-94.99999999999886,-98.99999999998954,,-230.00000000000222
2017.10.09,-66.00000000001049,7.9999999999968985,-105.99999999999454,-109.00000000000887,,-273.000000000017
2017.10.09,-107.99999999999699,-14.000000000002899,-144.00000000000546,-185.00000000000227,,-451.0000000000076
2017.10.09,-9.999999999998899,28.999999999990145,-99.99999999999432,-94.99999999999886,,-176.00000000000193
2017.10.09,11.999999999989797,57.99999999999139,-194.99999999999318,-134.9999999999909,,-260.0000000000029
