date,GBPUSD,EURUSD,NZDUSD,GBPCHF,CHFJPY,CADCHF,GBPJPY,EURJPY,EURCAD,CADJPY,NZDCAD,empty,sum
2020.06.22,-147.99999999999258,-31.999999999987594,-166.99999999999494,-279.99999999999136,-2.0000000000095497,-67.9999999999903,-231.99999999999932,-52.99999999999727,-23.00000000001745,-40.99999999999682,-185.00000000000182,,-1230.999999999979
2020.06.22,-164.99999999999292,-55.000000000005045,-163.00000000000205,-283.99999999999534,72.99999999999329,-56.0000000000005,-226.99999999997544,60.99999999999284,-78.00000000000028,-30.000000000001137,-189.00000000000583,,-1112.9999999999925
2020.06.22,-158.99999999999804,-21.00000000000435,-170.99999999999892,-315.99999999998295,84.00000000000318,-142.99999999999312,-257.99999999998136,39.00000000000148,-113.00000000000753,-88.99999999999864,-206.00000000000617,,-1352.9999999999666
2020.06.22,-100.0000000000112,-21.00000000000435,-202.9999999999976,-263.99999999999756,204.9999999999983,-117.99999999999588,-235.99999999999,110.99999999999,-62.000000000006494,-81.00000000000307,-263.99999999999756,,-1033.0000000000155
2020.06.22,-73.00000000001194,7.0000000000014495,-236.99999999999832,-247.99999999998158,149.0000000000009,-110.99999999999443,-186.9999999999834,-19.000000000005457,-8.000000000008,-58.9999999999975,-307.0000000000017,,-1092.99999999998
2020.06.22,-76.0000000000094,42.0000000000087,-234.00000000000088,-288.99999999998374,152.00000000000102,-121.99999999999989,-217.9999999999893,-18.000000000000682,-7.0000000000014495,-69.00000000000261,-313.00000000000773,,-1151.999999999986
2020.06.22,-55.000000000005045,2.999999999997449,-273.9999999999965,-261.9999999999845,146.0000000000008,-124.99999999999733,-211.9999999999891,12.000000000000455,-48.000000000003595,-109.99999999999943,-343.00000000000443,,-1267.9999999999814
2020.06.22,-100.99999999999554,-31.999999999987594,-300.99999999999574,-269.9999999999925,146.0000000000008,-110.99999999999443,-202.99999999997453,48.00000000000182,-130.0000000000079,-76.00000000000762,-413.0000000000078,,-1442.999999999961
2020.06.22,-253.99999999999866,-72.99999999998974,-424.00000000000216,-400.9999999999847,183.9999999999975,-176.99999999999383,-500.99999999997635,96.9999999999942,-45.000000000006146,-213.00000000000807,-479.0000000000072,,-2285.999999999975
2020.06.22,-300.00000000001137,-72.99999999998974,-409.99999999999926,-437.99999999998283,262.999999999991,-161.00000000000003,-501.9999999999811,200.9999999999934,11.999999999989797,-191.0000000000025,-463.9999999999977,,-2062.9999999999905
