date,EURJPY,AUDJPY,NZDCAD,empty,sum
2019.11.04,-0.999999999990564,-12.000000000000455,-43.999999999999595,,-56.999999999990614
2019.11.04,15.000000000000568,12.999999999991019,-31.000000000003247,,-3.00000000001166
2019.11.04,40.99999999999682,28.999999999996362,-34.99999999999615,,34.99999999999703
2019.11.04,40.99999999999682,-12.000000000000455,-7.0000000000014495,,21.999999999994913
2019.11.04,34.000000000006025,-37.00000000000614,65.99999999999939,,62.999999999999275
2019.11.04,-3.9999999999906777,-13.999999999995794,36.0000000000027,,18.00000000001623
2019.11.04,-1.9999999999953388,37.9999999999967,131.99999999999878,,168.00000000000014
2019.11.04,39.00000000000148,-10.99999999999568,187.9999999999993,,216.0000000000051
2019.11.04,55.999999999997385,-25.000000000005684,243.00000000000432,,273.999999999996
2019.11.04,85.00000000000796,-100.99999999999909,256.99999999999613,,241.000000000005
2019.11.04,96.00000000000364,-97.00000000000841,306.00000000000625,,305.0000000000015
2019.11.04,97.00000000000841,-94.0000000000083,309.99999999999915,,312.99999999999926
2019.11.04,94.99999999999886,-91.00000000000819,312.9999999999966,,316.99999999998727
2019.11.04,97.99999999999898,-88.99999999999864,302.0000000000023,,311.0000000000026
2019.11.04,70.99999999999795,-64.00000000000716,287.9999999999994,,294.99999999999017
2019.11.04,63.00000000000239,-72.00000000000273,265.0000000000041,,256.00000000000375
2019.11.04,84.00000000000318,-123.00000000000466,317.0000000000006,,277.99999999999915
2019.11.04,135.00000000000512,-126.99999999999534,336.9999999999984,,345.0000000000082
2019.11.04,114.00000000000432,-179.00000000000205,336.00000000000296,,271.00000000000523
2019.11.04,168.99999999999693,-177.99999999999727,368.00000000000165,,359.0000000000013
2019.11.04,82.99999999999841,-162.00000000000614,280.9999999999979,,201.99999999999017
2019.11.04,100.99999999999909,-146.0000000000008,275.000000000003,,230.0000000000013
2019.11.04,148.00000000001035,-118.99999999999977,275.99999999999847,,305.00000000000904
2019.11.04,162.9999999999967,-100.99999999999909,236.00000000000287,,298.00000000000045
2019.11.04,168.00000000000637,-120.99999999999511,260.00000000000466,,307.0000000000159
2019.11.04,186.00000000000705,-114.99999999999488,145.00000000000622,,216.0000000000184
2019.11.04,236.0000000000042,-114.99999999999488,133.00000000000534,,254.00000000001467
2019.11.04,246.9999999999999,-121.99999999999989,126.99999999999933,,251.99999999999932
2019.11.04,262.00000000000045,-128.0000000000001,111.00000000000554,,245.00000000000588
2019.11.04,171.99999999999704,-117.00000000000443,26.000000000003798,,80.9999999999964
2019.11.04,128.0000000000001,-48.00000000000182,26.000000000003798,,106.00000000000209
2019.11.04,156.0000000000059,-87.0000000000033,7.9999999999968985,,76.99999999999952
2019.11.04,157.0000000000107,-70.00000000000739,-21.999999999999797,,65.0000000000035
2019.11.04,165.99999999999682,-94.99999999999886,-85.00000000000173,,-14.00000000000378
2019.11.04,140.00000000000057,-100.99999999999909,-136.99999999999824,,-97.99999999999676
2019.11.04,188.0000000000024,-88.99999999999864,-158.0000000000026,,-58.999999999998835
2019.11.04,200.00000000000284,-90.00000000000341,-207.00000000000162,,-97.00000000000219
2019.11.04,200.00000000000284,-73.99999999999807,-197.99999999999818,,-71.9999999999934
2019.11.04,171.00000000000648,-67.99999999999784,-178.00000000000037,,-74.99999999999173
2019.11.04,197.00000000000273,-76.99999999999818,-166.99999999999494,,-46.99999999999039
2019.11.04,183.00000000000693,-70.00000000000739,-265.99999999999955,,-153.0
2019.11.04,134.00000000000034,-42.00000000000159,-343.00000000000443,,-251.00000000000568
2019.11.04,100.99999999999909,-7.999999999995566,-383.0,,-289.9999999999965
2019.11.04,79.00000000000773,54.000000000002046,-456.00000000000085,,-322.9999999999911
2019.11.04,64.99999999999773,66.99999999999307,-463.0000000000023,,-331.0000000000115
2019.11.04,60.000000000002274,51.9999999999925,-434.9999999999965,,-323.0000000000017
2019.11.04,40.00000000000625,72.99999999999329,-385.000000000002,,-272.00000000000244
2019.11.04,30.000000000001137,57.00000000000216,-365.99999999999966,,-278.99999999999636
2019.11.05,22.00000000000557,78.00000000000296,-383.0,,-282.9999999999915
2019.11.05,-27.999999999991587,84.00000000000318,-434.9999999999965,,-378.9999999999849
2019.11.05,-3.0000000000001137,81.99999999999363,-441.0000000000025,,-362.000000000009
2019.11.05,49.99999999999716,-150.99999999999625,-400.00000000000034,,-500.99999999999943
2019.11.05,165.00000000000625,-114.99999999999488,-331.999999999999,,-281.9999999999876
2019.11.05,221.00000000000364,-82.99999999999841,-336.9999999999984,,-198.99999999999318
2019.11.05,131.00000000000023,0.0,-346.9999999999973,,-215.9999999999971
2019.11.05,158.00000000000125,-40.99999999999682,-336.9999999999984,,-219.99999999999397
2019.11.05,168.99999999999693,-81.00000000000307,-336.00000000000296,,-248.0000000000091
2019.11.05,189.00000000000716,-76.99999999999818,-317.9999999999961,,-205.9999999999871
2019.11.05,185.00000000000227,-105.00000000000398,-265.0000000000041,,-185.0000000000058
2019.11.05,99.00000000000375,-301.00000000000193,-278.00000000000045,,-479.99999999999864
2019.11.05,245.00000000000455,-329.9999999999983,-243.99999999999977,,-328.9999999999935
2019.11.05,219.99999999999886,-302.0000000000067,-317.9999999999961,,-400.0000000000039
2019.11.05,213.99999999999864,-290.00000000000625,-209.00000000000364,,-285.00000000001125
2019.11.05,216.00000000000819,-269.999999999996,-253.99999999999866,,-307.99999999998647
2019.11.05,240.0000000000091,-335.00000000000796,-239.99999999999577,,-334.99999999999466
2019.11.05,271.0000000000008,-340.0000000000034,-190.99999999999673,,-259.9999999999993
