date,USDJPY,AUDUSD,GBPCHF,CHFJPY,EURGBP,GBPJPY,EURJPY,CADJPY,AUDNZD,empty,sum
2016.08.01,-60.000000000002274,-26.000000000003798,-97.9999999999981,-22.999999999996135,0.0,-50.00000000001137,-27.000000000001023,-19.000000000005457,-171.99999999999437,,-475.0000000000125
2016.08.01,-7.999999999995566,29.000000000001247,-160.99999999998892,-52.99999999999727,187.00000000000384,-117.999999999995,-58.000000000006935,45.000000000001705,-218.99999999999142,,-355.9999999999683
2016.08.01,-281.9999999999965,17.000000000000348,-204.00000000000418,-311.9999999999976,197.00000000000273,-474.00000000001796,-365.99999999999966,-194.00000000000261,-214.00000000000307,,-1832.0000000000186
2016.08.01,-337.0000000000033,12.000000000000899,-235.00000000000742,-325.9999999999934,211.00000000000563,-473.0000000000132,-361.0000000000042,-177.0000000000067,-251.00000000000122,,-1937.000000000023
2016.08.01,-250.99999999999056,-2.000000000002,-83.9999999999952,-241.99999999999022,286.00000000000847,-302.0000000000209,-265.00000000000057,-100.99999999999909,-259.9999999999936,,-1220.9999999999836
2016.08.01,-206.00000000000307,-60.99999999999994,-29.999999999996696,-220.99999999998943,284.0000000000065,-198.0000000000075,-165.00000000000625,-8.000000000009777,-282.9999999999888,,-887.999999999995
2016.08.01,-277.000000000001,-61.999999999995396,-103.99999999999298,-324.99999999998863,257.0000000000072,-367.00000000001864,-301.00000000000193,-125.0,-276.9999999999939,,-1580.9999999999852
2016.08.01,-305.9999999999974,-26.999999999999247,-211.00000000000563,-343.9999999999941,209.00000000000364,-441.0000000000025,-305.0000000000068,-167.0000000000016,-275.9999999999874,,-1867.999999999991
2016.08.01,-418.99999999999693,-70.99999999999883,-299.00000000000483,-432.9999999999927,134.0000000000008,-750.0,-432.00000000000216,-225.00000000000853,-147.99999999999258,,-2642.9999999999964
2016.08.01,-415.9999999999968,-122.99999999999534,-361.9999999999957,-420.99999999999227,107.00000000000153,-745.0000000000045,-432.00000000000216,-231.99999999999932,-208.00000000000819,,-2831.9999999999927
2016.08.01,-466.99999999999875,12.000000000000899,-520.0000000000093,-503.9999999999907,4.999999999999449,-1049.0000000000066,-522.0000000000056,-361.0000000000042,-69.00000000000794,,-3475.000000000022
2016.08.01,-465.999999999994,151.00000000000114,-553.9999999999878,-494.99999999999034,-31.999999999998696,-1100.0000000000227,-503.0000000000001,-375.0,-120.99999999999334,,-3494.9999999999854
2016.08.01,-396.0000000000008,82.99999999999974,-428.9999999999905,-436.9999999999976,29.000000000001247,-908.0000000000155,-411.00000000000136,-302.0000000000067,-66.99999999999484,,-2838.000000000007
2016.08.01,-379.99999999999545,78.00000000000028,-425.0000000000087,-381.0000000000002,45.000000000006146,-780.0000000000011,-393.0000000000007,-263.00000000000523,-114.99999999999844,,-2614.000000000004
2016.08.01,-295.99999999999227,139.00000000000023,-347.9999999999928,-364.9999999999949,114.00000000000298,-719.0000000000225,-371.9999999999999,-246.00000000000932,-113.99999999999189,,-2207.0
2016.08.01,-218.00000000000352,146.00000000000168,-384.00000000000654,-271.99999999999136,97.00000000000264,-561.000000000007,-268.0000000000007,-174.99999999999716,-69.00000000000794,,-1704.0000000000098
2016.08.01,-206.99999999999363,151.9999999999966,-357.99999999999164,-253.99999999999068,114.00000000000298,-570.0000000000216,-253.0000000000001,-163.0000000000109,-89.00000000000574,,-1628.0000000000148
2016.08.01,-257.99999999999557,160.00000000000458,-394.9999999999898,-277.9999999999916,107.00000000000153,-596.0000000000036,-278.0000000000058,-189.00000000000716,-72.0000000000054,,-1798.9999999999932
2016.08.01,-286.00000000000136,55.000000000005045,-391.000000000008,-300.9999999999877,53.999999999998494,-635.9999999999957,-254.99999999999545,-171.99999999999704,-100.99999999999554,,-2032.999999999977
2016.08.01,-396.99999999999136,-17.999999999995797,-503.99999999999335,-326.9999999999982,2.000000000002,-788.0000000000109,-341.0000000000082,-221.00000000000364,-258.0000000000027,,-2852.000000000002
2016.08.01,-373.9999999999952,-48.99999999999905,-434.000000000001,-411.9999999999919,48.000000000003595,-703.000000000003,-341.99999999999875,-186.9999999999976,-217.0000000000005,,-2669.9999999999836
2016.08.01,-298.0000000000018,-29.000000000001247,-192.99999999999872,-384.00000000000034,147.00000000000824,-562.0000000000118,-278.99999999999636,-148.00000000001035,-204.00000000000418,,-1950.0000000000164
2016.08.01,-207.9999999999984,-48.000000000003595,-109.99999999998789,-335.9999999999985,170.00000000000347,-429.00000000000205,-221.00000000000364,-109.99999999999943,-157.00000000000713,,-1448.999999999997
2016.08.01,-212.0000000000033,-139.00000000000023,-1.0000000000065512,-387.00000000000045,179.00000000000693,-334.0000000000032,-221.00000000000364,-103.9999999999992,-177.99999999998929,,-1396.9999999999989
2016.08.01,-85.99999999999852,-143.9999999999997,286.00000000000847,-210.99999999999852,387.99999999999943,143.00000000000068,-27.000000000001023,87.99999999999386,-136.00000000000279,,301.0000000000019
2016.08.01,1.0000000000047748,-117.99999999999588,371.99999999999454,-187.99999999998818,470.9999999999992,364.0000000000043,-25.99999999999625,176.00000000000193,-76.99999999999375,,975.0000000000308
2016.08.01,-93.00000000000352,-172.00000000000549,480.99999999999807,-220.99999999998943,540.0000000000072,360.99999999999,-55.00000000000682,155.9999999999917,-99.00000000000463,,897.999999999977
2016.08.01,-70.99999999999795,-194.0000000000053,356.00000000000074,-203.99999999999352,474.00000000000773,379.99999999999545,10.99999999999568,152.00000000000102,-99.00000000000463,,804.9999999999992
2016.08.01,-100.99999999999909,-268.0000000000016,358.9999999999982,-187.99999999998818,455.0000000000054,310.9999999999786,-1.0000000000047748,167.99999999999216,-112.000000000001,,622.9999999999798
2016.08.01,-88.99999999999864,-270.99999999999903,330.9999999999924,-181.99999999998795,390.0000000000015,314.9999999999977,45.000000000001705,131.00000000000023,-113.00000000000753,,557.0000000000005
2016.08.01,-168.99999999999693,-288.9999999999948,229.99999999999687,-368.9999999999998,312.00000000000114,-105.00000000001819,-114.00000000000432,51.9999999999925,-107.99999999999699,,-560.0000000000205
2016.08.01,-278.99999999999636,-280.9999999999979,249.00000000001032,-472.999999999999,318.00000000000716,-157.0000000000107,-227.00000000000387,21.000000000000796,-148.99999999999915,,-977.9999999999886
2016.08.01,-262.00000000000045,-290.9999999999968,293.0000000000099,-566.9999999999931,313.00000000000773,-229.00000000001342,-239.00000000000432,67.99999999999784,-165.9999999999995,,-1079.999999999992
2016.08.01,-239.99999999999488,-287.9999999999994,272.00000000000557,-492.999999999995,314.0000000000032,-37.00000000000614,-150.99999999999625,161.99999999999193,-75.00000000000284,,-535.9999999999939
2016.08.01,-229.99999999998977,-297.00000000000284,334.9999999999964,-442.99999999999784,350.00000000000585,-81.00000000001728,-186.00000000000705,99.99999999999432,-82.99999999998863,,-535.0000000000068
2016.08.01,-284.9999999999966,-407.99999999999727,364.00000000000875,-521.9999999999914,356.00000000000074,-141.00000000001955,-245.9999999999951,194.00000000000261,-35.00000000000725,,-722.999999999995
2016.08.01,-248.99999999999523,-346.9999999999973,225.99999999999287,-497.99999999999045,324.9999999999975,-254.99999999999545,-281.0000000000059,94.99999999999886,7.0000000000014495,,-976.9999999999937
2016.08.01,-128.99999999999068,-331.0000000000035,283.99999999999534,-417.99999999999216,375.9999999999986,-28.00000000002001,-165.99999999999682,194.00000000000261,78.00000000000028,,-140.00000000000637
