date,USDCHF,GBPUSD,EURUSD,USDJPY,AUDUSD,GBPCHF,CHFJPY,CADCHF,AUDCHF,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,CADJPY,AUDJPY,NZDJPY,NZDCAD,AUDNZD,empty,sum
2017.07.17,-107.99999999999699,0.0,-40.99999999997994,-27.000000000001023,0.0,-45.99999999999049,-18.000000000000682,-136.00000000000279,-79.00000000000685,-6.000000000000227,-35.00000000000725,-5.000000000010552,-30.000000000001137,-60.99999999999994,0.0,-43.99999999999693,-3.0000000000001137,-72.00000000000273,-88.99999999999464,-18.0000000000069,,-817.9999999999993
2017.07.17,-112.99999999999643,44.99999999998394,-70.99999999999883,-24.00000000000091,-29.999999999996696,-17.999999999984695,-13.999999999995794,-49.99999999999449,-117.00000000000044,0.0,60.99999999999994,-174.00000000000747,-34.99999999999659,-72.99999999998974,-112.000000000001,-22.00000000000557,-82.00000000000784,-86.00000000001273,-114.00000000000298,-64.0000000000196,,-1093.000000000028
2017.07.17,-158.0000000000026,30.999999999981043,-25.999999999992696,-153.99999999999636,-32.999999999994145,76.99999999999375,-82.99999999999841,2.000000000002,-78.00000000000028,67.99999999998363,96.99999999999153,-280.0000000000136,-133.00000000000978,-109.99999999998789,-207.00000000000162,31.00000000000591,-70.99999999999795,-151.00000000001046,-158.0000000000026,-112.000000000001,,-1448.0000000000514
2017.07.17,-138.00000000000477,30.999999999981043,-21.999999999988695,-155.00000000000114,-34.000000000000696,83.9999999999952,-86.99999999998909,23.00000000000635,-59.000000000009045,78.00000000000296,49.99999999999449,-265.0000000000041,-138.00000000000523,-89.99999999999008,-184.00000000000637,54.000000000002046,-61.00000000000705,-219.0000000000083,-166.99999999999494,-148.00000000001478,,-1447.000000000042
2017.07.17,-109.99999999999899,102.99999999998644,4.000000000004,-105.99999999999454,-10.999999999994348,114.0000000000141,-90.99999999999397,36.0000000000027,-48.000000000003595,102.00000000000387,110.99999999999443,-293.99999999999426,-121.99999999998568,-68.99999999998573,-170.99999999998784,43.00000000000637,-70.00000000000739,-233.0000000000041,-234.00000000000088,-192.00000000001438,,-1237.9999999999536
2017.07.17,-107.00000000000153,99.99999999998899,8.000000000008,-37.00000000000614,-2.999999999997449,129.00000000000134,-19.99999999999602,48.99999999999905,-44.0000000000107,12.000000000000455,89.99999999999008,-262.00000000000665,-40.99999999999682,-63.99999999999739,-197.00000000000273,4.0000000000048885,-128.0000000000001,-218.00000000000352,-221.00000000000452,-165.00000000001512,,-1115.000000000046
2017.07.17,-124.99999999999733,88.99999999998354,-4.999999999988347,-36.000000000001364,-34.000000000000696,153.00000000000313,-1.9999999999953388,62.000000000006494,-54.00000000000959,38.000000000010914,49.99999999999449,-337.99999999999386,-26.00000000001046,-61.99999999998429,-194.99999999998963,16.999999999995907,-114.00000000000432,-170.0000000000017,-183.99999999999528,-173.00000000000094,,-1108.9999999999786
2017.07.17,-148.99999999999915,31.999999999987594,-51.99999999998539,-88.00000000000807,-35.999999999991594,144.0000000000108,-12.999999999991019,94.00000000000519,-29.000000000001247,37.00000000000614,16.999999999978144,-307.99999999999716,-32.99999999998704,5.000000000010552,-148.99999999999915,52.99999999999727,-102.00000000000387,-140.00000000000057,-146.00000000000168,-148.99999999999915,,-1011.9999999999693
2017.07.17,-139.99999999999568,12.999999999996348,-53.999999999998494,-132.000000000005,-32.999999999994145,121.99999999999989,-73.99999999999807,51.000000000001044,-27.00000000001035,106.99999999999932,47.99999999998139,-236.99999999999832,-100.99999999999909,-48.99999999998794,-130.0000000000079,64.99999999999773,-52.00000000000671,-109.00000000000887,-75.9999999999983,-23.00000000001745,,-831.0000000000507
2017.07.17,-180.99999999999784,-22.0000000000109,-88.99999999998354,-140.00000000000057,-127.99999999999478,124.00000000001299,-43.99999999999693,43.999999999999595,-84.0000000000063,62.99999999998818,73.99999999999629,-446.9999999999974,-62.99999999998818,-82.99999999998863,-255.99999999998957,33.00000000000125,-121.99999999999989,-127.00000000000955,-104.00000000000409,-70.0000000000145,,-1621.9999999999845
