date,GBPUSD,USDCAD,AUDUSD,NZDUSD,CADCHF,GBPAUD,CADJPY,AUDJPY,NZDJPY,empty,sum
2021.02.01,-1.999999999990898,55.000000000005045,-28.000000000005798,-109.99999999999899,84.0000000000063,141.99999999999767,-31.00000000000591,-51.9999999999925,-114.99999999999488,,-56.99999999997999
2021.02.01,19.999999999997797,22.0000000000109,-56.0000000000005,-124.00000000000189,100.99999999999554,93.00000000000975,-76.99999999999818,-105.00000000000398,-149.0000000000009,,-274.9999999999915
2021.02.01,35.00000000000725,296.9999999999917,98.99999999999353,-2.000000000002,112.000000000001,436.00000000001415,102.99999999999443,96.00000000000364,9.000000000000341,,1185.000000000004
2021.02.01,55.000000000005045,170.00000000000347,4.999999999999449,-85.99999999999719,190.99999999999673,181.00000000000892,48.99999999999238,22.00000000000557,-52.99999999999727,,534.000000000017
2021.02.01,-42.999999999993044,63.99999999999739,-103.00000000000864,-209.00000000000364,229.99999999999687,59.000000000009045,-3.0000000000001137,-75.9999999999934,-162.9999999999967,,-243.99999999999227
2021.02.01,-136.00000000000279,83.9999999999952,-124.00000000000189,-216.0000000000051,189.00000000000583,124.00000000001299,22.999999999996135,-85.99999999999852,-159.00000000000603,,-301.00000000000415
2021.02.01,-242.00000000000887,-60.99999999999994,-209.9999999999991,-341.99999999999784,253.99999999999866,70.99999999999883,-22.00000000000557,-126.99999999999534,-245.9999999999951,,-925.0000000000043
2021.02.01,-180.0000000000024,41.000000000002146,-158.0000000000026,-309.99999999999915,236.99999999999832,123.00000000000644,-15.000000000000568,-128.0000000000001,-263.9999999999958,,-653.9999999999939
2021.02.01,-262.00000000000665,-5.999999999994898,-235.00000000000742,-370.9999999999991,299.00000000000483,36.999999999998145,-64.99999999999773,-230.00000000000398,-349.00000000000375,,-1182.0000000000105
2021.02.01,-228.99999999999034,-25.00000000000835,-213.00000000000762,-353.0000000000033,326.9999999999995,49.00000000001015,-79.9999999999983,-209.99999999999375,-332.00000000000784,,-1065.9999999999998
