date,USDJPY,EURCHF,CHFJPY,AUDCHF,EURGBP,GBPCAD,EURJPY,EURCAD,EURNZD,CADJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2021.04.19,-21.000000000000796,0.0,-3.0000000000001137,-4.999999999999449,-93.00000000000975,0.0,0.0,0.0,-75.00000000000284,-8.000000000009777,-20.000000000010232,-1.999999999990898,-39.00000000000014,,-266.000000000024
2021.04.19,9.000000000000341,43.999999999999595,26.00000000001046,57.00000000000705,-138.00000000000477,123.00000000000644,75.9999999999934,78.00000000000028,-80.99999999999774,15.999999999991132,57.00000000000216,13.00000000000745,75.9999999999983,,356.0000000000141
2021.04.19,27.000000000001023,58.000000000002494,-9.999999999990905,111.00000000000554,-114.00000000000298,185.00000000001293,75.00000000001705,114.99999999999844,-70.99999999999883,43.99999999999693,63.00000000000239,31.000000000003247,93.99999999999409,,608.0000000000414
2021.04.19,19.99999999999602,156.99999999998494,-42.00000000000159,217.0000000000005,-86.0000000000083,311.0000000000168,52.99999999999727,133.99999999998968,-14.000000000002899,39.99999999999204,101.99999999998965,57.00000000000705,192.99999999999872,,1141.99999999996
2021.04.19,-58.9999999999975,142.99999999998204,-95.99999999998943,175.00000000000293,-117.00000000000044,278.00000000000045,-37.99999999998249,156.99999999998494,-88.99999999998354,-27.000000000001023,33.999999999991815,24.000000000001798,180.99999999999784,,566.0000000000074
2021.04.19,-34.000000000006025,129.00000000000134,-81.99999999999363,123.00000000000644,-153.00000000000313,234.00000000000088,-27.999999999991587,133.99999999998968,-139.00000000000023,-19.000000000005457,6.000000000000227,-27.999999999994696,148.99999999999915,,292.00000000000296
2021.04.19,-63.99999999999295,112.000000000001,-113.99999999999011,113.00000000000753,-143.00000000000423,205.00000000001074,-92.99999999998931,95.999999999985,-156.00000000000057,-58.000000000006935,-43.00000000000637,-52.99999999999194,116.99999999998934,,-80.99999999998883
2021.04.19,-99.99999999999432,83.9999999999952,-146.0000000000008,127.00000000001043,-132.0000000000099,187.00000000000384,-158.99999999999181,44.99999999998394,-51.000000000001044,-46.00000000000648,-14.000000000010004,-36.999999999998145,128.99999999999022,,-113.00000000002888
2021.04.19,-37.00000000000614,56.99999999999594,-168.99999999999693,126.0000000000039,-117.00000000000044,175.00000000001404,-234.99999999998522,18.999999999991246,15.00000000000945,-79.00000000000773,-9.000000000000341,-46.999999999997044,161.00000000000003,,-139.99999999997928
2021.04.19,-129.99999999999545,-14.000000000002899,-280.9999999999917,112.000000000001,-48.000000000003595,270.00000000001467,-427.99999999999727,-123.00000000000644,70.0000000000145,-135.00000000000512,-63.00000000000239,-42.999999999993044,169.99999999999238,,-642.9999999999754
