date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,EURGBP,EURJPY,empty,sum
2015.03.30,65.00000000000395,60.000000000015596,35.999999999991594,7.0000000000014495,36.0000000000027,51.000000000001044,-0.9999999999843467,-58.99999999998684,3.999999999992898,39.99999999999204,,239.0000000000301
2015.03.30,-12.999999999996348,62.000000000006494,38.99999999998904,0.0,18.0000000000069,16.0000000000049,-106.99999999999044,-17.999999999984695,5.999999999994898,85.99999999998431,,89.00000000001506
2015.03.30,38.0000000000047,92.00000000000318,66.99999999999484,59.000000000009045,89.00000000000574,80.00000000000229,-68.00000000000139,-12.999999999996348,10.999999999994348,157.99999999998704,,513.0000000000034
2015.03.30,29.000000000001247,135.00000000001845,30.999999999981043,38.0000000000047,53.00000000000304,24.999999999997247,-112.99999999998533,-51.000000000001044,-28.000000000005798,127.9999999999859,,246.99999999999946
2015.03.30,83.9999999999952,167.00000000000603,49.99999999999449,78.00000000000028,95.00000000000064,63.99999999999739,-71.99999999998319,-82.00000000000429,-28.000000000005798,190.99999999997408,,546.9999999999749
2015.03.30,9.999999999998899,-1.999999999990898,-18.0000000000069,-35.00000000000725,12.000000000000899,-59.99999999999339,-19.999999999997797,-71.99999999998319,7.9999999999968985,82.99999999999841,,-93.99999999998431
2015.03.30,-117.99999999999588,-142.99999999998204,-185.00000000001293,-121.99999999999989,-53.999999999998494,-132.99999999999423,-64.99999999998174,-85.00000000000173,-34.000000000000696,-126.00000000000477,,-1064.9999999999723
2015.03.30,-9.999999999998899,-79.99999999999119,-71.00000000002105,-18.0000000000069,-34.99999999999615,-100.00000000000009,51.000000000001044,-110.99999999999443,12.000000000000899,-93.00000000001774,,-455.00000000002456
2015.03.30,-51.99999999999649,-158.99999999999804,-127.00000000001043,-43.999999999999595,-124.99999999999733,-163.99999999999747,53.999999999998494,-106.99999999999044,12.999999999996348,-59.00000000002592,,-770.0000000000209
2015.03.30,-48.000000000003595,-173.99999999998528,-75.00000000000284,-48.000000000003595,-115.99999999999389,-200.00000000000017,76.0000000000094,-59.99999999999339,54.999999999993946,22.999999999996135,,-566.9999999999832
2015.03.30,-34.99999999999615,-132.99999999998312,-64.0000000000196,-103.00000000000864,-85.99999999999719,-143.00000000000423,56.000000000011596,-68.99999999998573,43.999999999999595,13.999999999981583,,-519.0000000000018
2015.03.30,-34.99999999999615,-168.99999999999693,-119.00000000000244,-126.0000000000039,-78.99999999999574,-131.99999999999878,84.0000000000174,-119.99999999998678,20.999999999993246,-12.000000000000455,,-686.9999999999706
2015.03.30,-99.00000000000463,-247.99999999998158,-146.00000000000168,-126.0000000000039,-76.99999999999375,-153.99999999999858,66.00000000001049,-75.00000000000284,44.99999999999504,-123.00000000001887,,-937.0000000000003
2015.03.30,-87.99999999999919,-253.99999999999866,-184.00000000000637,-112.000000000001,-55.99999999998939,-107.99999999999699,84.0000000000174,-116.00000000000499,22.999999999995246,-154.00000000002478,,-965.0000000000088
2015.03.30,-85.99999999999719,-323.99999999999096,-237.00000000002052,-187.00000000000384,-18.999999999991246,-171.99999999999437,160.00000000000458,-177.99999999998929,19.999999999997797,-193.00000000001205,,-1215.9999999999973
2015.03.30,-100.00000000000009,-319.0000000000026,-245.0000000000063,-157.00000000000713,-151.9999999999966,-173.00000000000094,131.99999999999878,-173.00000000000094,12.000000000000899,-200.00000000001705,,-1375.0000000000323
2015.03.30,-58.99999999999794,-307.99999999999716,-249.00000000001032,-148.99999999999915,-158.99999999999804,-156.00000000000057,182.0000000000155,-211.99999999998997,3.999999999992898,-234.00000000000887,,-1339.9999999999936
2015.03.30,34.000000000000696,-248.99999999998812,-119.00000000000244,-66.99999999999484,-109.99999999999899,-104.00000000000409,276.00000000000955,-209.9999999999991,61.999999999995396,-110.00000000001364,,-596.9999999999955
2015.03.30,-80.99999999999774,-398.9999999999938,-133.00000000000534,-95.00000000000064,-120.99999999999334,-175.00000000000293,238.0000000000049,-75.99999999998718,127.99999999999478,-67.00000000000728,,-780.9999999999885
2015.03.30,-229.99999999999687,-703.9999999999935,-181.00000000000892,-259.0000000000092,-251.99999999999667,-304.9999999999997,314.99999999999864,19.00000000001345,244.99999999999523,2.999999999985903,,-1349.0000000000118
2015.03.30,-404.99999999999983,-581.9999999999936,-466.00000000001086,-303.0000000000088,-301.9999999999912,-290.00000000000136,-68.00000000000139,-55.000000000005045,-9.999999999998899,-106.00000000002296,,-2587.0000000000346
2015.03.30,-402.00000000000233,-495.000000000001,-531.9999999999991,-299.00000000000483,-451.9999999999969,-314.99999999999864,-146.99999999998602,-122.99999999998423,-94.00000000000519,-61.00000000000705,,-2919.9999999999845
2015.03.30,-280.00000000000244,-292.9999999999877,-353.0000000000033,-174.99999999999181,-378.999999999996,-239.0000000000003,-156.99999999998494,-85.99999999998609,-77.00000000000485,219.99999999999886,,-1818.9999999999586
2015.03.30,-251.00000000000122,-373.00000000000114,-224.000000000002,-123.00000000000644,-425.99999999999307,-244.99999999999523,-37.99999999998249,17.000000000000348,45.99999999999049,322.9999999999791,,-1294.0000000000116
2015.03.30,-322.00000000000006,-349.99999999998363,-317.0000000000117,-103.00000000000864,-384.9999999999909,-207.00000000000162,-158.99999999999804,-4.000000000004,-21.00000000000435,218.9999999999941,,-1649.0000000000089
2015.03.30,-295.0000000000008,-481.99999999998244,-386.00000000001967,-168.0000000000126,-458.9999999999983,-224.9999999999974,0.0,-85.99999999998609,0.0,103.999999999985,,-1997.0000000000123
