date,USDCHF,USDCAD,EURCHF,CADCHF,AUDCHF,EURJPY,EURNZD,NZDJPY,AUDCAD,NZDCAD,empty,sum
2020.03.02,-60.00000000000449,-80.00000000001339,-137.00000000000932,-95.00000000000064,-148.99999999999915,-173.99999999999238,-533.0000000000057,-293.00000000000637,-176.99999999999383,-89.00000000000574,,-1787.000000000031
2020.03.02,-73.00000000000084,21.999999999988695,-212.00000000001216,-71.00000000000995,-100.99999999999554,141.00000000000534,-70.99999999999883,21.000000000000796,-151.00000000000114,-62.000000000006494,,-557.0000000000301
2020.03.02,-6.0000000000060005,-182.99999999999983,-308.0000000000194,-141.00000000000225,-380.999999999998,-366.9999999999902,-303.0000000000088,-379.99999999999545,-468.9999999999972,-231.99999999999886,,-2770.0000000000164
2020.03.02,-104.00000000000409,-286.99999999999284,-306.00000000000625,-269.00000000000813,-458.9999999999983,-248.99999999999523,-539.0000000000006,-400.99999999999625,-415.99999999999415,-190.00000000000128,,-3219.9999999999973
2020.03.02,-133.00000000000534,-228.00000000000597,-245.0000000000063,-255.00000000000523,-272.99999999998994,-137.99999999999102,-168.0000000000126,-192.99999999999784,-185.00000000000182,25.999999999992696,,-1792.0000000000232
2020.03.02,32.999999999994145,-343.00000000000443,-266.0000000000107,-199.00000000000472,-261.99999999999557,-271.0000000000008,-62.000000000006494,-230.99999999999454,-265.0000000000041,-26.000000000003798,,-1892.0000000000314
2020.03.02,-33.000000000005244,-541.0000000000136,-301.0000000000179,-348.9999999999993,-434.9999999999965,-430.9999999999974,-422.00000000001125,-459.99999999999375,-287.0000000000039,-36.999999999998145,,-3296.0000000000373
2020.03.02,-43.999999999999595,-581.9999999999936,-287.9999999999994,-383.0,-452.99999999999227,-563.0000000000024,-570.0000000000039,-596.9999999999942,-273.9999999999965,-62.000000000006494,,-3815.9999999999877
2020.03.02,-68.99999999999685,-842.9999999999937,-343.00000000000443,-545.0000000000066,-602.999999999998,-703.9999999999935,-811.0000000000061,-769.0000000000055,-293.99999999999426,-33.000000000005244,,-5014.000000000005
2020.03.02,-106.00000000000608,-967.0000000000067,-357.00000000000733,-636.0000000000032,-686.9999999999932,-841.9999999999987,-853.9999999999992,-858.9999999999947,-292.9999999999988,44.99999999999504,,-5556.000000000013
2020.03.02,-92.99999999999864,-947.000000000009,-369.0000000000193,-614.0000000000034,-668.9999999999974,-1045.9999999999923,-791.0000000000084,-950.0000000000028,-290.00000000000136,49.99999999999449,,-5719.000000000038
2020.03.02,-107.00000000000153,-852.0000000000083,-323.0000000000066,-574.0000000000078,-590.999999999997,-871.9999999999999,-645.0000000000067,-793.9999999999969,-234.99999999999633,107.00000000000153,,-4886.000000000019
2020.03.02,-97.00000000000264,-858.0000000000032,-299.00000000000483,-572.0000000000058,-536.9999999999986,-851.9999999999897,-567.0000000000064,-757.000000000005,-171.99999999999437,146.99999999999713,,-4564.000000000014
2020.03.02,-89.00000000000574,-863.9999999999981,-300.00000000001137,-573.0000000000013,-524.9999999999977,-763.9999999999958,-435.0000000000076,-653.0000000000058,-153.99999999999858,207.99999999999707,,-4149.000000000025
2020.03.02,-173.9999999999964,-903.9999999999937,-330.0000000000081,-654.0000000000101,-572.9999999999902,-735.99999999999,-548.0000000000151,-680.9999999999974,-119.00000000000244,227.99999999999488,,-4491.000000000009
2020.03.02,-182.99999999999983,-913.0000000000083,-313.00000000000773,-669.0000000000085,-584.9999999999911,-814.9999999999977,-646.0000000000132,-763.0000000000052,-126.99999999999933,204.99999999999963,,-4809.000000000031
2020.03.02,-165.00000000000404,-960.0000000000053,-312.00000000000114,-681.0000000000093,-662.9999999999914,-825.9999999999934,-919.0000000000032,-873.0000000000047,-202.9999999999976,100.00000000000009,,-5502.000000000009
2020.03.02,-206.00000000000617,-883.0000000000116,-328.00000000001717,-668.0000000000019,-632.9999999999947,-826.9999999999982,-730.0000000000084,-799.0000000000066,-182.00000000000438,168.00000000000148,,-5088.000000000047
2020.03.02,-116.00000000000499,-812.999999999997,-411.0000000000058,-559.0000000000094,-638.9999999999895,-1063.999999999993,-656.9999999999965,-908.0000000000013,-315.9999999999941,12.000000000000899,,-5470.99999999999
2020.03.02,-212.00000000000108,-883.0000000000116,-542.0000000000202,-678.0000000000008,-813.9999999999925,-1247.9999999999905,-834.0000000000014,-1082.9999999999984,-417.99999999999613,-53.00000000000304,,-6765.0000000000155
2020.03.02,-70.0000000000034,-1052.9999999999927,-613.0000000000191,-652.0000000000082,-909.9999999999997,-1227.9999999999945,-1139.0000000000011,-1182.9999999999927,-595.0000000000011,-265.99999999999955,,-7709.000000000013
2020.03.02,-87.00000000000374,-1134.999999999997,-608.0000000000085,-718.0000000000075,-869.999999999993,-983.9999999999947,-957.0000000000078,-978.9999999999992,-449.9999999999948,-108.00000000000809,,-6896.000000000014
2020.03.02,-90.0000000000012,-1089.0000000000066,-513.0000000000078,-692.9999999999992,-833.9999999999903,-801.0000000000019,-1049.0000000000111,-908.0000000000013,-431.0000000000036,-108.00000000000809,,-6516.000000000031
2020.03.02,95.99999999999609,-947.9999999999933,-356.00000000000074,-479.0000000000072,-670.9999999999993,-734.9999999999994,-1051.0000000000018,-871.9999999999999,-466.9999999999952,-238.0000000000049,,-5721.0000000000055
2020.03.02,176.99999999999383,-948.9999999999999,-344.00000000001097,-423.0000000000067,-674.9999999999923,-713.9999999999986,-1212.000000000013,-921.999999999997,-536.9999999999986,-368.00000000000165,,-5967.0000000000255
2020.03.02,234.99999999999633,-785.9999999999978,-254.00000000002086,-291.0000000000079,-519.9999999999983,-664.999999999992,-1079.0000000000077,-844.9999999999989,-478.9999999999961,-396.00000000000745,,-5080.000000000031
2020.03.02,317.9999999999961,-628.0000000000064,-282.0000000000045,-145.00000000000622,-361.9999999999957,-609.9999999999994,-689.0000000000063,-667.0000000000016,-436.00000000000307,-404.0000000000044,,-3905.0000000000323
2020.03.02,624.0000000000023,-551.0000000000126,-155.00000000001623,124.99999999999733,-144.99999999999514,-857.9999999999899,-347.0000000000084,-676.0000000000019,-465.9999999999998,-452.00000000000796,,-2901.0000000000327
2020.03.02,490.00000000000153,-702.0000000000026,-216.00000000001617,-54.00000000000959,-314.99999999999864,-958.999999999989,-644.0000000000001,-847.999999999999,-480.99999999999807,-436.00000000000307,,-4165.000000000015
2020.03.02,478.0000000000006,-817.000000000001,-248.00000000000378,-126.99999999999933,-388.9999999999949,-1037.9999999999968,-737.9999999999942,-926.0000000000019,-495.000000000001,-419.00000000000273,,-4718.999999999995
2020.03.02,524.9999999999977,-585.9999999999976,-287.9999999999994,36.999999999998145,-291.99999999999227,-1013.9999999999958,-418.0000000000073,-793.9999999999969,-563.0000000000024,-491.0000000000081,,-3884.0000000000036
2020.03.02,619.0000000000028,-565.9999999999999,-186.0000000000195,113.99999999999189,-288.9999999999948,-1018.0000000000007,-527.0000000000108,-831.9999999999936,-649.999999999995,-546.9999999999975,,-3882.0000000000173
2020.03.02,583.0000000000002,-497.99999999999847,-236.00000000001398,136.99999999999824,-323.99999999999096,-1158.0000000000014,-436.00000000001415,-878.0000000000001,-714.0000000000035,-558.000000000003,,-4082.0000000000273
2020.03.02,680.9999999999983,-699.0000000000052,-124.00000000001299,126.99999999999933,-225.99999999999287,-888.9999999999958,-689.0000000000063,-787.9999999999967,-526.0000000000042,-438.00000000000506,,-3571.0000000000214
2020.03.02,658.0000000000031,-622.9999999999958,-172.0000000000166,112.99999999999643,-206.99999999999054,-914.0000000000015,-425.0000000000087,-733.9999999999947,-537.9999999999941,-489.0000000000061,,-3331.000000000008
2020.03.02,312.9999999999966,-463.9999999999977,-606.0000000000176,-58.000000000002494,-230.99999999999233,-1373.9999999999952,42.999999999993044,-819.0000000000026,-359.99999999999363,-414.00000000000324,,-3970.0000000000155
2020.03.02,407.99999999999727,-931.9999999999995,-674.000000000019,-239.0000000000003,-243.99999999999977,-1726.9999999999895,112.000000000001,-986.9999999999948,-158.0000000000026,-221.99999999999997,,-4663.000000000007
2020.03.02,509.00000000000387,-998.00000000001,-701.0000000000183,-195.00000000000074,-158.99999999999804,-1843.999999999994,526.9999999999886,-894.0000000000055,-92.00000000000318,-87.00000000000374,,-3934.000000000041
2020.03.02,500.9999999999959,-937.9999999999944,-799.0000000000164,-174.00000000000747,-194.99999999998963,-1878.9999999999907,697.9999999999986,-858.0000000000041,-173.00000000000094,-125.00000000000844,,-3942.0000000000177
2020.03.02,646.0000000000022,-954.0000000000103,-705.0000000000001,-76.0000000000094,-168.99999999999693,-1723.9999999999895,598.999999999994,-799.9999999999972,-258.0000000000027,-209.9999999999991,,-3651.000000000009
2020.03.02,680.0000000000028,-842.9999999999937,-611.000000000006,13.999999999991797,-167.9999999999904,-1708.999999999989,583.9999999999845,-804.000000000002,-361.9999999999957,-248.99999999999923,,-3467.9999999999964
2020.03.02,593.9999999999945,-892.0000000000039,-606.0000000000176,-79.00000000000685,-200.99999999999562,-1747.9999999999905,468.9999999999861,-867.0000000000044,-293.99999999999426,-192.99999999999872,,-3817.0000000000314
2020.03.02,639.0000000000007,-924.0000000000136,-560.0000000000049,-60.00000000000449,-186.99999999999272,-1703.9999999999936,473.99999999999665,-834.9999999999937,-298.9999999999937,-165.00000000000404,,-3621.000000000003
2020.03.02,559.9999999999939,-802.9999999999982,-645.0000000000067,-54.00000000000959,-204.99999999999963,-1661.9999999999918,499.9999999999893,-807.9999999999927,-334.00000000000097,-241.00000000000233,,-3692.0000000000186
2020.03.02,465.9999999999998,-815.0000000000101,-644.0000000000001,-135.00000000000733,-250.9999999999901,-1727.9999999999945,485.99999999998647,-849.0000000000038,-293.99999999999426,-146.00000000000168,,-3910.0000000000155
2020.03.02,244.99999999999523,-992.9999999999994,-733.0000000000059,-393.00000000001,-361.9999999999957,-2001.9999999999955,445.99999999999085,-1019.999999999996,-136.99999999999824,60.99999999999994,,-4888.000000000015
2020.03.02,317.9999999999961,-987.0000000000045,-596.0000000000188,-337.0000000000095,-386.9999999999929,-1804.9999999999927,4.999999999988347,-1076.9999999999982,-241.00000000000233,-106.00000000000608,,-5213.000000000042
2020.03.02,397.0000000000029,-1085.0000000000027,-527.0000000000108,-352.00000000000784,-315.9999999999941,-1825.9999999999934,-205.99999999999508,-1156.000000000006,-237.99999999999378,-101.00000000000664,,-5410.000000000006
