date,USDCHF,USDCAD,EURCHF,CADCHF,AUDCHF,EURJPY,EURNZD,NZDJPY,AUDCAD,NZDCAD,empty,sum
2020.03.02,-89.00000000000574,-103.99999999999298,-205.00000000001074,-143.00000000000423,-179.99999999999127,-257.99999999999557,-685.0000000000023,-340.999999999994,-295.0000000000008,-240.00000000000688,,-2540.0000000000045
2020.03.02,-180.0000000000024,-158.99999999999804,-243.99999999999977,-160.00000000000458,-180.99999999999784,-260.9999999999957,-541.9999999999981,-317.99999999999784,-195.00000000000074,-143.00000000000423,,-2382.999999999999
2020.03.02,-90.99999999999665,-248.00000000000378,-353.0000000000033,-165.9999999999995,-391.9999999999924,-417.99999999999216,-402.9999999999978,-435.99999999999284,-480.99999999999807,-333.0000000000055,,-3320.999999999982
2020.03.02,-131.00000000000333,-302.0000000000023,-333.0000000000055,-278.00000000000045,-532.9999999999945,-446.9999999999885,-678.0000000000008,-498.00000000000466,-603.9999999999934,-287.9999999999994,,-4091.999999999993
2020.03.02,-261.0000000000001,-304.9999999999997,-365.0000000000153,-391.000000000008,-569.9999999999927,-371.9999999999999,-734.9999999999968,-542.0000000000016,-471.99999999999466,-224.000000000002,,-4237.00000000001
2020.03.02,-131.00000000000333,-402.9999999999978,-315.0000000000208,-301.0000000000068,-442.9999999999934,-446.9999999999885,-497.0000000000141,-477.99999999999443,-365.99999999999966,-133.00000000000534,,-3514.000000000024
2020.03.02,-41.000000000002146,-568.000000000013,-324.0000000000132,-367.0000000000062,-452.99999999999227,-469.99999999999886,-463.9999999999977,-492.00000000000443,-366.9999999999951,-87.00000000000374,,-3633.0000000000264
2020.03.02,-145.00000000000622,-764.0000000000091,-425.0000000000087,-548.9999999999995,-619.9999999999983,-710.9999999999985,-846.0000000000134,-757.000000000005,-341.0000000000024,-100.00000000000009,,-5258.000000000041
2020.03.02,-109.99999999999899,-846.0000000000134,-369.0000000000193,-553.0000000000035,-608.9999999999928,-722.999999999999,-832.0000000000105,-777.000000000001,-373.99999999999653,-118.00000000000699,,-5311.000000000043
2020.03.02,-173.9999999999964,-977.0000000000057,-455.0000000000054,-668.0000000000019,-812.999999999997,-975.9999999999991,-1019.9999999999986,-977.9999999999944,-446.9999999999974,-70.0000000000034,,-6577.999999999999
2020.03.02,-148.99999999999915,-1014.0000000000038,-390.0000000000015,-687.0000000000043,-722.9999999999959,-1091.9999999999986,-961.0000000000118,-981.9999999999993,-329.00000000000153,12.999999999996348,,-6314.00000000002
2020.03.02,-124.99999999999733,-956.0000000000013,-373.00000000000114,-615.00000000001,-674.9999999999923,-1075.9999999999934,-836.0000000000146,-978.9999999999992,-326.0000000000041,17.000000000000348,,-5944.000000000013
2020.03.02,-150.00000000000568,-890.9999999999974,-338.0000000000161,-630.0000000000083,-596.9999999999919,-926.9999999999925,-717.9999999999964,-810.0000000000023,-241.99999999999778,97.9999999999981,,-5205.000000000011
2020.03.02,-102.00000000000209,-917.0000000000123,-337.0000000000095,-594.0000000000057,-572.9999999999902,-872.9999999999905,-605.0000000000111,-775.9999999999962,-202.0000000000022,131.99999999999878,,-4847.000000000021
