,names,week,needed_features,accuracy
0,USDCHF,15,['USDJPY'],80.0
1,EURUSD,10,"['EURGBP', 'GBPJPY']",80.0
2,USDJPY,15,"['EURNZD', 'NZDCAD', 'EURGBP']",100.0
3,USDCAD,10,['NZDCAD'],80.0
4,AUDUSD,10,"['AUDJPY', 'GBPAUD', 'EURJPY', 'USDCAD']",80.0
5,NZDUSD,10,"['AUDUSD', 'GBPAUD', 'AUDJPY']",80.0
6,GBPCHF,30,"['EURNZD', 'NZDCHF']",80.0
7,EURCHF,10,"['USDJPY', 'EURAUD', 'EURCAD']",100.0
8,CHFJPY,10,['GBPUSD'],80.0
9,CADCHF,10,"['EURNZD', 'NZDCAD', 'NZDCHF']",100.0
10,AUDCHF,10,['NZDCHF'],80.0
11,NZDCHF,10,['EURUSD'],80.0
12,GBPJPY,10,['GBPJPY'],80.0
13,GBPCAD,15,['GBPCHF'],80.0
14,GBPAUD,15,['CHFJPY'],80.0
15,EURJPY,10,['NZDCAD'],80.0
16,EURCAD,10,"['EURNZD', 'NZDCAD']",80.0
17,EURAUD,15,"['USDCHF', 'NZDCAD']",100.0
18,EURNZD,20,"['CHFJPY', 'USDCHF', 'GBPUSD']",80.0
19,AUDJPY,15,['CHFJPY'],80.0
20,NZDJPY,30,['USDCHF'],80.0
21,AUDCAD,10,"['USDCHF', 'EURUSD', 'USDCAD', 'EURJPY']",80.0
22,NZDCAD,10,['NZDUSD'],80.0
