date,GBPUSD,EURUSD,USDJPY,USDCAD,NZDUSD,EURCHF,CADJPY,AUDCAD,NZDCAD,empty,sum
2015.06.08,-35.999999999991594,-46.0000000000127,-51.00000000000193,-72.0000000000054,-19.00000000000235,-28.000000000005798,-22.999999999996135,-168.99999999999693,-30.999999999992145,,-475.000000000005
2015.06.08,5.999999999994898,-36.999999999998145,-30.9999999999917,-59.000000000009045,-60.99999999999994,41.000000000002146,-51.00000000000193,-117.00000000000044,-79.99999999999119,,-388.99999999999534
2015.06.08,15.999999999993797,-55.000000000005045,-39.00000000000148,1.999999999990898,-58.000000000002494,32.999999999994145,-61.99999999999761,-187.00000000000384,-119.99999999999788,,-470.0000000000295
2015.06.08,11.00000000000545,-77.00000000001594,12.000000000000455,32.999999999994145,-68.00000000000139,32.0000000000098,-18.000000000000682,-192.00000000000327,-156.99999999999602,,-424.00000000000745
2015.06.08,11.999999999989797,-65.00000000000395,42.00000000000159,78.00000000000028,-58.99999999999794,25.00000000000835,-61.99999999999761,-234.99999999999633,-188.9999999999947,,-452.9999999999905
2015.06.08,12.999999999996348,-89.00000000000574,19.99999999999602,129.99999999998568,-72.0000000000054,14.000000000002899,-123.99999999999523,-271.9999999999945,-224.9999999999974,,-605.0000000000173
2015.06.08,-34.000000000000696,-100.0000000000112,-78.00000000000296,130.99999999999224,-63.00000000000195,36.0000000000138,-162.9999999999967,-312.9999999999966,-203.99999999999307,,-787.9999999999972
2015.06.08,-35.999999999991594,-97.9999999999981,-129.0000000000049,129.99999999998568,-75.9999999999983,59.99999999999339,-262.00000000000045,-322.00000000000006,-240.99999999999122,,-974.0000000000056
2015.06.08,-9.999999999998899,31.999999999987594,-156.99999999999648,208.99999999999253,-95.99999999999609,41.000000000002146,-286.00000000000136,-317.0000000000006,-300.0000000000003,,-884.0000000000114
2015.06.08,-42.999999999993044,-24.000000000001798,-266.00000000000534,183.99999999998417,-119.99999999999788,43.999999999999595,-352.99999999999443,-392.00000000000347,-307.0000000000017,,-1277.0000000000136
