date,GBPUSD,EURUSD,CADCHF,EURJPY,EURCAD,EURAUD,empty,sum
2018.02.12,-120.00000000000898,-55.99999999998939,0.0,-52.00000000002092,-133.99999999998968,-73.99999999999629,,-436.0000000000053
2018.02.12,-212.99999999999653,-85.99999999998609,24.000000000001798,-67.00000000000728,-149.9999999999835,-128.99999999997914,,-620.9999999999507
2018.02.12,-208.00000000000819,-79.99999999999119,46.999999999997044,-98.00000000001319,-192.99999999999872,-115.99999999998278,,-647.999999999997
2018.02.12,-200.00000000000017,-83.9999999999952,46.999999999997044,-16.000000000019554,-186.99999999998164,-118.99999999998023,,-558.9999999999798
2018.02.12,-258.0000000000027,-158.99999999999804,51.000000000001044,-49.000000000006594,-152.99999999998093,-113.99999999999189,,-681.9999999999791
2018.02.12,-224.000000000002,-201.99999999999108,44.99999999999504,48.99999999997817,-156.99999999998494,-115.99999999998278,,-604.9999999999875
2018.02.12,-319.0000000000026,-336.00000000000296,60.99999999999994,-174.0000000000066,-203.99999999998198,-179.99999999998016,,-1151.9999999999745
2018.02.12,-327.99999999999494,-360.9999999999891,63.00000000000195,-146.000000000015,-221.99999999998886,-247.99999999998158,,-1241.9999999999677
2018.02.12,-317.0000000000117,-358.9999999999982,73.00000000000084,-120.00000000000455,-188.9999999999947,-264.9999999999819,,-1176.9999999999905
2018.02.12,-404.0000000000044,-408.9999999999927,90.99999999999665,-243.00000000002342,-217.99999999998488,-281.99999999998226,,-1464.999999999991
2018.02.12,-398.9999999999938,-412.9999999999967,87.99999999999919,-305.0000000000068,-251.99999999998556,-252.99999999999213,,-1533.9999999999757
2018.02.12,-537.0000000000097,-453.99999999999886,83.9999999999952,-332.00000000002206,-274.9999999999808,-254.999999999983,,-1768.9999999999993
2018.02.12,-663.0000000000135,-530.9999999999926,110.99999999999443,-349.00000000001796,-289.9999999999903,-211.99999999998997,,-1934.00000000001
2018.02.12,-646.9999999999976,-448.9999999999883,105.99999999999498,-237.99999999999955,-224.99999999998633,-209.9999999999991,,-1662.999999999976
2018.02.12,-609.9999999999994,-425.99999999999307,120.99999999999334,-219.99999999999886,-217.0000000000005,-217.99999999998488,,-1569.9999999999836
2018.02.12,-636.0000000000143,-427.99999999998397,102.99999999999754,-262.00000000000045,-208.99999999999253,-225.99999999999287,,-1657.9999999999866
2018.02.12,-583.0000000000002,-471.9999999999835,107.99999999999699,-318.00000000001205,-270.99999999999903,-306.9999999999906,,-1842.9999999999884
2018.02.12,-534.0000000000123,-465.0000000000043,114.99999999999844,-287.00000000000614,-245.99999999999068,-305.9999999999841,,-1722.999999999999
2018.02.12,-553.0000000000035,-515.9999999999832,90.0000000000012,-293.00000000000637,-307.99999999999716,-451.99999999998573,,-2031.9999999999748
2018.02.12,-489.0000000000061,-436.9999999999985,98.99999999999353,-241.00000000001387,-258.99999999998704,-466.9999999999952,,-1794.0000000000073
2018.02.12,-391.000000000008,-286.99999999999284,63.00000000000195,14.999999999986358,-261.9999999999845,-396.9999999999807,,-1258.9999999999777
2018.02.12,-693.9999999999947,-384.9999999999909,-12.000000000000899,-222.0000000000084,-253.99999999999866,-380.9999999999869,,-1947.9999999999804
2018.02.12,-663.0000000000135,-374.999999999992,-21.999999999999797,-265.0000000000148,-280.9999999999979,-446.9999999999974,,-2053.0000000000155
2018.02.12,-536.0000000000032,-293.99999999999426,31.999999999998696,-171.0000000000207,-186.99999999998164,-285.99999999998624,,-1441.9999999999873
2018.02.12,-422.00000000001125,-273.9999999999965,49.99999999999449,-72.00000000000273,-96.99999999999153,-192.99999999999872,,-1008.0000000000063
2018.02.12,-594.0000000000057,-310.9999999999946,58.99999999999794,-140.00000000001478,-47.99999999998139,-74.99999999998064,,-1108.999999999979
2018.02.12,-683.0000000000114,-295.99999999998516,-43.999999999999595,-133.00000000000978,-68.99999999998573,-75.99999999998718,,-1300.9999999999789
