names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
USDCHF,10,"['EURUSD', 'EURNZD']",80.0,-0.4304047619047618,B
EURUSD,20,['GBPAUD'],100.0,0.5953457098457099,S
USDCAD,30,"['GBPCAD', 'USDCHF', 'GBPAUD', 'GBPCHF', 'EURGBP']",80.0,-0.040333333333333325,B
AUDUSD,30,"['GBPCAD', 'GBPUSD', 'EURGBP', 'GBPCHF']",80.0,-0.4059523809523809,B
NZDUSD,20,"['AUDNZD', 'NZDUSD', 'EURNZD', 'EURUSD']",80.0,0.6606666666666666,S
GBPCHF,10,"['CHFJPY', 'AUDNZD', 'AUDCHF']",80.0,-0.36,B
EURCHF,50,"['NZDJPY', 'CHFJPY', 'GBPJPY']",100.0,0.12867171717171721,S
CHFJPY,10,['EURNZD'],80.0,-0.467214285714286,B
CADCHF,15,"['CHFJPY', 'GBPAUD', 'EURAUD', 'USDCHF', 'NZDCHF']",80.0,-0.529,B
NZDCHF,30,"['EURGBP', 'GBPCHF', 'AUDNZD', 'USDJPY']",100.0,-0.6463095238095239,B
EURGBP,10,"['CHFJPY', 'AUDNZD', 'AUDCHF']",80.0,0.56,S
GBPJPY,10,['CHFJPY'],80.0,1.0,S
GBPCAD,15,['NZDCAD'],80.0,-1.0,B
GBPAUD,10,['USDJPY'],80.0,0.310484126984127,S
EURJPY,20,"['AUDUSD', 'NZDUSD', 'USDCAD', 'NZDCHF', 'EURGBP', 'EURAUD', 'GBPCHF', 'AUDCHF']",100.0,1.0,S
EURCAD,15,"['CHFJPY', 'GBPAUD', 'EURAUD', 'USDCHF', 'NZDCHF']",80.0,0.4033333333333334,S
EURAUD,10,"['NZDCHF', 'AUDCHF']",80.0,0.5643333333333334,S
AUDCAD,20,['AUDCAD'],80.0,-0.6308944454238573,B
NZDCAD,30,"['USDJPY', 'AUDCAD', 'GBPAUD', 'NZDUSD']",100.0,-0.94,B
AUDNZD,10,"['EURGBP', 'GBPCHF']",80.0,-0.4853333333333334,B
