date,GBPUSD,EURUSD,USDJPY,AUDUSD,CHFJPY,EURGBP,GBPJPY,GBPCAD,EURNZD,AUDCAD,NZDCAD,empty,sum
2018.10.01,-130.0000000000079,-9.999999999998899,-64.00000000000716,-7.9999999999968985,-195.0000000000074,-54.999999999993946,-38.99999999998727,-63.99999999999739,-34.000000000000696,-9.999999999998899,-244.99999999999523,,-853.9999999999916
2018.10.01,-79.00000000000685,45.99999999999049,-51.00000000000193,6.0000000000060005,-196.00000000001216,-49.99999999999449,42.00000000000159,-19.999999999997797,11.999999999989797,-21.00000000000435,-239.0000000000003,,-550.00000000003
2018.10.01,-86.0000000000083,49.99999999999449,-61.99999999999761,-3.999999999992898,-128.0000000000001,-64.99999999999284,52.00000000002092,-139.00000000000023,-9.999999999998899,-58.99999999999794,-458.9999999999983,,-909.9999999999718
2018.10.01,-87.99999999999919,105.99999999998388,-61.00000000000705,-46.999999999997044,-98.00000000001319,-39.00000000000014,52.99999999999727,-134.00000000001188,-86.99999999999264,-56.99999999999594,-247.99999999999267,,-700.0000000000285
2018.10.01,-70.99999999999883,83.9999999999952,-135.99999999999568,-69.9999999999923,-143.00000000000068,-27.999999999994696,-116.99999999999022,-144.0000000000108,-168.99999999999693,-4.999999999999449,-253.99999999999866,,-1052.999999999983
2018.10.01,-55.000000000005045,75.00000000000284,-146.0000000000008,-45.99999999999049,-153.0000000000058,-17.999999999995797,-127.9999999999859,-89.00000000000574,-34.000000000000696,-87.00000000000374,-222.99999999999542,,-903.9999999999867
2018.10.01,-7.0000000000014495,58.99999999998684,-99.00000000000375,-2.999999999997449,-166.00000000001103,-6.999999999990347,-93.99999999999409,-89.00000000000574,-29.999999999996696,-87.00000000000374,-283.99999999999534,,-807.0000000000127
2018.10.01,-17.000000000000348,61.99999999998429,-200.00000000000284,-9.999999999998899,-248.00000000000466,0.0,-214.999999999975,106.99999999999044,1.999999999990898,-10.999999999994348,-282.99999999999994,,-813.0000000000105
2018.10.01,-83.00000000001084,75.00000000000284,-260.0000000000051,7.0000000000014495,-243.0000000000092,-12.000000000000899,-193.9999999999884,82.00000000000429,-17.000000000000348,-0.999999999995449,-249.99999999999466,,-895.9999999999964
2018.10.01,-107.00000000001265,153.00000000000313,-262.00000000000045,24.000000000001798,-296.0000000000065,9.999999999998899,-213.99999999999864,-299.00000000000483,-96.00000000000719,-188.9999999999947,-244.99999999999523,,-1521.0000000000164
2018.10.01,-60.000000000015596,129.99999999998568,-260.9999999999957,-31.999999999998696,-345.0000000000131,2.000000000002,-258.99999999998613,-422.9999999999956,-190.00000000000128,-212.00000000000108,-168.00000000000148,,-1818.000000000021
2018.10.01,-77.00000000001594,139.00000000000023,-225.9999999999991,-5.999999999994898,-312.0000000000118,11.00000000000545,-231.99999999999932,-273.0000000000121,-207.00000000000162,-173.9999999999964,-159.9999999999935,,-1517.0000000000189
2018.10.01,-90.00000000001229,187.99999999998818,-234.99999999999943,33.000000000005244,-311.00000000000705,23.00000000000635,-168.99999999998272,-344.99999999999534,-120.00000000000898,-224.9999999999974,-105.99999999999498,,-1356.9999999999984
2018.10.01,-99.00000000000463,180.99999999998673,-198.0000000000075,48.000000000003595,-233.0000000000041,20.0000000000089,-116.99999999999022,-232.00000000000998,-46.999999999997044,-175.99999999999838,-114.00000000000298,,-967.0000000000156
