date,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,CHFJPY,CADCHF,NZDCHF,EURGBP,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,CADJPY,AUDCAD,NZDCAD,empty,sum
2019.07.01,-75.00000000000284,-85.00000000000173,-56.99999999999594,0.0,-33.000000000005244,-394.9999999999898,-56.000000000011596,-307.0000000000017,-243.00000000000432,-58.99999999999794,0.0,0.0,0.0,-280.9999999999979,0.0,0.0,-3.999999999992898,-134.99999999999625,,-1729.9999999999982
2019.07.01,-68.99999999998573,-48.000000000003595,-55.99999999998939,85.00000000000173,48.000000000003595,-378.999999999996,6.999999999990791,-243.99999999999977,-217.0000000000005,-24.000000000001798,-83.00000000001084,107.99999999999699,275.0000000000057,-90.99999999999665,170.99999999998784,254.99999999999545,92.00000000000318,24.000000000001798,,-145.9999999999972
2019.07.01,-56.99999999999594,-43.999999999999595,-65.00000000000395,53.999999999998494,21.00000000000435,-368.9999999999971,9.000000000000341,-300.0000000000003,-230.000000000008,-31.999999999998696,-31.000000000003247,83.9999999999952,283.00000000000125,-123.00000000000644,117.99999999999588,251.99999999999534,33.000000000005244,-17.999999999995797,,-415.00000000001296
2019.07.01,-41.99999999998649,-28.000000000005798,-90.99999999999665,44.99999999999504,9.00000000000345,-418.9999999999916,134.9999999999909,-285.00000000000193,-253.0000000000032,-51.99999999999649,-75.00000000000284,36.0000000000138,502.00000000000955,-26.999999999999247,71.99999999998319,409.9999999999966,67.00000000000594,12.000000000000899,,16.000000000015252
2019.07.01,-73.99999999999629,-5.000000000010552,-59.99999999999339,51.99999999999649,51.99999999999649,-434.000000000001,119.99999999999034,-286.00000000000847,-285.00000000000193,-21.999999999999797,-84.0000000000174,9.999999999998899,516.0000000000053,-7.0000000000014495,61.99999999998429,406.9999999999965,63.99999999999739,54.999999999993946,,80.99999999992937
2019.07.01,-48.99999999998794,-73.00000000001194,-99.00000000000463,19.999999999997797,56.99999999999594,-431.99999999998795,72.99999999999329,-287.9999999999994,-300.0000000000003,-17.999999999995797,-72.0000000000054,-9.999999999998899,439.00000000000716,-39.999999999995595,75.99999999998718,361.99999999999477,55.000000000005045,75.00000000000284,,-224.0000000000038
2019.07.01,-34.000000000000696,-104.00000000001519,-96.99999999999153,-31.999999999998696,31.000000000003247,-420.9999999999825,-25.000000000005684,-290.00000000000136,-282.0000000000045,4.999999999999449,-43.999999999999595,-165.9999999999995,262.00000000000045,-106.00000000000608,-56.000000000011596,262.00000000000045,-29.999999999996696,36.0000000000027,,-1091.0000000000073
2019.07.01,-9.999999999998899,-134.99999999999625,-127.99999999999478,-129.00000000000134,-51.000000000001044,-391.9999999999924,-111.0000000000042,-270.0000000000036,-243.99999999999977,9.00000000000345,-60.000000000015596,-363.9999999999866,152.00000000000102,-86.0000000000083,-175.00000000001404,209.99999999999375,-119.00000000000244,-29.999999999996696,,-1933.0000000000177
2019.07.01,33.00000000001635,-148.99999999999915,-133.00000000000534,-148.99999999999915,-119.99999999999788,-485.0000000000021,-137.00000000000045,-347.0000000000084,-223.00000000000654,21.999999999999797,-40.0000000000178,-370.00000000000364,212.0000000000033,-143.00000000000423,-189.00000000001694,257.99999999999557,-159.9999999999935,-134.99999999999625,,-2255.0000000000373
2019.07.01,-7.0000000000014495,-194.0000000000053,-173.99999999998528,-257.0000000000072,-168.00000000000148,-526.0000000000042,-265.00000000000057,-341.0000000000024,-195.00000000000074,43.00000000000415,-117.00000000001154,-659.999999999994,4.0000000000048885,-171.00000000001003,-381.0000000000091,143.99999999999125,-264.999999999993,-158.0000000000026,,-3688.0000000000286
2019.07.01,-106.99999999999044,-163.00000000000205,-177.99999999998929,-212.00000000000108,-151.9999999999966,-668.0000000000019,-272.00000000000557,-341.0000000000024,-204.99999999999963,95.00000000000064,-281.0000000000201,-693.9999999999947,88.00000000000807,-104.99999999999955,-332.00000000002115,165.99999999999682,-200.99999999999562,-138.00000000000477,,-3700.000000000019
2019.07.01,-99.99999999998899,-156.00000000000057,-184.99999999999073,-180.0000000000024,-109.99999999999899,-658.9999999999874,-225.9999999999991,-356.00000000000074,-236.99999999999832,104.99999999999955,-285.00000000000193,-673.9999999999968,140.00000000000057,-86.99999999999264,-264.0000000000198,189.99999999999773,-156.99999999999602,-75.00000000000284,,-3315.999999999979
2019.07.01,-52.99999999999194,-174.00000000000747,-143.00000000000423,-151.00000000000114,-87.00000000000374,-671.9999999999837,-234.00000000000887,-383.0,-257.0000000000072,109.00000000000354,-167.00000000000603,-531.9999999999991,168.99999999999693,-134.99999999999625,-182.99999999999983,244.99999999999034,-143.9999999999997,-75.00000000000284,,-2867.000000000021
2019.07.01,-52.99999999999194,-178.00000000001148,-168.99999999999693,-180.99999999999784,-107.99999999999699,-739.9999999999851,-295.0000000000017,-428.00000000000614,-279.00000000000705,102.00000000000209,-187.00000000000384,-592.9999999999991,179.00000000000205,-136.00000000000279,-261.0000000000001,250.0,-171.99999999999437,-99.00000000000463,,-3347.9999999999955
2019.07.01,-53.999999999998494,-180.0000000000024,-175.99999999999838,-180.0000000000024,-97.9999999999981,-831.000000000004,-335.00000000000796,-461.0000000000003,-339.0000000000004,104.00000000000409,-204.00000000000418,-590.0000000000016,209.00000000000318,-104.99999999999955,-258.0000000000027,254.99999999999545,-166.99999999999494,-70.0000000000034,,-3480.0000000000155
2019.07.01,-59.99999999999339,-194.0000000000053,-182.99999999999983,-197.00000000000273,-89.00000000000574,-818.9999999999919,-349.00000000000375,-458.9999999999983,-333.0000000000055,121.99999999999989,-230.00000000001907,-655.0000000000056,162.9999999999967,-110.00000000001009,-245.0000000000063,233.99999999999466,-166.99999999999494,-53.00000000000304,,-3624.000000000054
2019.07.01,-59.99999999999339,-456.9999999999963,-261.0000000000001,-292.00000000000335,-192.99999999999872,-839.9999999999964,-377.00000000000955,-478.0000000000006,-333.0000000000055,153.99999999999858,-229.00000000001253,-661.0000000000005,-39.00000000000148,-361.0000000000113,-182.0000000000155,229.99999999998977,-248.99999999999923,-139.99999999999568,,-4768.000000000051
2019.07.01,104.00000000001519,-452.00000000000796,-262.00000000000665,-292.9999999999988,-192.99999999999872,-825.9999999999934,-406.0000000000059,-511.0000000000059,-313.00000000000773,189.00000000000583,-113.00000000000753,-661.0000000000005,-31.999999999996476,-368.00000000001273,-150.00000000000568,232.99999999998988,-251.99999999999667,-143.9999999999997,,-4450.000000000034
2019.07.01,80.00000000001339,-422.00000000001125,-224.99999999998633,-282.99999999999994,-202.0000000000022,-848.9999999999886,-402.000000000001,-548.9999999999995,-331.0000000000035,139.99999999999568,-80.00000000001339,-663.999999999998,48.00000000000182,-381.99999999999346,-158.0000000000137,274.9999999999915,-265.99999999999955,-175.00000000000293,,-4445.000000000011
2019.07.01,134.00000000001188,-432.9999999999945,-222.99999999999542,-287.0000000000039,-202.0000000000022,-829.9999999999974,-347.0000000000084,-582.0000000000048,-336.00000000000296,117.99999999999588,-16.000000000016,-573.0000000000013,142.00000000001012,-412.9999999999967,-168.0000000000126,360.99999999999,-280.9999999999979,-190.00000000000128,,-4126.000000000027
2019.07.01,214.00000000000307,-509.00000000000387,-238.0000000000049,-297.9999999999983,-231.0000000000034,-787.0000000000043,-331.00000000000307,-584.0000000000067,-353.99999999999875,106.00000000000608,109.99999999998789,-482.999999999989,33.00000000000125,-514.9999999999987,-128.000000000017,363.9999999999901,-283.99999999999534,-204.99999999999963,,-4120.000000000035
2019.07.01,222.99999999999542,-499.000000000005,-150.00000000000568,-252.0000000000078,-195.9999999999962,-707.9999999999975,-399.0000000000009,-605.0,-360.0000000000048,63.99999999999739,209.9999999999991,-331.999999999999,-57.00000000000216,-558.0000000000141,12.999999999996348,311.9999999999976,-269.9999999999925,-207.99999999999707,,-3772.0000000000364
2019.07.01,304.00000000001535,-473.0000000000123,-174.99999999999181,-253.0000000000032,-185.00000000000182,-594.99999999999,-464.00000000001285,-565.0000000000044,-355.0000000000053,-36.0000000000027,275.9999999999874,-221.00000000000452,-60.99999999999284,-502.00000000000244,-54.0000000000207,259.9999999999909,-261.0000000000001,-197.99999999999818,,-3558.0000000000496
2019.07.01,412.9999999999967,-394.00000000000546,-211.00000000000563,-251.00000000000122,-134.99999999999625,-554.9999999999944,-541.000000000011,-577.0000000000052,-447.0000000000085,-141.00000000000225,377.9999999999894,-112.000000000001,-39.00000000000148,-395.000000000012,-111.00000000001664,229.99999999998977,-234.99999999999633,-121.00000000000443,,-3244.0000000000864
2019.07.01,514.0000000000144,-438.00000000000506,-249.99999999999466,-263.0000000000021,-151.9999999999966,-475.99999999998755,-572.0000000000027,-583.0000000000002,-470.00000000000375,-165.00000000000404,475.99999999998755,39.999999999995595,-105.99999999999454,-358.00000000001387,-57.00000000001815,178.99999999998784,-212.00000000000108,-89.00000000000574,,-2982.0000000000446
2019.07.01,473.99999999999665,-465.0000000000043,-261.0000000000001,-256.0000000000007,-177.00000000000495,-519.9999999999872,-543.0000000000064,-563.0000000000024,-392.9999999999989,-114.99999999999844,392.9999999999989,9.999999999998899,-104.99999999998977,-380.00000000000256,-19.00000000001345,194.99999999999318,-195.9999999999962,-111.00000000000554,,-3032.000000000023
2019.07.01,435.0000000000076,-439.0000000000116,-251.99999999998556,-258.9999999999981,-182.00000000000438,-489.99999999999045,-416.000000000011,-516.0000000000053,-318.00000000000716,-112.000000000001,365.99999999999966,-96.00000000000719,-49.99999999999716,-364.9999999999931,-76.0000000000094,226.99999999998965,-224.9999999999974,-136.00000000000279,,-2904.0000000000255
