date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,EURJPY,empty,sum
2015.07.27,14.999999999998348,-11.999999999989797,-27.000000000001023,45.000000000006146,7.0000000000014495,44.999999999987494,,73.00000000000261
2015.07.27,12.000000000000899,8.000000000008,-37.00000000000614,39.00000000001125,-11.00000000000545,72.00000000000273,,83.00000000001128
2015.07.27,21.999999999999797,-39.999999999995595,49.99999999999716,63.000000000013046,-56.0000000000005,-74.00000000001228,,-34.999999999998366
2015.07.27,25.999999999992696,16.000000000016,75.9999999999934,49.00000000001015,-73.00000000000084,-32.99999999998704,,61.00000000002437
2015.07.27,39.999999999995595,39.00000000001125,52.99999999999727,36.999999999998145,-112.000000000001,20.000000000010232,,77.00000000001151
2015.07.27,44.99999999999504,39.999999999995595,10.000000000005116,45.000000000006146,-40.00000000000669,63.99999999999295,,163.99999999998818
2015.07.27,-4.000000000004,-21.00000000000435,-70.99999999999795,48.000000000003595,-31.000000000003247,78.00000000000296,,-1.0000000000030127
2015.07.27,-106.00000000000608,-123.99999999999079,-108.00000000000409,-4.000000000004,-90.0000000000012,-6.000000000000227,,-438.00000000000637
2015.07.27,-134.0000000000008,-129.00000000000134,-93.00000000000352,-5.999999999994898,-156.00000000000057,-32.99999999998704,,-550.9999999999882
2015.07.27,-117.00000000000044,-177.99999999998929,-87.0000000000033,-11.00000000000545,-170.99999999999892,-94.99999999999886,,-658.9999999999962
2015.07.27,-126.99999999999933,-258.0000000000027,-212.0000000000033,-93.99999999999409,-211.00000000000563,-60.000000000002274,,-962.0000000000073
2015.07.27,-206.00000000000617,-334.9999999999964,-275.0000000000057,-113.99999999999189,-270.99999999999903,-80.99999999998886,,-1281.9999999999882
2015.07.27,-177.00000000000495,-268.9999999999859,-271.0000000000008,-49.99999999999449,-180.99999999999784,-7.000000000005002,,-954.999999999989
2015.07.27,-175.00000000000293,-282.0000000000045,-290.9999999999968,-73.99999999999629,-207.99999999999707,-1.0000000000047748,,-1031.0000000000023
2015.07.27,-153.99999999999858,-251.00000000000122,-251.99999999999534,-49.99999999999449,-128.00000000000588,-3.9999999999906777,,-838.9999999999862
2015.07.27,-173.00000000000094,-279.99999999999136,-257.000000000005,-43.999999999999595,-163.00000000000205,-32.00000000001069,,-949.0000000000095
2015.07.27,-200.00000000000017,-327.99999999999494,-290.9999999999968,-126.99999999998823,-229.99999999999687,-56.99999999998795,,-1232.999999999965
2015.07.27,-165.9999999999995,-292.9999999999877,-254.0000000000049,-70.99999999999883,-202.9999999999976,-56.000000000011596,,-1043.0
2015.07.27,-387.99999999999943,-617.9999999999852,-344.99999999999886,-296.9999999999917,-328.0000000000061,-353.00000000000864,,-2328.99999999999
2015.07.27,-381.0000000000091,-520.9999999999936,-384.00000000000034,-106.00000000000608,-99.00000000000463,-191.0000000000025,,-1682.0000000000164
2015.07.27,-677.0000000000053,-954.9999999999948,-358.0000000000041,-188.9999999999947,-80.00000000000229,-753.9999999999907,,-3012.999999999992
2015.07.27,-733.0000000000059,-1109.0000000000043,-468.9999999999941,-431.0000000000036,-131.99999999999878,-836.0000000000127,,-3710.0000000000196
2015.07.27,-605.0,-1075.0000000000036,-368.9999999999998,-404.9999999999887,-175.99999999999838,-889.9999999999864,,-3519.999999999977
2015.07.27,-538.0000000000051,-1017.9999999999856,-272.99999999999613,-391.9999999999924,-173.00000000000094,-926.9999999999925,,-3320.9999999999727
2015.07.27,-470.00000000000375,-871.9999999999839,-281.9999999999965,-356.9999999999851,-165.9999999999995,-739.0000000000043,,-2885.9999999999727
2015.07.27,-619.0000000000028,-961.9999999999961,-400.99999999999625,-451.0000000000014,-261.0000000000001,-716.0000000000082,,-3410.000000000005
2015.07.27,-564.000000000009,-950.9999999999908,-414.0000000000015,-400.9999999999847,-262.00000000000665,-687.9999999999882,,-3279.999999999981
2015.07.27,-495.000000000001,-912.0000000000017,-439.9999999999977,-273.9999999999965,-228.00000000000597,-616.0000000000139,,-2965.0000000000164
2015.07.27,-568.0000000000018,-990.000000000002,-516.0000000000053,-191.99999999999218,-177.00000000000495,-623.9999999999952,,-3067.000000000002
2015.07.27,-478.0000000000006,-902.0000000000028,-557.0000000000022,-212.99999999999653,-173.9999999999964,-471.00000000000364,,-2795.000000000002
2015.07.27,-409.99999999999926,-851.0000000000017,-570.999999999998,-131.99999999999878,-207.99999999999707,-384.9999999999909,,-2556.999999999986
2015.07.27,-464.00000000000887,-942.9999999999827,-590.0000000000034,-28.000000000005798,-190.00000000000128,-483.0000000000041,,-2698.0000000000064
2015.07.27,-655.0000000000056,-1205.999999999996,-700.0000000000028,-360.9999999999891,-497.000000000003,-686.000000000007,,-4105.000000000004
2015.07.27,-584.0000000000067,-1200.9999999999854,-635.0000000000051,-205.99999999999508,-363.0000000000022,-753.0000000000143,,-3742.000000000009
2015.07.27,-614.9999999999989,-1219.9999999999989,-629.9999999999955,-126.99999999998823,-329.00000000000153,-781.0000000000059,,-3701.9999999999886
2015.07.27,-416.00000000000523,-1279.9999999999923,-659.9999999999966,-136.99999999998712,-295.0000000000008,-823.0000000000075,,-3610.99999999999
2015.07.27,-382.00000000000455,-1249.9999999999955,-545.0000000000017,-82.99999999998863,-250.00000000000577,-911.0000000000014,,-3420.9999999999977
2015.07.27,-237.00000000000944,-1357.9999999999925,-512.0000000000005,-278.9999999999848,-334.00000000000097,-1082.9999999999984,,-3802.9999999999864
2015.07.27,-53.00000000000304,-1373.000000000002,-503.0000000000001,-190.00000000000128,-282.99999999999994,-1111.9999999999948,,-3514.000000000001
2015.07.27,-172.00000000000549,-1363.0000000000032,-549.0000000000066,-34.000000000000696,-263.99999999999756,-1044.9999999999875,,-3427.000000000002
2015.07.27,13.999999999991797,-1300.9999999999966,-611.0000000000042,-99.99999999998899,-204.99999999999963,-901.0000000000105,,-3104.000000000008
2015.07.27,63.99999999999739,-1238.99999999999,-551.0000000000019,-106.99999999999044,-168.00000000000148,-891.9999999999959,,-2892.9999999999823
2015.07.27,58.99999999999794,-1259.9999999999945,-522.9999999999961,-122.99999999998423,-146.99999999999713,-949.0000000000123,,-2942.9999999999864
2015.07.27,56.0000000000005,-1231.0000000000043,-528.9999999999964,-38.0000000000047,-109.99999999999899,-906.0000000000059,,-2758.00000000001
2015.07.27,71.99999999999429,-1195.999999999997,-513.0000000000052,46.0000000000127,-73.00000000000084,-882.000000000005,,-2546.000000000001
2015.07.27,54.999999999993946,-1183.0000000000007,-490.99999999999966,35.00000000000725,-46.999999999997044,-888.0000000000052,,-2519.0000000000014
2015.07.27,34.99999999999615,-1163.000000000003,-475.9999999999991,-41.99999999998649,-46.00000000000159,-881.0000000000002,,-2572.9999999999945
2015.07.27,34.99999999999615,-1106.9999999999914,-518.0000000000007,-5.999999999994898,20.999999999993246,-789.999999999992,,-2364.99999999999
2015.07.28,19.999999999997797,-1136.0000000000036,-498.00000000000466,-31.999999999987594,24.999999999997247,-812.9999999999882,,-2433.999999999989
2015.07.28,-20.0000000000089,-1154.999999999995,-516.0000000000053,-9.999999999998899,36.0000000000027,-823.0000000000075,,-2488.0000000000127
2015.07.28,-18.0000000000069,-1151.9999999999975,-510.9999999999957,-7.999999999985796,-26.000000000003798,-828.000000000003,,-2542.9999999999927
2015.07.28,-9.999999999998899,-1098.9999999999834,-496.9999999999999,-7.0000000000014495,-55.000000000005045,-782.0000000000107,,-2449.999999999999
2015.07.28,8.999999999992347,-1092.000000000004,-484.99999999999943,16.000000000016,-46.00000000000159,-783.9999999999918,,-2381.999999999989
