date,USDCHF,GBPUSD,EURUSD,AUDUSD,NZDUSD,CHFJPY,CADCHF,AUDCHF,GBPCAD,GBPAUD,EURJPY,EURNZD,CADJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2016.02.22,-155.00000000000514,-11.999999999989797,-31.000000000003247,-2.999999999997449,-29.000000000001247,-146.99999999999136,-121.99999999999989,-90.99999999999665,-585.9999999999976,-92.00000000000318,-165.00000000000625,-185.00000000001293,-88.99999999999864,-78.00000000000028,-147.99999999999258,-9.999999999998899,,-1942.999999999995
2016.02.22,-216.0000000000051,327.00000000001063,4.999999999988347,105.99999999999498,-34.000000000000696,-99.99999999999432,-132.99999999999423,-41.000000000002146,-716.9999999999899,764.0000000000091,-94.0000000000083,45.000000000006146,-67.00000000000728,-90.0000000000012,-137.9999999999937,-1.0000000000065512,,-383.99999999999415
2016.02.22,-239.0000000000003,195.9999999999962,43.999999999999595,100.99999999999554,112.99999999999643,-36.99999999999193,-143.9999999999997,-44.99999999999504,-723.0000000000069,784.0000000000069,-177.99999999999727,378.999999999996,-32.00000000001069,-105.99999999999498,13.00000000000745,-97.9999999999981,,28.000000000003226
2016.02.22,-236.00000000000287,-32.999999999994145,31.000000000003247,126.99999999999933,160.00000000000458,38.000000000010914,-155.99999999998948,-60.99999999999994,-475.0000000000032,405.0000000000109,-70.00000000000739,557.9999999999918,-23.000000000010346,-74.99999999999174,47.00000000000814,-171.99999999999437,,65.00000000003541
2016.02.22,-243.99999999999977,9.000000000014552,38.99999999998904,-4.999999999999449,53.00000000000304,-125.99999999999056,-185.99999999999727,-185.00000000000182,-456.9999999999963,317.0000000000117,-227.99999999999443,303.9999999999932,-166.00000000001103,-54.999999999993946,-19.00000000000235,-174.00000000000747,,-1122.999999999983
2016.02.22,-280.00000000000244,255.00000000000523,-18.0000000000069,-18.0000000000069,56.0000000000005,-253.99999999999068,-203.99999999999307,-236.99999999999832,-644.0000000000001,370.00000000000364,-356.9999999999993,204.99999999998852,-279.0000000000106,72.0000000000054,-53.999999999998494,-242.00000000000887,,-1629.0000000000123
2016.02.22,-348.00000000000387,185.99999999999727,-73.99999999999629,-47.00000000000814,46.999999999997044,-346.9999999999942,-322.00000000000006,-310.9999999999946,-546.9999999999864,190.00000000000128,-466.0000000000082,117.99999999999588,-454.00000000000773,40.00000000000669,-4.999999999999449,-316.0000000000052,,-2656.0000000000055
2016.02.22,-333.0000000000055,106.00000000000608,-66.00000000001049,-153.00000000000313,-112.99999999999643,-331.99999999999363,-346.9999999999973,-352.9999999999922,-131.99999999999878,-119.99999999998678,-450.00000000000284,-160.00000000000458,-477.00000000000387,74.00000000000739,-125.99999999999278,-229.99999999999687,,-3211.9999999999723
2016.02.22,-266.999999999995,103.00000000000864,17.000000000000348,-118.00000000000699,-104.00000000000409,-271.0000000000008,-310.9999999999946,-310.9999999999946,-95.00000000000064,-80.99999999999774,-405.00000000000114,-124.99999999999733,-424.99999999999716,64.0000000000085,-132.99999999999423,-109.00000000000354,,-2570.99999999997
2016.02.22,-307.0000000000017,114.99999999999844,18.999999999991246,-102.99999999999754,-109.00000000000354,-227.99999999999443,-316.99999999998954,-343.9999999999999,-154.99999999999403,-34.99999999998504,-414.0000000000015,-143.00000000000423,-395.00000000001023,98.0000000000092,-175.99999999999838,-86.0000000000083,,-2579.999999999989
2016.02.22,-341.0000000000024,144.0000000000108,-18.0000000000069,-123.00000000000644,-134.99999999999625,-302.99999999999727,-358.9999999999982,-376.99999999999403,-113.99999999999189,-76.99999999999375,-438.0000000000024,-245.0000000000063,-500.0,52.000000000007596,-180.99999999999784,-62.000000000006494,,-3076.9999999999814
2016.02.22,-309.0000000000037,207.00000000000162,-25.00000000000835,-121.00000000000443,-115.99999999999389,-315.9999999999883,-375.9999999999986,-341.0000000000024,-45.000000000006146,21.00000000000435,-448.0000000000075,-242.00000000000887,-510.0000000000051,40.00000000000669,-95.00000000000064,-68.00000000000139,,-2744.0000000000164
2016.02.22,-316.0000000000052,214.00000000000307,-58.000000000002494,-145.00000000000622,-105.99999999999498,-253.0000000000001,-389.99999999999034,-390.99999999999693,-102.99999999998644,-8.999999999992347,-370.00000000000455,-258.0000000000027,-484.99999999999943,12.000000000000899,-91.99999999999208,-117.99999999999588,,-2867.999999999966
2016.02.22,-326.9999999999995,156.00000000000057,-43.00000000001525,-133.00000000000534,-121.99999999999989,-234.99999999999943,-418.9999999999916,-381.99999999999346,22.0000000000109,-38.99999999998904,-368.9999999999998,-261.0000000000001,-489.0000000000043,21.00000000000435,-75.9999999999983,-113.99999999999189,,-2809.999999999972
2016.02.22,-300.99999999999574,146.00000000000168,-29.00000000001235,-209.9999999999991,-227.99999999999488,-307.9999999999927,-407.99999999999727,-437.999999999994,-1.0000000000065512,-201.99999999999108,-426.00000000000193,-534.9999999999966,-563.0000000000024,42.0000000000087,-185.00000000000182,-55.000000000005045,,-3700.9999999999814
2016.02.22,-302.9999999999977,185.00000000001293,-26.0000000000149,-224.000000000002,-248.99999999999923,-306.99999999998795,-417.99999999999613,-439.0000000000005,35.00000000000725,-232.99999999999432,-417.0000000000016,-523.9999999999911,-545.0000000000017,116.00000000000499,-213.99999999999199,-69.00000000000794,,-3631.999999999962
2016.02.22,-278.9999999999959,89.00000000000574,1.999999999990898,-182.99999999999983,-212.00000000000108,-289.99999999999204,-395.99999999999636,-404.99999999999983,26.999999999999247,-235.99999999999176,-432.00000000000216,-441.0000000000025,-512.0000000000005,58.000000000002494,-181.9999999999933,-38.0000000000047,,-3429.9999999999814
2016.02.22,-275.000000000003,16.000000000016,15.999999999993797,-201.00000000000674,-224.000000000002,-240.99999999999966,-426.9999999999996,-407.0000000000018,171.00000000001003,-339.99999999998477,-373.00000000000466,-456.00000000001194,-493.0000000000092,50.0000000000056,-180.0000000000024,-1.999999999990898,,-3365.9999999999914
2016.02.22,-336.00000000000296,-678.9999999999852,-93.00000000000975,-151.00000000000114,-200.99999999999562,-177.99999999999727,-405.9999999999952,-376.99999999999403,367.0000000000062,-980.0000000000031,-271.0000000000008,-429.00000000001273,-427.99999999999727,1.0000000000065512,-173.00000000000094,-17.000000000000348,,-4350.999999999984
2016.02.22,-460.00000000000483,-863.9999999999981,-246.99999999999721,-191.00000000000784,-234.00000000000088,-149.0000000000009,-467.9999999999906,-505.99999999999534,981.0000000000097,-1325.9999999999827,-254.0000000000049,-869.999999999993,-429.00000000000205,4.999999999999449,-271.9999999999945,21.999999999988695,,-5261.999999999975
