date,GBPUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2021.02.22,-106.00000000000608,-10.000000000021103,-34.99999999999615,-90.0000000000012,-160.00000000000458,-62.000000000006494,-197.9999999999933,-70.0000000000034,-53.999999999998494,-118.99999999999133,-13.00000000000745,-213.99999999999864,-205.00000000001074,-20.000000000020002,-26.999999999999247,-11.999999999989797,-131.00000000000023,-117.999999999995,-161.99999999999193,-80.99999999999774,-130.0000000000079,-49.00000000001015,,-2066.000000000051
2021.02.22,-36.999999999998145,1.999999999990898,-51.000000000001044,-85.99999999999719,-99.00000000000463,-36.999999999998145,-240.99999999999966,-52.000000000007596,-44.99999999999504,-97.9999999999981,39.999999999995595,-233.0000000000041,-149.00000000002134,89.99999999999008,41.000000000002146,42.0000000000087,-140.00000000000057,-126.99999999999534,-152.00000000000102,-101.00000000000664,-121.99999999999989,-48.000000000003595,,-1603.0000000000446
2021.02.22,-120.00000000000898,-71.00000000002105,-90.99999999999665,-197.00000000000273,-238.0000000000049,-134.00000000001188,-283.9999999999918,-165.9999999999995,-126.0000000000039,-214.99999999999852,37.99999999999359,-391.9999999999959,-223.00000000001762,53.999999999998494,49.99999999999449,-86.99999999999264,-259.00000000000034,-218.9999999999941,-308.9999999999975,-114.00000000000298,-178.00000000000037,-21.00000000000435,,-3302.00000000006
2021.02.22,-219.99999999999798,-134.00000000001188,-227.99999999999488,-300.0000000000003,-343.00000000000443,-155.00000000001623,-259.9999999999909,-216.0000000000051,-253.0000000000032,-307.99999999999716,7.9999999999968985,-467.00000000001296,-165.00000000001512,7.999999999985796,-174.99999999999181,-235.99999999999176,-301.00000000000193,-347.999999999999,-402.9999999999916,-194.0000000000053,-260.00000000000466,-49.99999999999449,,-5000.000000000048
2021.02.22,-246.00000000001288,-120.00000000000898,-219.99999999999798,-253.0000000000032,-356.00000000000074,-154.0000000000097,-228.9999999999992,-207.00000000000162,-251.00000000000122,-264.999999999993,-21.00000000000435,-462.99999999999386,-213.00000000001873,10.999999999983245,-200.00000000000017,-171.99999999999437,-295.99999999999227,-332.9999999999984,-346.00000000000364,-202.9999999999976,-208.00000000000819,-106.00000000000608,,-4851.000000000064
2021.02.22,-341.99999999999784,-161.00000000001114,-295.99999999999625,-298.9999999999937,-374.999999999992,-151.00000000001222,-236.99999999999477,-236.99999999999832,-292.9999999999988,-309.99999999999915,-30.000000000007798,-509.9999999999909,-256.00000000001177,-52.000000000007596,-300.99999999999574,-245.99999999999068,-268.99999999999125,-387.00000000000045,-376.99999999999534,-258.0000000000027,-253.0000000000032,-112.000000000001,,-5751.999999999994
2021.02.22,-426.9999999999996,-309.0000000000037,-392.00000000000347,-519.9999999999983,-458.00000000000284,-167.00000000000603,-272.99999999999613,-274.00000000000756,-366.9999999999951,-475.99999999999864,-50.0000000000056,-662.0000000000061,-162.00000000001768,-101.00000000001774,-390.0000000000015,-629.9999999999973,-396.0000000000008,-518.0000000000007,-629.9999999999955,-263.99999999999756,-407.0000000000018,-72.99999999998974,,-7946.000000000044
2021.02.22,-374.0000000000077,-277.00000000001614,-319.99999999999807,-478.9999999999961,-415.99999999999415,-155.00000000001623,-319.0000000000026,-252.0000000000078,-309.99999999999915,-446.9999999999974,-36.0000000000027,-634.0000000000146,-160.00000000000458,-64.0000000000196,-283.99999999999534,-567.9999999999907,-403.99999999999636,-480.99999999999454,-611.9999999999948,-212.00000000000108,-385.000000000002,85.00000000000173,,-7104.00000000005
2021.02.22,-253.00000000001432,-205.00000000001074,-282.99999999999994,-419.9999999999982,-419.9999999999982,-197.00000000000273,-349.00000000000375,-297.00000000000284,-321.0000000000046,-427.99999999999505,-4.000000000004,-679.000000000002,-94.00000000001629,-118.00000000001809,-262.999999999991,-539.0000000000006,-479.99999999998977,-493.9999999999998,-591.9999999999987,-209.9999999999991,-373.00000000000114,36.999999999998145,,-6982.000000000054
2021.02.22,-107.99999999999699,-98.0000000000203,-148.0000000000037,-317.0000000000006,-363.0000000000022,-201.00000000000674,-283.9999999999918,-267.00000000000614,-265.99999999999955,-392.9999999999989,29.999999999996696,-534.9999999999966,-130.0000000000079,-28.000000000005798,-127.99999999999478,-395.99999999999636,-384.00000000000034,-387.999999999991,-518.0000000000007,-148.0000000000037,-365.99999999999966,58.000000000002494,,-5378.0000000000255
2021.02.22,-133.00000000000534,-76.0000000000094,-116.00000000000499,-307.99999999999716,-394.9999999999898,-202.9999999999976,-231.99999999999932,-243.99999999999977,-219.99999999999798,-380.999999999998,24.000000000001798,-515.9999999999911,-137.00000000000932,3.999999999981796,-38.0000000000047,-365.99999999999966,-325.00000000000284,-311.9999999999976,-495.9999999999951,-119.00000000000244,-341.99999999999784,83.9999999999952,,-4847.000000000021
2021.02.22,-109.00000000000354,-44.0000000000218,-95.00000000000064,-248.99999999999923,-388.9999999999949,-207.00000000000162,-242.999999999995,-240.00000000000688,-221.99999999999997,-347.9999999999928,25.999999999992696,-513.0000000000052,-135.00000000001845,25.999999999992696,-11.00000000000545,-237.99999999998266,-331.99999999999363,-313.99999999999295,-450.9999999999934,-100.00000000000009,-265.0000000000041,59.99999999999339,,-4393.000000000034
