date,GBPUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2021.02.22,-28.000000000005798,38.99999999998904,-33.000000000005244,-76.99999999999375,-92.00000000000318,-35.00000000000725,-155.9999999999917,-43.999999999999595,-26.000000000003798,-20.999999999993246,58.000000000002494,-179.00000000000205,-95.00000000000064,108.99999999998133,82.00000000000429,62.000000000006494,-90.00000000000341,-114.99999999999488,-138.9999999999958,-34.000000000000696,-104.00000000000409,-5.000000000010552,,-923.0000000000321
2021.02.22,-35.00000000000725,8.999999999992347,-7.9999999999968985,-71.99999999999429,-21.999999999988695,14.999999999987246,-227.99999999999443,9.999999999998899,48.99999999999905,1.0000000000065512,58.000000000002494,-218.9999999999941,-72.0000000000054,106.99999999999044,154.0000000000097,99.00000000000463,-132.99999999999557,-109.99999999999943,-150.99999999999625,-21.999999999999797,-70.99999999999883,-1.0000000000065512,,-641.9999999999861
2021.02.22,-12.999999999996348,56.99999999999594,2.999999999997449,-107.99999999999699,-238.0000000000049,-131.99999999999878,-219.99999999999886,-152.00000000000767,-105.99999999999498,-195.9999999999962,70.99999999999883,-349.9999999999943,-131.00000000001444,117.99999999999588,139.00000000000023,32.0000000000098,-226.99999999998965,-175.99999999998772,-269.999999999996,-50.0000000000056,-157.00000000000713,28.000000000005798,,-2077.9999999999854
2021.02.22,-181.00000000000892,-100.0000000000112,-133.00000000000534,-209.9999999999991,-329.00000000000153,-151.00000000001222,-215.99999999999397,-204.99999999999963,-190.00000000000128,-254.99999999999412,25.999999999992696,-450.9999999999934,-121.99999999999989,33.99999999997849,-18.0000000000069,-78.99999999998464,-286.00000000000136,-274.9999999999915,-334.0000000000032,-92.99999999999864,-169.00000000000804,-8.999999999992347,,-3746.000000000036
2021.02.22,-241.00000000000233,-109.00000000000354,-212.00000000000108,-244.99999999999523,-340.9999999999913,-110.00000000001009,-212.0000000000033,-185.00000000000182,-238.0000000000049,-259.9999999999936,-16.0000000000049,-454.00000000000773,-189.00000000001694,14.999999999987246,-185.99999999999727,-168.99999999999693,-259.00000000000034,-323.99999999999807,-340.0000000000034,-192.00000000000327,-208.00000000000819,-70.99999999999883,,-4546.000000000056
2021.02.22,-229.99999999999687,-161.00000000001114,-163.99999999999747,-208.99999999999253,-365.99999999999966,-138.0000000000159,-134.00000000000034,-235.00000000000742,-214.99999999999852,-251.99999999999667,-14.999999999998348,-389.00000000001,-100.0000000000112,-52.000000000007596,-97.9999999999981,-95.999999999985,-263.9999999999958,-243.99999999999977,-275.0000000000057,-89.00000000000574,-124.00000000000189,-52.000000000007596,,-3902.0000000000437
2021.02.22,-378.00000000001165,-279.00000000000705,-322.9999999999955,-476.9999999999941,-412.9999999999967,-157.00000000000713,-248.99999999999523,-253.0000000000032,-309.0000000000037,-443.99999999999994,-29.000000000001247,-592.9999999999893,-116.00000000000499,-62.000000000006494,-272.99999999998994,-567.9999999999907,-367.999999999995,-437.9999999999882,-582.9999999999984,-197.00000000000273,-379.0000000000071,127.99999999999478,,-6759.999999999993
2021.02.22,-243.99999999999977,-192.00000000001438,-270.0000000000036,-419.00000000000273,-358.9999999999982,-148.99999999999915,-299.99999999999716,-241.00000000000233,-300.0000000000003,-425.99999999999307,-2.000000000002,-584.0000000000032,-74.0000000000185,-52.000000000007596,-262.999999999991,-530.9999999999926,-385.9999999999957,-456.99999999999363,-590.999999999994,-197.99999999999818,-367.0000000000062,112.000000000001,,-6293.000000000012
2021.02.22,-87.99999999999919,-90.00000000001229,-146.00000000000168,-276.9999999999939,-334.9999999999964,-178.99999999999582,-277.9999999999916,-251.00000000000122,-251.99999999999667,-356.00000000000074,46.999999999997044,-532.0000000000107,-18.0000000000069,-22.0000000000109,-109.00000000000354,-298.9999999999826,-382.99999999999557,-387.999999999991,-496.9999999999999,-121.00000000000443,-256.0000000000007,66.00000000001049,,-4763.999999999988
2021.02.22,-90.00000000001229,-36.0000000000138,-105.99999999999498,-304.9999999999997,-326.0000000000041,-181.00000000000892,-231.99999999999932,-214.99999999999852,-212.00000000000108,-378.999999999996,51.99999999999649,-463.99999999999864,-90.00000000001229,51.99999999998539,-21.999999999988695,-356.00000000000074,-307.9999999999927,-308.9999999999975,-495.00000000000455,-112.000000000001,-336.9999999999984,165.9999999999995,,-4305.000000000042
2021.02.22,-104.00000000001519,-30.0000000000189,-75.9999999999983,-225.99999999999287,-385.99999999999744,-199.00000000001583,-216.99999999999875,-238.0000000000049,-209.00000000000364,-331.999999999999,26.999999999999247,-512.0000000000005,-120.00000000000898,31.999999999987594,9.000000000014552,-213.99999999998087,-322.00000000000273,-294.9999999999875,-426.9999999999925,-80.00000000000229,-241.00000000000233,92.00000000000318,,-4068.0000000000186
2021.02.22,-90.00000000001229,-34.000000000000696,-87.00000000000374,-231.99999999999886,-356.00000000000074,-201.00000000000674,-236.99999999999477,-230.000000000008,-209.9999999999991,-329.999999999997,48.99999999999905,-504.99999999999545,-100.0000000000112,49.99999999999449,9.000000000014552,-200.00000000000017,-328.00000000000296,-308.9999999999975,-435.99999999999284,-90.99999999999665,-246.00000000000176,83.9999999999952,,-4030.000000000017
2021.02.22,-158.0000000000137,-87.00000000001484,-78.99999999999574,-222.99999999999542,-387.000000000004,-208.00000000000819,-228.9999999999992,-243.00000000000432,-187.00000000000384,-305.99999999999517,29.000000000001247,-533.0000000000155,-109.00000000000354,30.999999999981043,66.00000000001049,-129.00000000000134,-337.99999999999386,-278.99999999999636,-405.00000000000114,-41.000000000002146,-196.00000000000728,79.00000000000685,,-3932.0000000000555
2021.02.22,-124.00000000001299,-89.00000000000574,-73.99999999999629,-210.99999999999451,-421.0000000000047,-236.99999999999832,-253.0000000000001,-278.00000000000045,-217.99999999999596,-328.9999999999904,34.99999999999615,-598.0000000000132,-71.00000000002105,-4.000000000004,48.000000000003595,-136.99999999998712,-397.99999999999613,-326.9999999999982,-444.0000000000026,-31.000000000003247,-180.99999999999784,72.99999999998974,,-4269.000000000034
2021.02.22,-131.00000000001444,-130.0000000000079,-165.00000000000404,-298.9999999999937,-448.000000000004,-268.0000000000016,-209.99999999999375,-313.00000000000773,-310.9999999999946,-414.9999999999987,39.00000000000014,-576.9999999999982,-23.00000000001745,-30.0000000000189,-114.99999999999844,-307.99999999999716,-406.9999999999965,-409.9999999999966,-522.0000000000056,-119.99999999999788,-257.0000000000072,68.00000000000139,,-5352.000000000053
2021.02.22,-79.00000000000685,-90.00000000001229,-111.00000000000554,-253.0000000000032,-414.00000000000324,-267.0000000000172,-189.99999999999773,-300.0000000000003,-266.999999999995,-383.0,58.000000000002494,-509.9999999999909,-8.000000000008,-9.000000000014552,-22.999999999995246,-232.99999999999432,-375.0,-342.9999999999893,-468.0000000000035,-73.99999999999629,-231.0000000000034,83.9999999999952,,-4486.00000000004
2021.02.22,-51.000000000001044,-67.00000000001705,-87.00000000000374,-247.99999999999267,-356.00000000000074,-258.0000000000027,-203.00000000000296,-267.00000000000614,-231.99999999999886,-359.99999999999363,97.00000000000264,-456.99999999999363,0.0,52.99999999999194,45.000000000006146,-190.00000000000128,-347.999999999999,-309.99999999998806,-450.9999999999934,-68.99999999999685,-240.00000000000688,100.99999999999554,,-3898.0000000000027
2021.02.22,-43.00000000001525,-46.0000000000127,-90.99999999999665,-198.99999999999363,-387.000000000004,-262.00000000000665,-189.99999999999773,-279.00000000000705,-256.0000000000007,-337.99999999999386,73.00000000000084,-484.00000000000887,-24.000000000001798,33.99999999997849,-1.999999999990898,-126.99999999998823,-352.99999999999443,-330.99999999998886,-415.9999999999968,-85.00000000000173,-195.00000000000074,26.999999999999247,,-3974.0000000000223
