date,USDCHF,GBPUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,NZDCAD,AUDNZD,empty,sum
2017.08.07,-53.00000000000304,-47.99999999998139,-39.00000000000148,-114.99999999999844,-41.000000000002146,-38.0000000000047,-348.9999999999993,-58.000000000002494,-63.00000000000195,-65.00000000000395,-82.00000000000429,-65.99999999999939,-97.99999999998477,-4.000000000004,-70.99999999999883,-50.99999999998772,-42.999999999993044,-25.00000000000835,-174.99999999999181,-96.9999999999942,-57.00000000000216,-13.00000000000523,-60.00000000000449,-28.999999999990145,,-1739.9999999999677
2017.08.07,-41.9999999999976,-93.99999999999409,-33.00000000000125,-99.99999999998899,-125.99999999999278,-24.999999999997247,-395.000000000012,-70.99999999999883,-39.999999999995595,-110.99999999999443,-114.99999999999844,-34.000000000000696,-204.99999999998408,-89.00000000000574,-123.99999999999079,-34.99999999999659,-5.999999999994898,-104.00000000001519,-160.99999999998892,-140.00000000000057,-173.00000000000182,36.000000000001364,-39.00000000000014,-114.99999999999844,,-2340.9999999999477
2017.08.07,-41.000000000002146,-135.9999999999806,9.000000000000341,-154.99999999999403,-173.9999999999964,39.00000000000014,-392.00000000001455,-126.99999999998823,-105.99999999999498,-156.99999999999602,-139.99999999999568,-9.00000000000345,-248.99999999999523,-66.99999999999484,-141.99999999999767,-0.9999999999763531,-11.00000000000545,-151.9999999999966,-95.999999999985,-238.9999999999901,-234.99999999999943,92.99999999998931,-17.000000000000348,-161.99999999999548,,-2666.9999999999122
2017.08.07,-17.000000000000348,-191.99999999999218,16.000000000005343,-214.99999999998744,-210.99999999999451,91.99999999999208,-402.9999999999978,-177.99999999998929,-137.9999999999937,-178.00000000000037,-168.99999999999693,46.00000000000159,-289.99999999999204,28.999999999990145,-139.00000000000023,174.0000000000066,31.000000000003247,-53.00000000001415,-96.99999999999153,-289.99999999999204,-275.0000000000057,171.99999999999704,-11.00000000000545,-119.00000000000244,,-2414.9999999999595
2017.08.07,-29.999999999996696,-146.00000000000168,37.9999999999967,-209.9999999999991,-232.99999999999432,85.00000000000173,-399.00000000001603,-156.99999999998494,-154.99999999999403,-204.00000000000418,-170.00000000000347,51.99999999999649,-328.9999999999793,52.000000000007596,-204.00000000000418,210.00000000000796,21.00000000000435,-127.99999999999478,-82.99999999998863,-317.99999999999784,-355.99999999999454,193.9999999999884,-30.000000000007798,-180.99999999998673,,-2680.9999999999445
2017.08.07,-21.999999999999797,-141.99999999999767,63.00000000000239,-197.00000000000273,-217.0000000000005,47.9999999999925,-384.00000000000654,-131.99999999999878,-141.00000000000225,-193.99999999999417,-151.00000000000114,22.999999999995246,-323.99999999998386,22.999999999995246,-204.00000000000418,130.00000000002387,-18.0000000000069,-104.00000000001519,-119.00000000000244,-317.99999999999784,-334.0000000000032,161.99999999999193,-31.999999999998696,-173.99999999998528,,-2758.0
2017.08.07,-43.00000000000415,-157.99999999999147,43.99999999999693,-187.99999999998818,-202.0000000000022,15.999999999993797,-441.0000000000025,-163.9999999999864,-161.00000000000003,-197.00000000000273,-128.00000000000588,22.999999999995246,-320.99999999999795,21.00000000000435,-161.99999999999548,116.00000000001387,-7.0000000000014495,-66.99999999999484,-86.99999999999264,-301.9999999999925,-299.99999999999716,114.99999999999488,-82.00000000000429,-202.9999999999976,,-2877.9999999999586
2017.08.07,-39.999999999995595,-200.99999999998454,-36.000000000001364,-251.00000000000122,-249.99999999999466,48.99999999999905,-466.00000000001086,-215.99999999999397,-188.9999999999947,-232.99999999999432,-189.00000000000583,55.000000000005045,-311.9999999999834,24.000000000001798,-218.99999999999142,152.00000000001523,-5.999999999994898,-124.99999999999733,-58.99999999998684,-307.9999999999927,-346.00000000000364,128.99999999999068,-60.99999999999994,-224.99999999998633,,-3322.999999999902
2017.08.07,0.0,-203.99999999998198,-10.000000000005116,-251.00000000000122,-331.999999999999,80.99999999999774,-382.0000000000157,-169.99999999998127,-163.99999999999747,-265.99999999999955,-166.99999999999494,60.99999999999994,-276.9999999999868,38.99999999998904,-319.999999999987,159.00000000002024,36.999999999998145,-205.00000000001074,-61.99999999998429,-298.0000000000018,-385.0000000000051,128.0000000000001,-42.0000000000087,-306.9999999999906,,-3336.9999999999454
2017.08.07,48.000000000003595,-144.99999999999514,-15.000000000000568,-222.99999999999542,-285.9999999999974,60.99999999999994,-310.0000000000103,-124.99999999999733,-102.00000000000209,-212.00000000000108,-104.99999999999955,77.00000000000485,-212.99999999999386,41.000000000002146,-326.9999999999884,168.00000000000637,70.99999999999883,-157.00000000000713,25.00000000000835,-259.9999999999909,-331.00000000000307,120.99999999999511,-48.000000000003595,-269.9999999999925,,-2516.999999999959
