date,AUDUSD,NZDCHF,EURNZD,empty,sum
2018.07.16,-0.999999999995449,0.0,-1.999999999990898,,-2.999999999986347
2018.07.16,-38.0000000000047,16.0000000000049,17.000000000000348,,-4.999999999999449
2018.07.16,-56.0000000000005,23.00000000000635,11.00000000000545,,-21.999999999988695
2018.07.16,-14.999999999998348,96.00000000000719,53.999999999998494,,135.00000000000733
2018.07.16,4.000000000004,121.99999999999989,89.99999999999008,,215.99999999999397
2018.07.16,2.000000000002,119.00000000000244,99.00000000000463,,220.0000000000091
2018.07.16,-38.0000000000047,106.00000000000608,79.00000000000685,,147.00000000000824
2018.07.16,56.0000000000005,172.00000000000549,248.99999999998812,,476.9999999999941
2018.07.16,53.999999999998494,174.00000000000747,258.0000000000027,,486.00000000000864
2018.07.16,31.000000000003247,128.00000000000588,119.00000000000244,,278.0000000000116
2018.07.16,-71.99999999999429,79.00000000000685,4.999999999988347,,12.00000000000091
2018.07.16,-90.0000000000012,51.000000000001044,-39.999999999995595,,-78.99999999999574
2018.07.16,-46.00000000000159,57.00000000000705,-11.00000000000545,,7.105427357601002e-15
2018.07.16,31.000000000003247,101.00000000000664,89.00000000000574,,221.00000000001563
2018.07.16,7.9999999999968985,131.00000000000333,171.99999999999437,,310.9999999999946
2018.07.16,19.999999999997797,136.99999999999824,204.99999999998852,,361.99999999998454
2018.07.16,53.00000000000304,170.00000000000347,217.0000000000005,,440.00000000000705
2018.07.16,78.00000000000028,152.00000000000767,184.00000000000637,,414.0000000000143
2018.07.16,129.00000000000134,173.00000000000094,164.00000000000858,,466.00000000001086
2018.07.16,119.00000000000244,170.99999999999892,190.00000000000128,,480.0000000000026
2018.07.16,56.99999999999594,92.99999999999864,97.9999999999981,,247.99999999999267
2018.07.16,58.000000000002494,96.00000000000719,110.00000000001009,,264.0000000000198
2018.07.16,85.00000000000173,65.99999999999939,87.99999999999919,,239.00000000000034
2018.07.16,114.00000000000298,81.00000000000884,103.00000000000864,,298.00000000002046
2018.07.16,121.00000000000443,102.00000000000209,139.00000000000023,,362.00000000000676
2018.07.16,183.99999999999528,107.00000000000153,177.99999999998929,,468.99999999998613
2018.07.16,175.00000000000293,92.99999999999864,184.99999999999073,,452.9999999999923
2018.07.16,146.00000000000168,60.00000000000449,140.99999999999113,,346.99999999999727
2018.07.16,156.00000000000057,31.000000000003247,52.99999999999194,,239.99999999999574
2018.07.16,119.00000000000244,9.999999999998899,34.000000000000696,,163.00000000000205
2018.07.16,87.99999999999919,55.000000000005045,139.00000000000023,,282.00000000000443
2018.07.16,36.0000000000027,-2.000000000002,130.99999999999224,,164.99999999999295
2018.07.16,29.999999999996696,-12.000000000000899,110.99999999999443,,128.99999999999022
2018.07.16,51.000000000001044,1.0000000000065512,53.999999999998494,,106.00000000000608
2018.07.16,90.0000000000012,-61.999999999995396,45.99999999999049,,73.99999999999629
2018.07.16,-9.00000000000345,-60.99999999999994,-156.00000000000057,,-226.00000000000398
2018.07.16,-24.000000000001798,-142.99999999999312,-302.0000000000023,,-468.99999999999716
2018.07.16,-70.0000000000034,-151.00000000000114,-229.99999999999687,,-451.0000000000014
2018.07.16,-41.000000000002146,-164.99999999999292,-235.99999999999176,,-441.9999999999868
2018.07.16,-75.9999999999983,-149.99999999999457,-106.99999999999044,,-332.9999999999833
